time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,1076.849854,242.342545
0.105469,-420.936371,-476.272491,1,1110.358398,-5.524117
0.109375,-420.935089,-476.273346,1,922.432068,242.567902
0.105469,-420.934937,-476.273407,1,918.996948,253.491531
0.103516,-420.935669,-476.272888,1,918.415649,251.851059
0.101562,-420.936462,-476.272339,1,923.52771,253.557556
0.107422,-420.936554,-476.272247,1,919.227234,251.689529
0.109375,-420.935852,-476.272827,1,900.107117,130.923615
0.109375,-420.934906,-476.273468,1,1068.687744,77.250076
0.105469,-420.934723,-476.27359,1,1211.228638,31.262711
0.105469,-420.935303,-476.273224,1,1202.336548,33.057457
0.107422,-420.936005,-476.272675,1,1166.331299,22.216255
0.107422,-420.936249,-476.272552,1,1161.502075,23.61484
0.107422,-420.935852,-476.272827,1,1182.927246,-64.186424
0.103516,-420.935272,-476.273193,1,1182.927246,-64.186424
0.101562,-420.935028,-476.273376,1,1182.927246,-64.186424
0.103516,-420.935211,-476.273254,1,1182.927246,-64.186424
0.111328,-420.935516,-476.273071,1,1188.167236,-110.764221
0.109375,-420.935638,-476.272949,1,1230.201538,-57.592232
0.101562,-420.935547,-476.273071,1,1194.240967,45.361893
0.107422,-420.935333,-476.273224,1,1180.079468,88.959396
0.109375,-420.935242,-476.273285,1,1206.855713,104.276543
0.109375,-420.935211,-476.273315,1,1265.489624,115.585754
0.103516,-420.935242,-476.273285,1,1261.454224,114.569
0.109375,-420.935242,-476.273285,1,1266.641724,113.210724
0.103516,-420.935272,-476.273285,1,1267.14563,114.700554
0.107422,-420.935272,-476.273285,1,1252.478149,118.535385
0.105469,-420.935242,-476.273315,1,1097.614746,206.783432
0.101562,-420.935059,-476.273407,1,1100.574829,206.723358
0.107422,-420.934601,-476.273682,1,1088.314575,198.387558
0.105469,-420.933563,-476.274384,1,1096.864014,213.768539
0.105469,-420.931427,-476.275879,1,1235.932861,150.883255
0.107422,-420.92749,-476.278534,1,1241.715088,148.590775
0.107422,-420.921661,-476.282593,1,1242.250977,146.957367
0.111328,-420.913422,-476.288239,1,1240.772827,144.748428
0.105469,-420.903656,-476.295044,1,899.026123,216.250153
0.103516,-420.892334,-476.302826,1,877.148254,213.07196
0.107422,-420.87851,-476.312378,1,888.520386,228.333099
0.107422,-420.863098,-476.32309,1,895.224792,229.089371
0.105469,-420.8461,-476.334839,1,894.856018,229.340652
0.105469,-420.827026,-476.348022,1,959.10791,-8.244556
0.105469,-420.806671,-476.362122,1,959.10791,-8.244556
0.103516,-420.784363,-476.377502,1,959.10791,-8.244556
0.105469,-420.760468,-476.394012,1,959.10791,-8.244556
0.105469,-420.734589,-476.411926,1,959.10791,-8.244556
0.105469,-420.707001,-476.430969,1,995.983337,109.152466
0.107422,-420.677216,-476.451538,1,1209.001953,34.229046
0.105469,-420.646301,-476.472809,1,1202.917114,37.592731
0.105469,-420.613892,-476.4953,1,1201.363525,34.273167
0.107422,-420.579132,-476.519287,1,1196.549561,33.22963
0.105469,-420.542908,-476.544281,1,1194.324707,37.188808
0.109375,-420.504669,-476.570679,1,1185.355957,22.445879
0.105469,-420.465576,-476.597687,1,1184.248901,29.624426
0.107422,-420.424286,-476.626251,1,1225.895142,28.630579
0.101562,-420.383636,-476.654297,1,1225.487427,26.991043
0.103516,-420.34079,-476.683868,1,892.764648,294.96283
0.103516,-420.295746,-476.714966,1,897.696228,284.126648
0.101562,-420.251129,-476.745789,1,895.380493,283.460358
0.101562,-420.204956,-476.77774,1,901.706909,276.858215
0.101562,-420.157257,-476.810822,1,926.554871,241.808121
0.101562,-420.108154,-476.844879,1,840.820496,122.784515
0.101562,-420.058044,-476.879639,1,843.529297,127.762016
0.103516,-420.005585,-476.916107,1,822.876465,135.667496
0.101562,-419.952209,-476.953156,1,822.701355,136.031677
0.105469,-419.894623,-476.993164,1,822.788513,134.955658
0.109375,-419.829956,-477.038025,1,825.619568,131.421356
0.103516,-419.762848,-477.084595,1,813.517151,135.443253
0.103516,-419.687164,-477.137115,1,821.45636,136.287704
0.103516,-419.600006,-477.197571,1,826.092346,136.648819
0.101562,-419.500732,-477.266418,1,952.31189,253.201141
0.101562,-419.384125,-477.347473,1,950.594971,253.79425
0.103516,-419.234039,-477.451599,1,951.991699,249.770981
0.101562,-419.053131,-477.577179,1,953.713196,243.975876
0.103516,-418.832397,-477.730316,1,1123.591309,309.68219
0.105469,-418.567047,-477.91452,1,1122.184082,311.046143
0.103516,-418.2771,-478.116028,1,1144.208618,306.89566
0.109375,-417.929169,-478.358124,1,1144.040649,303.404968
0.113281,-417.526215,-478.639069,1,1144.526245,306.420807
0.113281,-417.078644,-478.951904,1,1152.316406,299.155334
0.103516,-416.635803,-479.26239,1,1148.501343,304.347382
0.103516,-416.158173,-479.598541,1,1158.922852,301.787354
