time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,1002.46167,573.121643
0.107422,-464.552673,-1216.647827,1,667.713562,540.641541
0.103516,-464.55365,-1216.647095,1,857.336548,526.126343
0.103516,-464.553833,-1216.646851,1,1243.757935,452.736115
0.105469,-464.553223,-1216.647339,1,1303.574707,413.391937
0.105469,-464.552521,-1216.647949,1,1512.582764,310.944427
0.103516,-464.552307,-1216.648071,1,1516.032715,358.372803
0.103516,-464.552795,-1216.647583,1,1528.055176,423.99649
0.103516,-464.553619,-1216.647095,1,1222.530396,407.490723
0.103516,-464.553955,-1216.646851,1,1015.921082,420.406891
0.109375,-464.553497,-1216.647217,1,917.32489,441.139069
0.105469,-464.552765,-1216.647705,1,948.596741,440.168213
0.101562,-464.552368,-1216.648071,1,1511.611572,310.556427
0.105469,-464.552643,-1216.647827,1,1512.708374,308.570312
0.101562,-464.553131,-1216.647339,1,1540.304077,392.922363
0.107422,-464.553406,-1216.647217,1,1546.718628,407.356995
0.101562,-464.553284,-1216.647095,1,1650.655518,416.214294
0.107422,-464.552979,-1216.647217,1,1654.947998,416.3013
0.109375,-464.552734,-1216.647217,1,1656.138672,413.331421
0.101562,-464.552765,-1216.647339,1,1641.099243,408.75824
0.105469,-464.552917,-1216.647217,1,1668.063843,406.388489
0.105469,-464.55304,-1216.647095,1,1664.152588,407.97937
0.103516,-464.55307,-1216.647217,1,1671.736694,404.877716
0.103516,-464.55307,-1216.647217,1,1673.310913,405.825531
0.101562,-464.55307,-1216.647217,1,1686.158691,399.742401
0.109375,-464.55304,-1216.647217,1,1676.208862,409.738617
0.101562,-464.55304,-1216.647217,1,1670.523071,416.259766
0.107422,-464.55304,-1216.647217,1,1678.473267,408.977142
0.107422,-464.55307,-1216.647217,1,1670.997803,401.409515
0.111328,-464.553223,-1216.647217,1,1672.945801,405.066833
0.109375,-464.553864,-1216.646851,1,1557.15271,451.12561
0.103516,-464.555267,-1216.64563,1,1191.084839,563.765015
0.105469,-464.558014,-1216.643433,1,1189.887939,559.005127
0.105469,-464.5625,-1216.639771,1,990.736755,466.108063
0.101562,-464.568512,-1216.634888,1,932.520752,416.513641
0.109375,-464.576874,-1216.628052,1,919.240845,444.427277
0.103516,-464.586456,-1216.620239,1,911.923706,446.403717
0.105469,-464.598572,-1216.610352,1,916.732178,438.31366
0.105469,-464.613708,-1216.598145,1,933.253662,238.149155
0.103516,-464.632751,-1216.582764,1,902.55835,263.430389
0.103516,-464.658203,-1216.562378,1,918.233215,445.650299
0.107422,-464.696045,-1216.531738,1,921.529053,450.117432
0.107422,-464.750732,-1216.487305,1,919.960083,450.294067
0.109375,-464.836731,-1216.417847,1,922.457458,450.61322
0.105469,-464.95462,-1216.322266,1,966.505066,468.494476
0.101562,-465.101349,-1216.203247,1,1203.491333,554.641113
0.101562,-465.281128,-1216.057617,1,1216.881226,589.316589
0.103516,-465.499847,-1215.880249,1,1220.151001,610.069702
0.101562,-465.746124,-1215.679932,1,1222.896851,603.702393
0.111328,-466.050018,-1215.432373,1,1230.102539,609.838501
0.103516,-466.369171,-1215.171143,1,1237.237427,606.757935
0.111328,-466.752258,-1214.856201,1,1240.481445,609.030701
0.101562,-467.127075,-1214.546021,1,1045.390625,497.179169
0.107422,-467.563354,-1214.182251,1,1201.610229,538.775757
0.103516,-468.013489,-1213.803345,1,1379.737671,580.128662
0.101562,-468.479523,-1213.406738,1,1387.521606,584.589905
0.113281,-468.997925,-1212.959717,1,1452.027466,631.190308
0.109375,-469.509186,-1212.512085,1,1452.969849,621.327454
0.113281,-470.058319,-1212.022217,1,1454.127075,627.687866
0.103516,-470.565704,-1211.559692,1,1449.672363,630.152649
0.107422,-471.105988,-1211.05542,1,1451.850342,625.821228
0.103516,-471.626373,-1210.55603,1,1537.154297,635.670959
