time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.550415,-1216.649658,0,0,0
0.100586,-464.55304,-1216.647705,0,0,0
0.102295,-464.554047,-1216.646729,0,0,0
0.102051,-464.554016,-1216.646729,0,0,0
0.101562,-464.553284,-1216.647339,0,0,0
0.102051,-464.55246,-1216.647949,0,0,0
0.102539,-464.552277,-1216.648071,0,0,0
0.104492,-464.552917,-1216.647461,0,0,0
0.10083,-464.553741,-1216.647095,0,0,0
0.107178,-464.554169,-1216.646606,0,0,0
0.100586,-464.553711,-1216.646973,0,0,0
0.102295,-464.552948,-1216.647583,0,0,0
0.112061,-464.552521,-1216.647827,0,0,0
0.101318,-464.552734,-1216.647827,1,755.508179,330.754761
0.101807,-464.553223,-1216.647095,1,755.508179,330.754761
0.102051,-464.553558,-1216.646973,1,1488.610596,96.960327
0.112061,-464.553436,-1216.646973,1,1433.684082,35.927734
0.100098,-464.553131,-1216.646973,1,1433.684082,35.927734
0.112061,-464.552856,-1216.646973,1,1433.684082,35.927734
0.101318,-464.552887,-1216.647095,1,1433.684082,35.927734
0.100342,-464.55307,-1216.647095,1,1433.684082,35.927734
0.112061,-464.553223,-1216.646973,0,0,0
0.102539,-464.553192,-1216.646973,0,0,0
0.103027,-464.553253,-1216.646973,0,0,0
0.101074,-464.553223,-1216.646973,0,0,0
0.111572,-464.553192,-1216.646973,0,0,0
0.10498,-464.553162,-1216.646973,0,0,0
0.104492,-464.553192,-1216.646973,0,0,0
0.103516,-464.553223,-1216.646973,0,0,0
0.102295,-464.553223,-1216.646973,0,0,0
0.101074,-464.553223,-1216.646973,1,1081.167114,408.661133
0.102295,-464.553223,-1216.646973,1,919.486145,387.11438
0.103271,-464.553192,-1216.646973,1,762.196106,349.527527
0.103271,-464.553192,-1216.646973,1,830.153564,326.419922
0.102539,-464.553192,-1216.646973,1,1271.408813,301.674072
0.101074,-464.553192,-1216.646973,1,1263.997925,293.0271
0.10498,-464.553223,-1216.646973,1,1256.561035,291.851807
0.104736,-464.553223,-1216.646973,1,1268.623413,293.243408
0.102295,-464.553253,-1216.646973,1,1235.636719,216.148438
0.102783,-464.553192,-1216.646973,1,1241.422729,222.508545
0.102051,-464.553192,-1216.646973,1,1241.012573,215.566406
0.108643,-464.553192,-1216.646973,1,1332.691284,378.852112
0.111816,-464.553223,-1216.646973,1,1325.308472,370.859436
0.108398,-464.553223,-1216.646973,1,1321.552734,368.065186
0.10791,-464.553223,-1216.646973,1,1374.115601,303.529175
0.10376,-464.553223,-1216.646973,1,1371.975342,303.986328
0.104492,-464.553253,-1216.646973,1,1368.344238,314.233521
0.101562,-464.553192,-1216.646973,1,1369.647339,314.325317
0.102051,-464.553223,-1216.646973,1,1369.703125,316.316284
0.100342,-464.553223,-1216.646973,1,1368.146484,306.689209
0.10083,-464.553223,-1216.646973,1,1367.823486,304.86969
0.102051,-464.553345,-1216.646973,1,1371.169312,309.859436
0.100342,-464.554779,-1216.64563,1,1372.439697,311.671997
0.101562,-464.560547,-1216.640991,1,1372.349365,309.658813
0.102051,-464.574829,-1216.629639,1,1255.308594,227.546509
0.104492,-464.601227,-1216.608032,1,1173.20752,260.341125
0.102295,-464.638824,-1216.577759,1,821.938049,374.50824
