time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,1038.506958,282.986267
0.102783,-420.936432,-476.272461,1,1291.348145,450.883423
0.10376,-420.935181,-476.273315,1,849.508179,340.354095
0.101318,-420.934906,-476.273468,1,1265.701294,294.037811
0.103271,-420.935516,-476.273041,1,1279.375366,163.916183
0.100098,-420.936371,-476.27243,1,1273.486694,142.847107
0.10083,-420.936676,-476.272308,1,1282.090454,178.128845
0.100342,-420.936157,-476.272675,1,1279.355469,168.878189
0.105225,-420.935211,-476.273285,1,1277.47998,256.727509
0.104248,-420.934723,-476.273651,1,1268.731079,382.169617
0.100586,-420.935028,-476.273407,1,1267.853149,392.557495
0.104492,-420.93576,-476.272919,1,1300.532227,344.5271
0.104004,-420.936279,-476.272583,1,1310.3302,184.666733
0.105469,-420.936066,-476.272644,1,1383.246582,183.873947
0.101807,-420.935547,-476.273071,1,1369.774536,238.141022
0.102783,-420.93515,-476.273376,1,1402.140991,325.665131
0.100586,-420.935089,-476.273376,1,1345.352051,393.365723
0.103271,-420.935364,-476.273193,1,1363.069214,343.528473
0.104004,-420.935608,-476.27301,1,1386.562988,307.734741
0.103271,-420.935577,-476.27298,1,1399.601318,307.45343
0.101074,-420.935486,-476.273132,1,1404.703491,305.425995
0.100342,-420.935272,-476.273285,1,1413.734741,242.540787
0.101562,-420.93512,-476.273407,1,1398.073242,296.460022
0.10083,-420.934937,-476.27356,1,1401.049438,279.763977
0.103027,-420.934418,-476.273926,1,1364.91272,330.256348
0.104004,-420.933228,-476.27475,1,1286.529785,203.94162
0.103271,-420.930969,-476.276306,1,1082.038086,297.738068
0.103516,-420.927032,-476.279144,1,354.121765,347.20575
0.101318,-420.921326,-476.283112,1,388.07373,370.117859
0.102783,-420.913757,-476.288422,1,827.870361,451.722321
0.103516,-420.904297,-476.295074,1,1008.475525,492.593658
0.100586,-420.893341,-476.302673,1,1014.448303,485.988373
0.100098,-420.880829,-476.31134,1,1116.732544,387.696411
0.106445,-420.865784,-476.321869,1,1234.756226,222.199707
0.105713,-420.84906,-476.333588,1,1263.529907,208.163055
0.105957,-420.830414,-476.346588,1,1259.530762,184.646683
0.105225,-420.81015,-476.360809,1,1199.293823,219.711121
0.105469,-420.788208,-476.376343,1,869.172729,276.086609
0.104004,-420.764862,-476.392822,1,868.124695,318.46402
0.105225,-420.739532,-476.410706,1,866.275574,293.016907
0.101807,-420.71347,-476.429077,1,827.200745,298.818634
0.100586,-420.686157,-476.448334,1,857.812012,329.472198
0.105713,-420.655731,-476.469818,1,859.669312,316.647278
0.100586,-420.624908,-476.491547,1,855.502441,324.537354
0.100586,-420.591827,-476.514862,1,852.065002,318.124756
0.10083,-420.555664,-476.540314,1,775.855774,240.464279
0.101562,-420.514465,-476.569336,1,451.765228,-183.066559
0.103516,-420.46463,-476.604431,1,451.765228,-183.066559
0.102051,-420.403168,-476.647644,1,451.765228,-183.066559
0.105713,-420.322357,-476.704559,1,451.765228,-183.066559
0.105713,-420.219696,-476.776886,0,0,0
0.10083,-420.099335,-476.861664,1,1009.858215,411.767517
0.10083,-419.955719,-476.962982,1,926.610474,343.652832
0.101318,-419.785187,-477.083252,1,868.247131,341.194763
0.10083,-419.587982,-477.222382,1,848.134277,360.459656
0.102539,-419.358154,-477.38443,1,862.279297,360.493896
0.10083,-419.104401,-477.563354,1,869.776489,350.233917
0.102051,-418.819855,-477.764038,1,851.219849,337.538116
0.109131,-418.487396,-477.998596,1,856.779053,322.379425
0.109619,-418.125305,-478.254486,1,861.121948,311.501678
0.105957,-417.751343,-478.519592,1,854.767517,320.615509
0.105713,-417.358765,-478.798859,1,853.517029,342.558136
0.109131,-416.933411,-479.102661,1,922.961487,364.389252
0.10083,-416.528107,-479.39328,1,896.06073,331.94397
0.109131,-416.082947,-479.713623,1,853.07312,326.897125
0.101318,-415.667114,-480.013947,1,1004.695618,458.102753
0.100586,-415.252686,-480.314117,1,1030.615479,455.588226
0.100586,-414.836212,-480.616821,1,992.381287,446.051239
0.110107,-414.374817,-480.953827,1,990.174438,443.626434
0.109619,-413.905029,-481.298889,1,984.521973,460.400085
0.109131,-413.420227,-481.657318,1,1042.716797,443.145294
0.10083,-412.958466,-482.001465,1,1003.127625,440.38562
0.109619,-412.444244,-482.388306,1,1025.270874,465.629364
0.102539,-411.948334,-482.765869,1,1023.925781,483.644409
0.103027,-411.435486,-483.161591,1,970.578735,481.261383
0.111572,-410.864777,-483.609222,1,933.496216,452.302002
0.104736,-410.317657,-484.046204,1,929.825806,444.721649
0.110107,-409.728668,-484.525665,1,1045.142944,458.097473
0.100342,-409.180878,-484.97995,1,1035.723755,489.861298
0.109863,-408.568787,-485.496704,1,1048.566162,465.663879
0.108887,-407.951782,-486.026825,1,1048.199829,499.147736
0.109619,-407.319183,-486.579529,1,589.555603,430.228943
0.100342,-406.730988,-487.101685,1,582.163147,381.658234
0.107666,-406.089783,-487.679962,1,365.569244,335.55426
0.106934,-405.44342,-488.272247,1,361.982788,348.262207
0.109375,-404.773743,-488.895355,1,371.462128,358.189514
0.107666,-404.104279,-489.527191,1,1109.660889,510.614319
