time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,82.900734,40.313046
0.103516,-464.552704,-1216.647827,0,0,0
0.109375,-464.55368,-1216.646973,0,0,0
0.109375,-464.553772,-1216.646851,0,0,0
0.107422,-464.553131,-1216.647583,1,1094.672729,204.16864
0.111328,-464.552338,-1216.648071,1,1045.550781,203.779678
0.111328,-464.552338,-1216.647949,1,1216.053833,91.97937
0.111328,-464.553101,-1216.647339,1,1200.231934,112.556396
0.111328,-464.553833,-1216.646851,1,1139.053467,106.033363
0.111328,-464.553864,-1216.646851,1,1212.594971,124.338753
0.107422,-464.553162,-1216.647461,1,1267.697998,118.847115
0.109375,-464.552521,-1216.648071,1,1266.932251,120.154327
0.107422,-464.55249,-1216.648071,1,1238.287109,204.705307
0.109375,-464.552948,-1216.647461,1,1197.810791,252.147964
0.109375,-464.553375,-1216.647217,1,1019.100464,340.106812
0.111328,-464.553345,-1216.647217,1,1009.383301,341.526245
0.113281,-464.55304,-1216.647217,1,1249.148804,277.996063
0.105469,-464.552765,-1216.647217,1,1252.912964,279.027588
0.103516,-464.552734,-1216.647217,1,1277.111694,250.902084
0.107422,-464.552887,-1216.647339,1,1275.786377,248.200363
0.109375,-464.55304,-1216.647217,1,1270.293335,245.705719
0.113281,-464.55307,-1216.647217,1,1269.415527,246.852844
0.111328,-464.55307,-1216.647217,1,1279.023315,254.242111
0.109375,-464.55307,-1216.647339,1,1289.509888,234.328979
0.113281,-464.55304,-1216.647217,1,1299.900024,235.2379
0.111328,-464.55304,-1216.647217,1,1282.860962,232.992538
0.101562,-464.55304,-1216.647217,1,1293.430298,234.878159
0.109375,-464.55304,-1216.647217,1,1292.420044,227.945953
0.111328,-464.55307,-1216.647217,1,1277.714111,236.652634
0.111328,-464.553101,-1216.647217,1,1296.782227,221.29187
0.101562,-464.553101,-1216.647217,1,1293.265747,219.006577
0.103516,-464.553406,-1216.647095,1,1222.265503,91.385559
0.113281,-464.554413,-1216.646362,1,1227.963989,101.455215
0.109375,-464.55661,-1216.644531,1,1234.982178,107.382256
0.101562,-464.560303,-1216.641724,1,1179.434448,-37.796635
0.101562,-464.565613,-1216.637207,1,1233.897949,117.715523
0.109375,-464.57312,-1216.631104,1,1229.387817,100.541229
0.111328,-464.582703,-1216.623413,1,1242.983276,195.590698
0.109375,-464.593842,-1216.61438,1,1258.608154,206.263046
0.113281,-464.607025,-1216.603516,1,1253.935181,185.658478
0.111328,-464.622009,-1216.591431,1,1203.077393,151.235794
