time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094177,4.425294,1,1151.839966,422.056244
0.108398,-318.106476,4.404268,0,0,0
0.102539,-318.105957,4.391959,1,1064.672852,405.454132
0.101562,-318.107239,4.381944,1,1181.616577,654.888916
0.101562,-318.109131,4.378144,1,1150.903687,502.295624
0.101562,-318.110657,4.381719,1,1141.014404,441.590302
0.101562,-318.111145,4.389534,1,1183.082153,371.90213
0.101562,-318.11084,4.395563,1,1409.833374,204.083206
0.101562,-318.110229,4.395987,1,1375.236572,257.700317
0.106445,-318.109619,4.391619,1,1566.656372,211.411072
0.106445,-318.109131,4.386968,1,1603.670044,167.614075
0.105469,-318.109009,4.385692,1,1609.103516,238.501526
0.103516,-318.10907,4.387547,1,1588.95813,168.745148
0.104492,-318.109253,4.390141,1,1564.869751,166.547073
0.104492,-318.109528,4.39134,1,1567.091919,157.412933
0.103516,-318.109741,4.390852,1,1616.322754,164.461884
0.106445,-318.109802,4.389664,1,1634.688843,153.157059
0.104492,-318.109741,4.388884,1,1514.595459,-97.703003
0.107422,-318.10965,4.388844,1,1401.669067,217.733826
0.108398,-318.109619,4.389268,1,1407.842285,312.796844
0.106445,-318.109589,4.389691,1,1415.582153,324.648438
0.108398,-318.109619,4.389874,1,1522.084229,323.154999
0.100586,-318.10965,4.389817,1,1523.776245,336.129303
0.105469,-318.10965,4.389641,1,1554.662476,313.278351
0.107422,-318.109711,4.389482,1,1543.572876,312.336761
0.108398,-318.10968,4.389433,1,1543.304321,320.194122
0.107422,-318.10968,4.3895,1,1529.587646,199.938217
0.105469,-318.10965,4.389611,1,1517.752563,-70.652252
0.105469,-318.10965,4.389685,1,1517.752563,-70.652252
0.105469,-318.10965,4.389686,1,1517.752563,-70.652252
0.106445,-318.10965,4.389636,1,1517.752563,-70.652252
0.106445,-318.10968,4.38959,1,1517.752563,-70.652252
0.105469,-318.10968,4.389583,0,0,0
0.107422,-318.10968,4.389611,0,0,0
0.106445,-318.10968,4.389648,1,1483.783447,386.853699
0.106445,-318.10968,4.389669,1,1463.363647,372.451019
0.106445,-318.10968,4.38967,1,1580.748169,326.545105
0.106445,-318.10968,4.389659,1,1497.21875,278.679321
0.107422,-318.10968,4.389654,1,1042.208862,469.615479
0.107422,-318.10968,4.389658,1,1048.239746,460.990753
0.109375,-318.10968,4.389672,1,1046.778076,457.455841
0.109375,-318.10968,4.389559,1,1332.042358,292.789124
0.109375,-318.10968,4.388957,1,1425.572021,209.206329
0.102539,-318.109741,4.387412,1,1413.121216,211.994583
0.107422,-318.109894,4.384066,1,1389.752441,196.356064
0.107422,-318.110199,4.378405,1,1364.102417,177.628769
0.109375,-318.110626,4.370344,1,1042.46936,330.348785
0.109375,-318.111145,4.359828,1,977.163391,338.346649
0.100586,-318.111786,4.348184,1,955.53833,308.225342
0.102539,-318.112488,4.334362,1,963.586792,312.167328
0.102539,-318.113281,4.318542,1,944.797974,306.476776
0.102539,-318.114227,4.3009,1,969.262268,328.322144
0.100586,-318.115204,4.281323,1,970.936768,329.52655
0.101562,-318.116272,4.258995,1,972.643921,319.939453
0.103516,-318.117584,4.232319,1,986.786621,532.856018
0.104492,-318.119354,4.196568,1,992.390686,521.73999
0.103516,-318.122009,4.142431,1,999.616699,518.133179
0.105469,-318.126495,4.051169,1,897.407349,417.758728
0.106445,-318.133331,3.912429,1,775.439697,-42.596336
0.104492,-318.142151,3.73303,1,1026.486084,484.193054
0.102539,-318.152863,3.51227,1,996.231567,516.072632
0.101562,-318.165283,3.253577,1,998.337952,511.498535
0.103516,-318.179688,2.946224,1,996.049561,517.709656
0.102539,-318.195648,2.597931,1,1416.462036,295.797089
0.103516,-318.213348,2.203633,1,1414.211182,299.872375
0.101562,-318.232147,1.774281,1,1420.58667,191.806625
0.109375,-318.253632,1.265006,1,1425.990479,198.308685
0.108398,-318.276276,0.710028,1,1120.969604,394.220428
0.104492,-318.298889,0.131643,1,1022.81366,473.160004
0.105469,-318.322205,-0.491903,1,1020.977112,476.622742
0.105469,-318.346191,-1.16488,1,1003.163452,513.415039
0.102539,-318.369843,-1.864292,1,1006.151855,511.583038
0.103516,-318.393433,-2.597203,1,1007.990784,504.260925
0.103516,-318.416565,-3.355244,1,1008.567688,498.999176
0.106445,-318.440308,-4.165992,1,1009.869568,504.654572
0.104492,-318.46402,-4.996091,1,989.803528,441.967651
0.103516,-318.487854,-5.84399,1,991.574036,439.468903
0.102539,-318.512115,-6.70921,1,1018.7677,506.14743
0.101562,-318.537201,-7.600551,1,1021.411743,508.477081
0.103516,-318.563629,-8.531336,1,1017.733154,509.224335
0.102539,-318.590515,-9.470418,1,1013.22052,521.092163
0.113281,-318.621338,-10.54647,1,1013.614746,503.516724
0.101562,-318.649475,-11.529018,1,1002.0625,504.907532
0.103516,-318.679413,-12.577765,1,1000.529907,503.323303
0.104492,-318.710938,-13.68501,1,999.578613,505.89743
0.110352,-318.745331,-14.893294,1,1463.419678,70.433182
0.101562,-318.778473,-16.058846,1,1447.375366,195.15831
0.101562,-318.812592,-17.255819,1,1417.541748,211.022568
0.100586,-318.8479,-18.492811,1,1379.739014,216.121628
0.101562,-318.883667,-19.746462,1,1383.319214,213.396179
0.102539,-318.92041,-21.035286,1,1037.89209,498.611328
0.105469,-318.959015,-22.390907,1,1045.673706,499.794891
0.105469,-318.998199,-23.763525,1,1044.324097,495.191833
0.101562,-319.036407,-25.104347,1,1025.657471,493.316895
