time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.550201,-1216.649902,1,1202.455322,216.751953
0.101562,-464.553009,-1216.647705,1,300.3349,129.273758
0.103516,-464.554047,-1216.646851,1,433.708252,248.479614
0.107422,-464.554016,-1216.646729,1,958.234863,461.721252
0.103516,-464.553223,-1216.647339,1,965.77356,494.145142
0.107422,-464.552399,-1216.648071,1,1165.749756,459.339813
0.107422,-464.552307,-1216.648071,1,1385.719849,377.763519
0.107422,-464.55307,-1216.647217,1,1381.281128,311.83667
0.107422,-464.553894,-1216.646729,1,1421.536133,304.52475
0.109375,-464.554047,-1216.646606,1,1395.29248,338.694458
0.107422,-464.553436,-1216.647217,1,1381.892456,373.925293
0.105469,-464.552734,-1216.647827,1,1410.75647,302.084198
0.105469,-464.552521,-1216.647949,1,1417.868652,311.815247
0.109375,-464.552917,-1216.647705,1,1476.702148,308.481476
0.107422,-464.553406,-1216.646973,1,1444.074097,327.159882
0.107422,-464.553528,-1216.646973,1,1522.723267,397.732208
0.105469,-464.553314,-1216.646973,1,1462.274414,448.303497
0.105469,-464.552948,-1216.646973,1,1079.56897,615.445435
0.101562,-464.552856,-1216.646973,1,919.218506,428.726501
0.103516,-464.552948,-1216.647095,1,1094.015869,413.964844
0.101562,-464.553131,-1216.646973,1,946.617676,398.333588
0.101562,-464.553192,-1216.646973,1,1019.502869,527.669128
0.103516,-464.553223,-1216.646973,1,1377.479004,413.216156
0.103516,-464.553192,-1216.646973,1,1404.749756,400.497345
0.101562,-464.553162,-1216.646973,1,1445.320557,420.025574
0.105469,-464.553162,-1216.646973,1,1445.143555,389.890137
0.105469,-464.553162,-1216.646973,1,1447.985229,414.926392
0.105469,-464.553162,-1216.646973,1,1404.388184,385.679443
0.105469,-464.553192,-1216.646973,1,1360.683716,342.404755
0.103516,-464.553406,-1216.646851,1,1350.379517,348.856689
0.105469,-464.554077,-1216.646362,1,1327.970459,343.650055
0.103516,-464.555603,-1216.64502,1,1365.25415,346.274414
0.107422,-464.558777,-1216.642578,1,997.736145,551.148499
0.105469,-464.563568,-1216.63855,1,778.211365,554.908569
0.101562,-464.569824,-1216.633423,1,816.608398,320.993591
0.101562,-464.577728,-1216.626953,1,854.088806,497.841034
0.107422,-464.58783,-1216.618774,1,992.853516,356.703583
0.101562,-464.598755,-1216.609741,1,894.833069,413.740875
0.109375,-464.612122,-1216.598755,1,732.335449,430.689667
0.107422,-464.627441,-1216.58606,1,841.38678,417.573669
0.101562,-464.643616,-1216.572388,1,821.886536,457.328156
0.107422,-464.662781,-1216.556763,1,924.798401,414.231018
0.103516,-464.683838,-1216.539307,1,843.255127,436.341461
0.103516,-464.708099,-1216.519287,1,813.848938,459.149078
0.101562,-464.736755,-1216.495483,1,813.848938,459.149078
0.103516,-464.772369,-1216.465942,1,747.688782,511.769196
0.107422,-464.818756,-1216.427368,1,906.115356,405.821686
0.107422,-464.881622,-1216.375,1,843.620422,448.858612
0.103516,-464.96109,-1216.30896,1,919.4328,440.280975
0.107422,-465.069366,-1216.218994,1,1144.530029,528.581726
0.101562,-465.191833,-1216.116821,1,1109.406616,512.221191
0.105469,-465.343597,-1215.990112,1,1126.034424,527.910217
0.105469,-465.518158,-1215.844116,1,1160.187378,521.481323
0.103516,-465.710297,-1215.682861,1,1204.799561,552.686279
0.105469,-465.927032,-1215.5,1,1201.730225,563.315491
0.101562,-466.153778,-1215.308105,1,1213.136719,562.555786
0.111328,-466.419312,-1215.082275,1,1431.601196,595.182129
0.105469,-466.694122,-1214.847412,1,1410.529541,609.049072
0.105469,-466.986481,-1214.596313,1,1332.687744,624.343079
0.109375,-467.304718,-1214.321533,1,1322.072876,623.085632
0.103516,-467.613586,-1214.052979,1,924.022461,480.670624
0.111328,-467.962372,-1213.747437,1,893.595215,462.186249
0.107422,-468.296021,-1213.452759,1,883.468323,454.517273
0.105469,-468.621613,-1213.162598,1,868.584167,458.739136
0.101562,-468.936462,-1212.879272,1,1004.686462,478.38504
0.103516,-469.246948,-1212.596802,1,991.246948,503.480194
0.107422,-469.56366,-1212.305054,1,999.236145,499.897522
0.105469,-469.865265,-1212.023193,1,971.602051,454.842468
0.111328,-470.179443,-1211.723999,1,981.613953,466.080902
0.109375,-470.485107,-1211.426636,1,980.793945,516.177795
0.107422,-470.769714,-1211.143066,1,1013.626465,501.532928
0.103516,-471.041626,-1210.866089,1,1033.352783,549.931824
0.103516,-471.30777,-1210.589478,1,1051.298218,530.555176
0.105469,-471.567322,-1210.313843,1,1056.490112,544.353882
0.101562,-471.816895,-1210.043335,1,1350.497437,540.739075
0.101562,-472.055603,-1209.779419,1,1387.656738,561.704163
0.105469,-472.299469,-1209.504272,1,1355.546997,538.265503
0.105469,-472.536407,-1209.230957,1,1347.025391,545.532593
0.101562,-472.756989,-1208.970215,1,1094.710938,517.244446
0.111328,-472.98999,-1208.68689,1,1114.530273,469.940063
0.103516,-473.202881,-1208.419312,1,1081.364746,496.876984
0.103516,-473.405884,-1208.155151,1,1078.747803,460.805054
0.103516,-473.599762,-1207.893555,1,1039.418091,395.422333
0.101562,-473.784058,-1207.634399,1,1021.184448,515.779358
0.107422,-473.973633,-1207.357178,1,1062.221069,545.316101
0.101562,-474.145508,-1207.096436,1,1105.546143,477.435486
0.111328,-474.325806,-1206.811401,1,1009.36908,426.614136
0.111328,-474.49823,-1206.52771,1,1098.042603,466.872681
0.107422,-474.660675,-1206.249878,1,1195.363892,531.403015
0.105469,-474.81662,-1205.974365,1,1185.596802,464.123199
0.101562,-474.964294,-1205.70813,1,1177.629028,489.861023
0.103516,-475.115753,-1205.434204,1,1103.881714,671.827637
0.107422,-475.274628,-1205.151001,1,1105.008057,787.318909
0.103516,-475.431976,-1204.87561,1,950.476624,335.879028
0.101562,-475.589783,-1204.603027,1,947.198303,713.27832
0.109375,-475.765167,-1204.298584,1,933.822632,430.776978
0.105469,-475.937469,-1203.990723,1,921.038818,407.336182
0.107422,-476.114105,-1203.660278,1,919.313538,418.576721
