time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094452,4.425068,1,167.212189,300.081329
0.103973,-318.106567,4.403598,0,0,0
0.107513,-318.106049,4.390265,0,0,0
0.104706,-318.107361,4.380667,1,807.233459,-91.972984
0.106354,-318.109314,4.378077,1,701.497864,449.4198
0.107208,-318.110779,4.383081,1,1155.518433,367.034515
0.102509,-318.111176,4.390837,1,1253.253906,323.255157
0.104462,-318.110779,4.395744,1,1252.18042,328.078186
0.103973,-318.110168,4.394742,1,1259.4552,311.560669
0.106781,-318.109589,4.389897,1,1270.60498,316.214417
0.100983,-318.109222,4.386097,1,1375.438721,315.950745
0.104431,-318.10907,4.385573,1,1397.439697,325.569916
0.100769,-318.109222,4.38768,1,1431.071045,310.611298
0.108185,-318.109436,4.390188,1,1380.630249,301.316406
0.100922,-318.109711,4.391015,1,1377.42395,393.31665
0.109253,-318.109924,4.390268,1,1398.957397,432.897034
0.106049,-318.109924,4.389087,1,1324.365356,428.636993
0.106384,-318.109833,4.388457,1,907.378906,221.820587
0.106079,-318.109772,4.388564,1,907.378906,221.820587
0.106476,-318.109741,4.389025,1,907.378906,221.820587
0.102295,-318.109711,4.389402,1,907.378906,221.820587
0.108551,-318.109741,4.389533,1,907.378906,221.820587
0.102386,-318.109802,4.389439,1,1649.717773,232.019669
0.10611,-318.109802,4.389254,1,1414.156372,26.0012
0.105957,-318.109833,4.389115,1,1472.193359,494.694519
0.10321,-318.109802,4.389091,1,1576.255371,459.950531
0.103729,-318.109802,4.389167,1,1434.985718,518.880798
0.104675,-318.109772,4.389275,1,1423.708374,497.362946
0.103851,-318.109772,4.38934,1,1422.616821,483.400085
0.100616,-318.109772,4.389337,1,1414.723389,470.170319
0.104431,-318.109772,4.389287,1,1428.016602,442.515015
0.105377,-318.109802,4.389242,1,1403.343628,462.027161
0.104767,-318.109802,4.389235,1,1394.65918,448.317261
0.107208,-318.109802,4.389263,1,1038.889893,478.448608
0.10907,-318.109802,4.389301,1,987.627136,466.42981
0.107758,-318.109802,4.389322,1,803.079651,490.583069
0.108307,-318.109802,4.389321,1,771.425293,492.578033
0.107483,-318.109802,4.389311,1,765.238953,491.567352
0.1026,-318.109802,4.389308,1,775.58313,494.41333
0.102142,-318.109802,4.389266,1,1166.359497,407.969666
0.103882,-318.109802,4.388954,1,1259.888184,424.361328
0.105316,-318.109802,4.387927,1,1451.847168,-37.862976
0.108032,-318.109955,4.385474,1,1451.847168,-37.862976
0.102142,-318.110107,4.381188,1,1451.847168,-37.862976
0.108704,-318.110474,4.37431,1,1451.847168,-37.862976
0.102356,-318.11087,4.365674,1,1451.847168,-37.862976
0.101288,-318.111328,4.355127,1,1136.304321,91.530006
0.100189,-318.111969,4.342789,1,1156.496582,323.719574
0.102875,-318.11261,4.328174,1,1283.184814,216.85585
0.103363,-318.113373,4.311498,1,1290.294067,240.886505
0.106018,-318.114227,4.292323,1,1306.370239,260.399261
0.103729,-318.115173,4.271537,1,1223.384644,299.497742
