time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,1962.959717,352.147858
0.101562,-464.552979,-1216.647827,1,1956.615112,358.987122
0.107422,-464.554047,-1216.646729,1,1858.038208,219.391571
0.101562,-464.554016,-1216.646729,1,1957.125732,367.925873
0.104492,-464.553223,-1216.647339,1,1958.343262,317.267181
0.105469,-464.552399,-1216.647949,1,1739.166016,334.531525
0.100586,-464.552277,-1216.648071,1,1988.447998,334.67514
0.100586,-464.552917,-1216.647461,1,2059.953857,338.776367
0.107422,-464.553802,-1216.646973,1,2057.514893,331.230469
0.107422,-464.554108,-1216.646606,1,2225.897949,208.544357
0.100586,-464.55365,-1216.647095,1,2224.485107,202.70993
0.108398,-464.552826,-1216.647583,1,2223.038574,200.07843
0.107422,-464.55249,-1216.647949,1,2231.181152,158.189285
0.100586,-464.552765,-1216.647705,1,2233.25293,159.630035
0.107422,-464.553284,-1216.647095,1,2224.929199,166.507126
0.107422,-464.553528,-1216.646973,1,2224.929199,166.507126
0.106445,-464.553436,-1216.646973,1,2301.39502,1001.354248
0.101562,-464.553101,-1216.646973,1,2186.339355,292.985168
0.107422,-464.552917,-1216.646973,1,2185.727783,290.600494
0.107422,-464.552948,-1216.647095,1,2148.594727,296.459534
0.100586,-464.55307,-1216.646973,1,2101.028564,309.993317
0.106445,-464.553223,-1216.647095,1,2109.178711,261.907928
0.107422,-464.553223,-1216.646973,1,2109.178711,261.907928
0.100586,-464.553253,-1216.647095,1,2109.178711,261.907928
0.107422,-464.553223,-1216.646973,1,2109.178711,261.907928
0.107422,-464.553192,-1216.646973,1,2109.178711,261.907928
0.105469,-464.553223,-1216.646973,0,0,0
0.104492,-464.553192,-1216.646973,0,0,0
0.104492,-464.553223,-1216.646973,0,0,0
0.105469,-464.553223,-1216.646973,0,0,0
0.107422,-464.553192,-1216.646973,0,0,0
0.101562,-464.553162,-1216.646851,0,0,0
0.106445,-464.553192,-1216.646973,0,0,0
0.106445,-464.553192,-1216.646973,0,0,0
0.102539,-464.553192,-1216.646973,0,0,0
0.107422,-464.553223,-1216.646973,1,2271.074463,244.242706
0.101562,-464.553223,-1216.646973,1,2259.792969,253.517319
0.104492,-464.553223,-1216.646973,1,2245.737061,244.42804
0.101562,-464.553223,-1216.646973,1,2254.712646,231.503281
0.100586,-464.553192,-1216.646973,1,2268.005127,221.962677
0.103516,-464.553192,-1216.647095,1,2282.517578,218.366989
0.107422,-464.553192,-1216.646973,1,2283.837402,216.401031
0.102539,-464.553223,-1216.646973,1,2283.762695,219.490067
0.101562,-464.553223,-1216.646973,1,2276.145752,224.133011
0.101562,-464.553223,-1216.646973,1,2277.25415,224.299179
0.102539,-464.553253,-1216.646973,1,2276.893066,221.994446
0.102539,-464.553223,-1216.646851,1,2276.788818,224.010742
0.100586,-464.553223,-1216.646973,1,2274.226318,223.835114
0.101562,-464.553192,-1216.646973,1,2274.934814,221.104507
0.107422,-464.553192,-1216.646973,1,2272.109375,223.265381
0.107422,-464.553284,-1216.646973,1,2273.361084,226.629395
0.106445,-464.553864,-1216.646729,1,2195.613525,253.000122
0.103516,-464.555145,-1216.645508,1,1994.368286,302.873901
