time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,0,0,0
0.101562,-420.936584,-476.2724,0,0,0
0.105469,-420.935242,-476.273285,0,0,0
0.101562,-420.934906,-476.273499,0,0,0
0.105469,-420.935516,-476.273102,0,0,0
0.101562,-420.936371,-476.272461,0,0,0
0.105469,-420.936646,-476.272247,1,760.403442,517.488037
0.105469,-420.936035,-476.272705,1,884.767334,367.83194
0.105469,-420.93512,-476.273376,1,925.208923,324.890869
0.101562,-420.934692,-476.273651,1,902.536682,288.143951
0.105469,-420.935089,-476.273346,1,1213.756104,272.0513
0.105469,-420.935822,-476.272827,1,1205.727417,287.290466
0.105469,-420.936249,-476.272552,1,1276.995361,348.322784
0.101562,-420.936066,-476.272705,1,1298.194458,382.067749
0.101562,-420.935516,-476.273102,1,1315.653198,397.729401
0.109375,-420.935089,-476.273376,1,1312.472046,400.385864
0.105469,-420.93512,-476.273315,1,1327.394531,401.488342
0.109375,-420.935425,-476.273163,1,1330.084717,372.978882
0.105469,-420.935608,-476.27298,1,1392.884155,353.861206
0.105469,-420.935608,-476.273041,1,1376.299316,348.725098
0.105469,-420.935425,-476.273193,1,1349.081177,333.502838
0.105469,-420.935242,-476.273315,1,1306.2323,278.764374
0.109375,-420.935211,-476.273346,1,1352.59082,315.922119
0.105469,-420.935211,-476.273346,1,1367.998535,340.975159
0.105469,-420.935242,-476.273285,1,1371.055054,341.188232
0.105469,-420.935272,-476.273346,1,1292.289551,243.310226
0.101562,-420.935181,-476.273315,1,1288.194336,230.725159
0.101562,-420.934937,-476.273499,1,1295.840576,190.020279
0.105469,-420.934296,-476.273987,1,1267.05249,189.85376
0.101562,-420.932892,-476.274994,1,1298.284302,284.185242
0.101562,-420.930237,-476.276825,1,1287.255249,237.044388
0.109375,-420.925629,-476.280121,1,1175.151489,128.467316
0.105469,-420.919189,-476.284668,1,1101.285278,55.584759
0.105469,-420.910614,-476.290741,1,1151.102539,127.359589
0.101562,-420.90094,-476.297455,1,1140.888062,54.815212
0.105469,-420.888733,-476.305969,1,902.283325,220.065002
0.105469,-420.874878,-476.315643,1,901.198975,257.708435
0.101562,-420.859497,-476.326355,1,854.299866,203.512558
0.105469,-420.841919,-476.338623,1,1038.081421,424.884308
0.105469,-420.822754,-476.35199,1,1020.067078,408.147339
0.109375,-420.801514,-476.366791,1,1004.34314,432.850769
0.105469,-420.778351,-476.382965,1,926.281738,187.2444
0.109375,-420.753387,-476.400391,1,1011.171326,456.80304
0.105469,-420.726868,-476.418823,1,1092.469238,240.641586
0.105469,-420.698822,-476.438354,1,923.241272,438.718475
0.109375,-420.667572,-476.460205,1,911.846802,461.694183
0.101562,-420.636658,-476.481781,1,926.276794,490.613281
0.101562,-420.601044,-476.506592,1,460.673462,523.417053
0.105469,-420.556549,-476.537628,1,430.302765,566.540039
0.101562,-420.505157,-476.573425,1,427.282135,555.623535
0.105469,-420.438385,-476.619995,1,575.736877,513.42572
0.105469,-420.351288,-476.680695,1,943.501038,512.403198
0.105469,-420.238983,-476.759033,1,938.030884,500.88559
0.105469,-420.098358,-476.857086,1,1056.166992,511.897644
0.105469,-419.930511,-476.97406,1,1055.089233,485.228668
0.101562,-419.73996,-477.106903,1,885.924683,392.080841
0.101562,-419.531189,-477.252411,1,883.508484,387.175903
0.105469,-419.280762,-477.427002,1,884.16803,390.57608
0.109375,-419.000977,-477.622131,1,505.806427,514.267212
0.101562,-418.712067,-477.823578,1,495.458344,515.508911
0.109375,-418.365051,-478.065521,1,482.381287,523.717285
0.113281,-417.994659,-478.323669,1,1026.280273,471.266968
0.105469,-417.605316,-478.595154,1,1032.453125,481.265808
0.109375,-417.181976,-478.89035,1,1050.041016,540.663879
0.105469,-416.765533,-479.180664,1,1040.616089,546.039612
0.101562,-416.323517,-479.4888,1,1046.615723,554.363892
0.113281,-415.812531,-479.845123,1,745.394958,-291.337982
0.113281,-415.280731,-480.216248,1,897.659363,469.128418
0.109375,-414.742676,-480.592712,1,899.939026,522.087646
0.101562,-414.23349,-480.950623,1,886.52124,509.254211
0.109375,-413.666321,-481.352234,1,890.741394,519.423462
0.113281,-413.07251,-481.776703,1,944.219543,531.415649
0.109375,-412.474121,-482.209351,1,998.94458,547.62915
0.113281,-411.841064,-482.672699,1,1008.132385,522.300293
0.109375,-411.199005,-483.148621,1,1080.733276,553.13092
0.101562,-410.611298,-483.589142,1,1074.214966,553.524597
0.101562,-410.013458,-484.041779,1,1078.748535,545.728394
0.101562,-409.409454,-484.503662,1,1080.684937,548.049316
0.113281,-408.704895,-485.048828,1,951.257568,523.2901
0.109375,-408.022919,-485.584412,1,950.298645,535.624695
0.109375,-407.326019,-486.141113,1,953.742004,522.192139
0.113281,-406.607819,-486.726135,1,949.504639,515.565857
0.109375,-405.887299,-487.325226,1,1006.811279,520.764099
0.113281,-405.150543,-487.950653,1,1078.296509,530.811218
0.113281,-404.410645,-488.592041,1,1079.077148,530.597534
0.109375,-403.674988,-489.242096,1,1087.922119,526.4245
0.109375,-402.929352,-489.913574,1,1084.406616,523.590942
0.101562,-402.254364,-490.53244,1,1082.483765,532.448425
0.101562,-401.575867,-491.165588,1,988.171021,490.642029
0.113281,-400.806671,-491.897552,1,933.402771,454.193359
0.109375,-400.048706,-492.634644,1,978.96936,492.904999
0.113281,-399.282837,-493.396362,1,1006.748901,528.29541
0.109375,-398.484589,-494.208466,1,1010.625488,530.840088
0.105469,-397.719818,-495.003784,1,1058.563599,561.830627
0.105469,-396.922516,-495.849945,1,1067.476685,552.853638
0.105469,-396.122437,-496.716461,1,1053.473022,555.313416
0.101562,-395.310913,-497.614166,1,1047.390503,550.819092
0.101562,-394.50766,-498.521606,1,1048.067871,550.706665
0.113281,-393.625427,-499.541443,1,1053.608521,535.066528
0.101562,-392.83078,-500.481476,1,1043.782715,542.221619
0.101562,-392.026794,-501.453949,1,1045.637085,551.471008
0.101562,-391.234802,-502.432495,1,1275.636963,229.525589
0.101562,-390.44101,-503.432739,1,1272.125488,219.529144
0.101562,-389.641541,-504.458344,1,1265.468262,222.216522
0.105469,-388.829834,-505.515137,1,1041.158691,542.739929
0.101562,-388.030975,-506.567627,1,1027.933105,536.567688
0.101562,-387.246277,-507.612244,1,1029.562744,539.018921
0.101562,-386.444794,-508.689697,1,1028.3396,544.895142
0.101562,-385.664764,-509.748871,1,1271.108154,235.974792
0.113281,-384.774445,-510.971344,1,1267.459839,213.925995
0.113281,-383.891418,-512.199585,1,1340.69165,217.724243
0.109375,-383.015686,-513.434265,1,1327.627686,199.759827
0.101562,-382.233643,-514.551697,1,1329.574829,209.055939
0.109375,-381.357208,-515.820862,1,1083.271362,513.038269
0.101562,-380.576752,-516.966858,1,1081.103271,527.059631
0.101562,-379.779633,-518.153076,1,1029.631104,551.287659
0.101562,-379.012329,-519.311584,1,988.962036,549.504822
0.109375,-378.148071,-520.638489,1,991.856445,564.9776
0.101562,-377.378387,-521.841797,1,1029.037598,593.239319
0.113281,-376.514679,-523.218689,1,1028.340942,602.431091
0.109375,-375.667969,-524.597351,1,1022.025513,595.562805
0.105469,-374.876007,-525.911499,1,1018.10553,584.6698
0.101562,-374.131287,-527.165527,1,1014.951782,582.398132
0.101562,-373.390411,-528.428772,1,1009.988281,582.365967
0.109375,-372.574219,-529.835815,1,1021.431213,594.793396
0.105469,-371.780823,-531.217773,1,1022.61084,595.262329
0.109375,-370.962189,-532.658813,1,1013.678711,593.583923
0.101562,-370.224304,-533.97168,1,1011.179138,589.545166
0.101562,-369.492584,-535.288391,1,1036.396362,246.803329
0.109375,-368.673492,-536.787598,1,952.634888,535.027954
0.101562,-367.961182,-538.123047,1,958.535645,544.524292
0.101562,-367.245361,-539.504456,1,942.548096,557.398071
0.101562,-366.542267,-540.907288,1,783.422729,580.466431
0.101562,-365.858948,-542.317444,1,784.84314,437.795074
0.113281,-365.118378,-543.892029,1,704.02301,474.571533
0.113281,-364.37384,-545.508057,1,798.430054,569.100464
0.113281,-363.63205,-547.132568,1,798.532104,556.095581
0.105469,-362.912079,-548.711792,1,811.051514,550.628662
0.113281,-362.169617,-550.339783,1,833.514893,499.368286
0.105469,-361.437836,-551.94574,1,866.76532,567.803223
0.113281,-360.666687,-553.641541,1,932.358582,573.248596
0.101562,-359.966125,-555.186584,1,944.2146,577.481628
0.109375,-359.203796,-556.874329,1,955.324219,575.552368
0.105469,-358.51297,-558.411804,1,953.824341,586.278137
0.101562,-357.839142,-559.919006,1,957.094238,587.208008
0.113281,-357.08252,-561.62146,1,955.727539,591.254395
0.109375,-356.366791,-563.244568,1,960.24353,591.993347
0.109375,-355.657623,-564.867554,1,975.226501,597.708191
0.113281,-354.955444,-566.491882,1,987.761536,606.654358
0.109375,-354.259186,-568.11908,1,972.327576,616.079834
0.101562,-353.645447,-569.563904,1,970.971008,619.026428
0.109375,-352.976929,-571.14502,1,974.25647,596.763367
0.113281,-352.296143,-572.758972,1,983.0578,600.884949
0.113281,-351.618744,-574.366882,1,980.350342,601.563049
0.109375,-350.964874,-575.920227,1,876.411255,375.513733
