time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.550415,-1216.649658,0,0,0
0.105469,-464.55307,-1216.647705,0,0,0
0.111328,-464.554138,-1216.646851,0,0,0
0.101562,-464.553986,-1216.646851,0,0,0
0.101562,-464.553162,-1216.647461,0,0,0
0.111328,-464.552338,-1216.648071,0,0,0
0.107422,-464.552338,-1216.647949,0,0,0
0.101562,-464.55307,-1216.647339,1,821.68866,800.067993
0.113281,-464.553925,-1216.646729,1,1122.150391,612.619507
0.113281,-464.553986,-1216.646606,1,1113.08728,494.769165
0.113281,-464.553284,-1216.647339,1,1101.007812,480.457764
0.101562,-464.552643,-1216.647827,1,1101.007812,480.457764
0.103516,-464.552521,-1216.647949,1,1101.007812,480.457764
0.113281,-464.552948,-1216.647583,1,1101.007812,480.457764
0.101562,-464.553406,-1216.646851,1,1101.007812,480.457764
0.113281,-464.553497,-1216.646973,0,0,0
0.101562,-464.553253,-1216.646973,0,0,0
0.103516,-464.552948,-1216.646973,0,0,0
0.103516,-464.552887,-1216.646973,0,0,0
0.105469,-464.552948,-1216.647095,0,0,0
0.109375,-464.553162,-1216.646973,0,0,0
0.109375,-464.553192,-1216.646851,0,0,0
0.107422,-464.553192,-1216.646973,0,0,0
0.105469,-464.553192,-1216.647095,0,0,0
0.107422,-464.553162,-1216.646973,0,0,0
0.107422,-464.553162,-1216.646973,0,0,0
0.107422,-464.553162,-1216.646973,0,0,0
0.107422,-464.553162,-1216.646973,0,0,0
0.107422,-464.553375,-1216.646973,0,0,0
0.107422,-464.553986,-1216.646484,0,0,0
0.105469,-464.555481,-1216.645142,0,0,0
0.107422,-464.558441,-1216.642822,1,1139.898682,703.384216
0.105469,-464.56311,-1216.638916,1,1136.059326,690.048279
0.107422,-464.56955,-1216.633667,1,1137.275635,672.156921
0.105469,-464.577759,-1216.627075,1,1072.348267,676.723267
0.105469,-464.587616,-1216.619019,1,1007.982178,666.908569
0.105469,-464.599182,-1216.609497,1,1005.929932,653.650513
0.107422,-464.612366,-1216.598755,1,961.301636,707.741089
0.105469,-464.627228,-1216.586548,1,963.175598,703.667969
0.111328,-464.644409,-1216.57251,1,967.739746,705.746216
0.111328,-464.663452,-1216.556885,1,969.320801,707.246033
0.111328,-464.684326,-1216.539795,1,976.301941,703.869385
0.113281,-464.70697,-1216.521362,1,1075.585205,724.419739
0.101562,-464.728973,-1216.503296,1,1078.381592,729.05072
0.111328,-464.755188,-1216.481812,1,1048.052734,736.405579
0.111328,-464.78241,-1216.459595,1,979.710938,747.005859
0.111328,-464.811737,-1216.435425,1,985.213928,745.921082
0.111328,-464.842743,-1216.410156,1,976.169495,745.746216
0.107422,-464.874878,-1216.383789,1,435.337555,773.432495
0.113281,-464.910126,-1216.354858,1,323.894684,725.809387
0.109375,-464.947479,-1216.324219,1,316.803772,711.76123
0.101562,-464.985626,-1216.292725,1,1047.304443,724.922363
0.103516,-465.028015,-1216.258057,1,1035.896851,727.446228
0.111328,-465.080139,-1216.21521,1,1416.669434,935.396851
0.107422,-465.137451,-1216.168213,1,1421.61145,934.313599
0.111328,-465.205933,-1216.111938,1,1420.29126,941.201904
0.111328,-465.284363,-1216.047485,1,1415.348511,932.832214
0.109375,-465.374329,-1215.973389,1,1047.531982,729.624817
0.113281,-465.480286,-1215.88623,1,1047.917236,729.953125
0.111328,-465.598297,-1215.78894,1,394.090271,712.871338
0.111328,-465.730865,-1215.679321,1,393.698181,715.412231
0.101562,-465.864777,-1215.568359,1,400.577118,717.067078
0.113281,-466.032898,-1215.428833,1,783.895386,714.1073
0.115234,-466.217499,-1215.274902,1,973.836914,720.966492
