time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.939911,-476.27005,1,1529.824341,255.630249
0.105469,-420.936188,-476.272675,1,1554.956421,354.053345
0.101562,-420.935028,-476.273499,1,1516.058105,351.929596
0.105469,-420.934906,-476.273529,1,994.182373,303.991394
0.101562,-420.935638,-476.27301,1,988.987061,295.550629
0.105469,-420.936554,-476.2724,1,992.453674,309.874695
0.101562,-420.936676,-476.272278,1,1137.208008,237.710449
0.101562,-420.936005,-476.272766,1,1266.967285,139.870193
0.101562,-420.935059,-476.273468,1,1274.395264,136.94191
0.105469,-420.934692,-476.273712,1,1272.175659,118.222206
0.109375,-420.93515,-476.273407,1,1265.464111,109.133133
0.101562,-420.935913,-476.272827,1,1260.896362,108.198235
0.101562,-420.936279,-476.272614,1,1288.049072,207.99733
0.101562,-420.936035,-476.272797,1,1287.666382,197.948135
0.109375,-420.935425,-476.273193,1,1276.56665,181.461716
0.101562,-420.935089,-476.273468,1,1263.030762,81.18222
0.105469,-420.935089,-476.273376,1,1305.288696,103.196457
0.101562,-420.935425,-476.273254,1,1317.84375,108.997192
0.101562,-420.935608,-476.273102,1,1329.710083,108.952011
0.105469,-420.935608,-476.273071,1,1334.071777,121.666443
0.101562,-420.935425,-476.273254,1,1335.037598,116.15271
0.105469,-420.935242,-476.273376,1,1374.532837,252.577225
0.105469,-420.935211,-476.273407,1,1369.324219,242.078308
0.101562,-420.935242,-476.273438,1,1367.706543,254.686401
0.101562,-420.935242,-476.273407,1,1360.825439,246.490356
0.105469,-420.935272,-476.273346,1,1355.702881,237.75795
0.105469,-420.935272,-476.273376,1,1350.150513,238.268951
0.101562,-420.935242,-476.273346,1,1343.060303,229.057465
0.101562,-420.935242,-476.273376,1,1336.245239,210.192368
0.105469,-420.935211,-476.273346,1,1368.618896,225.059723
0.105469,-420.935089,-476.273468,1,1343.258057,241.841293
0.101562,-420.934662,-476.273743,1,1340.488892,239.26355
0.101562,-420.933685,-476.274384,1,1282.115479,192.363754
0.101562,-420.931732,-476.275757,1,1222.668213,106.078362
0.101562,-420.928314,-476.278137,1,1131.368042,-109.614532
0.101562,-420.923096,-476.281769,1,1131.368042,-109.614532
0.101562,-420.916107,-476.286682,1,503.424652,1077.129395
0.101562,-420.907318,-476.292908,1,435.622925,850.424194
0.105469,-420.896576,-476.300385,1,435.622925,850.424194
0.101562,-420.884308,-476.309052,1,435.622925,850.424194
0.101562,-420.870453,-476.318787,1,951.995667,157.678909
0.101562,-420.854614,-476.329895,1,905.115112,285.033112
0.105469,-420.8367,-476.342529,1,895.301697,266.295837
0.109375,-420.816772,-476.356537,1,878.302734,216.873871
0.109375,-420.794037,-476.372467,1,878.109253,245.839722
0.105469,-420.768433,-476.390503,1,879.164001,234.198242
0.101562,-420.740387,-476.410217,1,880.093567,241.213135
0.109375,-420.698486,-476.439728,1,877.970276,246.237885
0.101562,-420.639862,-476.480988,1,872.751343,247.245316
0.101562,-420.552032,-476.542786,1,872.201843,236.6147
0.105469,-420.422699,-476.633881,1,887.6922,255.227264
0.101562,-420.262512,-476.746826,1,1004.861755,370.763947
0.109375,-420.054749,-476.893555,1,991.98053,357.326477
0.105469,-419.814362,-477.063568,1,998.850403,367.473999
0.109375,-419.528229,-477.266235,1,1002.169312,361.523285
0.109375,-419.203705,-477.49649,1,998.560059,357.588409
0.105469,-418.845581,-477.751099,1,999.864807,356.36618
