time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,694.843872,687.160278
0.103516,-464.552734,-1216.647827,1,850.504272,1005.389282
0.109375,-464.553741,-1216.646973,1,732.193176,997.00354
0.101562,-464.553802,-1216.646851,1,734.498413,979.818298
0.101562,-464.553223,-1216.647339,1,632.404175,1021.825317
0.101562,-464.552521,-1216.647949,1,863.222168,734.915222
0.109375,-464.552307,-1216.648071,1,1008.206238,580.070679
0.109375,-464.552856,-1216.647583,1,955.92981,537.682861
0.103516,-464.55368,-1216.646973,1,915.159729,499.387085
0.101562,-464.553955,-1216.646729,1,907.057617,532.958618
0.107422,-464.553436,-1216.647217,1,910.186096,520.674194
0.103516,-464.552734,-1216.647827,1,1017.40271,547.902039
0.105469,-464.552429,-1216.648071,1,1101.344849,504.893738
0.111328,-464.552704,-1216.647827,1,1356.230347,431.377106
0.109375,-464.553253,-1216.647217,1,1337.601685,436.287048
0.101562,-464.553436,-1216.647217,1,1345.109985,484.835266
0.109375,-464.553192,-1216.647217,1,1345.429077,489.123016
0.107422,-464.552917,-1216.647217,1,1329.799683,484.486237
0.109375,-464.552734,-1216.647217,1,1320.43689,476.762634
0.101562,-464.552795,-1216.647339,1,1322.015259,481.447296
0.101562,-464.552948,-1216.647217,1,1318.711914,483.322784
0.109375,-464.55307,-1216.647217,1,1365.044434,464.405945
0.107422,-464.553101,-1216.647217,1,1380.55603,463.397949
0.109375,-464.55307,-1216.647217,1,1388.901733,451.981659
0.101562,-464.55304,-1216.647217,1,1435.474854,446.826233
0.109375,-464.55304,-1216.647095,1,1417.81665,449.843628
0.107422,-464.55304,-1216.647339,1,1423.238037,463.42981
0.107422,-464.55304,-1216.647217,1,1426.63269,468.14682
0.101562,-464.55307,-1216.647217,1,1436.364502,450.555115
0.101562,-464.553101,-1216.647217,1,1444.646118,448.150787
0.107422,-464.553284,-1216.647095,1,1441.01123,442.843018
0.107422,-464.554047,-1216.646484,1,1422.329346,191.048721
0.107422,-464.555878,-1216.64502,1,1398.529419,-268.825439
0.107422,-464.559357,-1216.642212,1,1398.529419,-268.825439
0.107422,-464.564636,-1216.637939,1,1398.529419,-268.825439
0.107422,-464.571686,-1216.632202,1,1398.529419,-268.825439
0.109375,-464.580811,-1216.624756,0,0,0
0.103516,-464.590881,-1216.616577,0,0,0
0.107422,-464.60321,-1216.606567,0,0,0
0.101562,-464.616333,-1216.596069,0,0,0
0.105469,-464.631378,-1216.58374,0,0,0
0.105469,-464.648193,-1216.570068,0,0,0
0.109375,-464.667267,-1216.554565,1,999.174744,635.758484
0.107422,-464.687744,-1216.537842,1,1145.942749,488.017975
0.109375,-464.710236,-1216.519531,1,1379.041138,346.138062
0.103516,-464.733032,-1216.501099,1,1350.876587,335.740509
0.105469,-464.757385,-1216.481323,1,1339.35437,334.713501
0.111328,-464.785278,-1216.458862,1,1353.807739,332.554504
0.103516,-464.812347,-1216.43689,1,1086.223877,535.271057
0.103516,-464.841064,-1216.413452,1,1081.346313,534.880127
0.101562,-464.87149,-1216.388672,1,1081.975342,532.338867
0.101562,-464.906311,-1216.360352,1,1052.25,513.164124
0.107422,-464.953796,-1216.321777,1,1017.575012,458.443298
0.107422,-465.021393,-1216.266846,1,1011.593994,451.211548
0.101562,-465.114502,-1216.190918,1,1026.423218,457.154236
0.103516,-465.241638,-1216.08728,1,1081.118774,527.138123
0.103516,-465.403534,-1215.955566,1,1122.5979,592.036926
0.103516,-465.598694,-1215.796387,1,1124.478027,581.362183
0.101562,-465.823242,-1215.613037,1,1130.904297,588.136475
0.109375,-466.097717,-1215.388184,1,1214.242554,577.850159
0.107422,-466.408997,-1215.13208,1,1223.317993,573.580688
0.111328,-466.76651,-1214.836426,1,1237.175293,575.103577
0.109375,-467.156036,-1214.512329,1,1239.336914,593.638733
0.111328,-467.585358,-1214.151611,1,1238.483765,574.18988
0.103516,-468.012878,-1213.788574,1,1241.596436,594.575562
0.113281,-468.506165,-1213.363159,1,1097.533813,620.37384
0.101562,-468.970673,-1212.9552,1,1094.336914,619.237244
0.103516,-469.450073,-1212.524658,1,1093.593872,608.516907
0.111328,-469.975983,-1212.038086,1,1095.837036,596.779602
0.111328,-470.525635,-1211.51123,1,1079.57019,594.300049
0.111328,-471.072296,-1210.967529,1,1187.008667,571.905762
0.111328,-471.642029,-1210.37854,1,1289.959106,586.403442
0.113281,-472.220551,-1209.754028,1,1285.719971,598.103699
0.113281,-472.801178,-1209.09375,1,1132.108032,529.299622
0.111328,-473.362457,-1208.414062,1,1097.037109,488.345337
0.111328,-473.913849,-1207.694824,1,1097.037109,488.345337
0.109375,-474.45166,-1206.934937,1,1097.037109,488.345337
0.107422,-474.952667,-1206.168457,1,1097.037109,488.345337
0.107422,-475.446075,-1205.355835,0,0,0
0.109375,-475.926636,-1204.507202,0,0,0
0.109375,-476.396027,-1203.619507,1,1011.668396,526.53656
0.109375,-476.846313,-1202.712158,1,1172.314209,573.662415
0.109375,-477.284729,-1201.772583,1,1147.348755,603.047974
0.107422,-477.707794,-1200.807617,1,1095.013672,616.466125
0.111328,-478.138916,-1199.750854,1,1083.332275,614.92157
0.105469,-478.530762,-1198.70874,1,1061.966187,612.457886
0.111328,-478.926331,-1197.560181,1,1052.924194,597.295288
0.103516,-479.287811,-1196.416504,1,1024.307617,579.932556
0.101562,-479.624512,-1195.276001,1,1008.361816,586.819214
0.103516,-479.967102,-1194.060059,1,1011.39563,579.778137
0.101562,-480.29187,-1192.874146,1,1017.329773,609.53772
0.107422,-480.638092,-1191.591187,1,960.396606,624.593323
0.109375,-480.993225,-1190.261719,1,955.804138,613.756592
0.107422,-481.341125,-1188.941772,1,1316.314819,722.692932
0.107422,-481.689819,-1187.591064,1,1444.216431,759.5
0.109375,-482.034912,-1186.21875,1,1445.970703,757.236145
0.107422,-482.375671,-1184.825439,1,953.475403,593.163574
0.109375,-482.712311,-1183.414917,1,940.705078,584.454651
0.107422,-483.046021,-1181.990112,1,947.66571,648.264282
0.109375,-483.38678,-1180.513672,1,945.966614,660.638916
0.107422,-483.718536,-1179.060425,1,954.411682,644.262146
0.109375,-484.057281,-1177.566528,1,954.980957,654.609009
0.109375,-484.400208,-1176.046265,1,949.538635,637.79718
0.109375,-484.738251,-1174.536377,1,945.500854,628.965942
0.107422,-485.074921,-1173.01123,1,903.445251,645.05719
0.105469,-485.404694,-1171.485229,1,909.385315,651.402527
0.109375,-485.735382,-1169.911743,1,903.3974,640.852783
0.109375,-486.058136,-1168.326294,1,885.47345,629.69397
0.107422,-486.373291,-1166.732056,1,871.51947,622.197693
0.109375,-486.690857,-1165.101685,1,868.858337,627.476807
0.107422,-487.006989,-1163.48999,1,907.831177,659.543884
0.109375,-487.343719,-1161.82605,1,902.733582,641.257446
0.109375,-487.698181,-1160.161133,1,902.781067,649.479309
0.107422,-488.074066,-1158.509277,1,912.434937,646.084961
0.109375,-488.491547,-1156.79834,1,886.343445,556.637878
0.109375,-488.950012,-1155.045288,1,881.748108,536.694275
0.111328,-489.453339,-1153.241821,1,867.212708,506.14624
0.107422,-489.97464,-1151.485474,1,868.830505,571.383057
0.111328,-490.549896,-1149.657715,1,879.660156,613.235229
0.109375,-491.14801,-1147.866455,1,882.495911,622.387817
0.101562,-491.722595,-1146.241821,1,908.310547,624.692932
0.109375,-492.385742,-1144.474976,1,914.726013,632.726196
0.101562,-493.020508,-1142.883911,1,929.841614,618.587708
0.111328,-493.764008,-1141.134277,1,949.473938,633.395142
0.109375,-494.522675,-1139.461426,1,978.309204,642.999146
0.107422,-495.307526,-1137.835693,1,1013.206726,633.896301
0.109375,-496.132324,-1136.224243,1,1034.501587,618.460999
