time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,1,2052.66748,246.093002
0.101135,-315.392944,1173.164551,1,2044.735229,-12.596208
0.10675,-315.398285,1173.172241,1,958.197693,586.084839
0.104126,-315.402588,1173.178467,1,952.366577,629.462402
0.100708,-315.404205,1173.180298,1,951.923218,634.859558
0.100464,-315.403168,1173.177979,1,868.775696,505.679688
0.100586,-315.400635,1173.173584,1,792.740601,384.372528
0.100342,-315.39856,1173.17041,1,1207.595947,273.947388
0.100525,-315.398224,1173.170654,1,1304.066406,260.159027
0.110779,-315.399506,1173.173462,1,1305.263794,261.306824
0.103394,-315.400909,1173.176147,1,1305.760742,253.952972
0.106262,-315.401581,1173.17688,1,1301.493774,258.369537
0.103882,-315.401367,1173.176025,1,1300.561768,217.99408
0.102783,-315.400848,1173.174561,1,1324.297852,222.931091
0.108704,-315.400574,1173.17395,1,1370.240601,223.818726
0.110229,-315.400726,1173.174561,1,1369.206177,224.962341
0.100281,-315.401093,1173.175293,1,1046.914795,545.815186
0.111206,-315.401367,1173.176147,1,1044.12085,536.265625
0.103455,-315.401398,1173.17627,1,1045.532227,535.524475
0.104187,-315.401398,1173.176147,1,1044.765869,530.840271
0.101379,-315.401367,1173.176025,1,1171.81311,471.739258
0.104065,-315.401398,1173.176025,1,1367.722046,366.774231
0.105713,-315.401611,1173.176025,1,1363.94458,363.642487
0.100464,-315.401764,1173.176025,1,1415.765137,358.560272
0.10083,-315.401917,1173.176025,1,1417.885376,356.754883
0.100769,-315.402039,1173.176025,1,1413.014648,358.521362
0.100647,-315.40213,1173.176025,1,1418.598145,354.846191
0.101562,-315.40213,1173.176025,1,1418.942261,349.740387
0.108887,-315.402161,1173.176025,1,1416.099854,345.558533
0.101074,-315.402313,1173.176025,1,1420.31604,348.963196
0.102539,-315.402466,1173.176025,1,1419.161255,350.934875
0.105896,-315.402649,1173.176025,1,944.37207,530.446106
0.1026,-315.402771,1173.176025,1,951.411804,532.918213
0.101807,-315.402954,1173.17627,1,954.339783,532.983704
0.100464,-315.403351,1173.177124,1,951.900146,521.520996
0.108826,-315.404266,1173.179077,1,946.902588,384.135834
0.10907,-315.405853,1173.182373,1,1259.608398,278.42984
0.110779,-315.408478,1173.187744,1,1252.005005,270.624969
0.100098,-315.411987,1173.195068,1,1252.005005,270.624969
0.107971,-315.417084,1173.205566,1,1252.005005,270.624969
0.10199,-315.423248,1173.21814,1,1252.005005,270.624969
0.104248,-315.430786,1173.233765,1,1252.005005,270.624969
0.10376,-315.439514,1173.251709,0,0,0
0.107239,-315.449829,1173.272949,0,0,0
0.101746,-315.460785,1173.295532,0,0,0
0.100891,-315.47287,1173.320312,0,0,0
0.109314,-315.487183,1173.349976,0,0,0
0.108154,-315.502655,1173.381714,1,1107.173218,198.458527
0.109802,-315.519653,1173.416626,1,1043.294189,307.656494
0.101868,-315.536591,1173.451538,1,1151.566284,345.288666
0.104675,-315.555176,1173.489868,1,864.891357,348.02887
0.10498,-315.575043,1173.53064,1,864.831665,359.804718
0.100769,-315.595337,1173.572388,1,942.979858,431.921387
0.101318,-315.61734,1173.617798,1,1013.3703,505.003998
0.105347,-315.643372,1173.671265,1,1013.587891,505.205475
0.107178,-315.674866,1173.736084,1,898.141357,443.95816
0.103638,-315.712128,1173.812988,1,827.542908,406.958099
0.103516,-315.761261,1173.914307,1,826.561768,408.194031
0.10321,-315.828491,1174.053345,1,807.562378,395.397858
0.106323,-315.917938,1174.238525,1,804.945557,393.931061
0.10675,-316.026245,1174.463135,1,806.915588,392.105408
0.101807,-316.143616,1174.706787,1,807.542908,387.086273
0.104065,-316.27771,1174.98584,1,808.54071,392.454376
