time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,0,0,0
0.101318,-315.392395,1173.163696,0,0,0
0.109375,-315.397644,1173.171509,0,0,0
0.107178,-315.402252,1173.178223,0,0,0
0.108643,-315.404205,1173.180542,0,0,0
0.11377,-315.402771,1173.177856,0,0,0
0.108398,-315.399933,1173.173096,0,0,0
0.110107,-315.398102,1173.17041,0,0,0
0.107666,-315.398438,1173.171997,0,0,0
0.108887,-315.399963,1173.175171,0,0,0
0.106934,-315.401184,1173.177612,0,0,0
0.108398,-315.401428,1173.177612,0,0,0
0.104492,-315.40097,1173.176147,0,0,0
0.107422,-315.400482,1173.175049,0,0,0
0.109131,-315.400452,1173.175049,0,0,0
0.108643,-315.400726,1173.175781,0,0,0
0.107666,-315.401093,1173.176636,0,0,0
0.106201,-315.401276,1173.177124,0,0,0
0.107666,-315.401276,1173.177124,0,0,0
0.105225,-315.401245,1173.177002,0,0,0
0.106445,-315.401215,1173.17688,0,0,0
0.107666,-315.401398,1173.17688,0,0,0
0.113281,-315.401611,1173.17688,0,0,0
0.108154,-315.401764,1173.17688,0,0,0
0.108154,-315.401917,1173.17688,0,0,0
0.106445,-315.401978,1173.17688,0,0,0
0.108643,-315.402008,1173.17688,1,927.550415,392.935272
0.108154,-315.402008,1173.17688,1,958.121399,373.33963
0.106689,-315.402161,1173.17688,1,1098.18689,257.296143
0.107178,-315.402344,1173.17688,1,1177.724121,188.70993
0.107178,-315.402527,1173.17688,1,1174.630005,183.219727
0.108887,-315.402679,1173.17688,1,1166.290161,184.514801
0.108154,-315.402832,1173.17688,1,849.792175,378.358704
0.108398,-315.403015,1173.17688,1,861.985413,398.866302
0.107178,-315.403168,1173.17688,1,788.363953,324.526672
0.109131,-315.40332,1173.17688,1,800.485474,351.314941
0.107422,-315.403503,1173.17688,1,1034.500488,450.175262
0.109619,-315.403656,1173.17688,1,1046.355835,442.735504
0.109863,-315.403839,1173.17688,1,967.826477,510.053406
0.109375,-315.403992,1173.17688,1,1031.408081,484.419342
0.106934,-315.404175,1173.17688,1,1290.280151,345.829773
