time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094177,4.425294,1,1051.959473,289.595032
0.107422,-318.106537,4.404637,1,1600.528564,-98.031792
0.107422,-318.105988,4.391884,1,1565.159302,-57.652496
0.105469,-318.10733,4.381647,1,918.536621,346.254669
0.101562,-318.109222,4.378136,1,905.622375,425.29068
0.101562,-318.110718,4.382119,1,1203.445312,138.032471
0.103516,-318.111176,4.390063,1,1238.155762,122.263626
0.101562,-318.11084,4.395755,1,1254.057983,102.940567
0.101562,-318.110168,4.395787,1,1259.259888,94.399872
0.105469,-318.109589,4.391288,1,1261.439331,100.807487
0.101562,-318.109131,4.386923,1,1320.155151,93.260132
0.101562,-318.108978,4.385684,1,1323.338501,88.198051
0.103516,-318.10907,4.387506,1,1285.51001,159.034149
0.103516,-318.109253,4.390077,1,1296.513428,169.429642
0.103516,-318.109497,4.39133,1,1293.208496,163.124283
0.103516,-318.109741,4.390894,1,938.774536,467.952301
0.105469,-318.109802,4.389736,1,927.806274,488.733154
0.101562,-318.109741,4.388921,1,942.552917,478.786743
0.101562,-318.10968,4.388812,1,911.612305,463.506714
0.103516,-318.109619,4.389179,1,907.341858,454.010498
0.103516,-318.109589,4.389617,1,916.850403,465.199097
0.101562,-318.109619,4.389853,1,912.490723,464.659119
0.103516,-318.10965,4.389848,1,903.740479,475.210205
0.101562,-318.10968,4.389694,1,935.301697,393.788147
0.101562,-318.109711,4.389526,1,904.893555,471.6586
0.111328,-318.109711,4.389433,1,899.968933,475.846771
0.105469,-318.10968,4.38947,1,896.545593,471.78125
0.103516,-318.10968,4.389574,1,1266.676758,236.886124
0.107422,-318.10965,4.389668,1,1318.85083,150.681671
0.105469,-318.10965,4.389693,1,1331.93811,197.587692
0.101562,-318.10965,4.389657,1,1337.257446,235.636536
0.109375,-318.10968,4.389603,1,1333.012817,228.633713
0.103516,-318.10968,4.389581,1,1339.495483,225.428299
0.101562,-318.10968,4.389597,1,1341.455811,224.301346
0.109375,-318.10968,4.389636,1,1340.920898,222.087219
0.103516,-318.10968,4.389664,1,1343.32312,221.064957
0.103516,-318.10968,4.389675,1,1337.433716,217.280701
0.101562,-318.10968,4.38967,1,1343.447876,212.11145
0.105469,-318.10968,4.389495,1,1344.130737,205.78331
0.103516,-318.10965,4.388811,1,1384.869141,298.299835
0.105469,-318.109772,4.387048,1,1391.369507,410.949402
0.103516,-318.109924,4.383573,1,1398.732666,417.604706
0.105469,-318.110229,4.377853,1,1397.103027,410.280609
0.101562,-318.110626,4.370156,1,925.559082,446.119415
0.103516,-318.111084,4.36021,1,934.700928,446.702026
0.103516,-318.111725,4.348346,1,934.475403,442.464172
0.101562,-318.112366,4.334611,1,938.483154,430.704834
0.105469,-318.11319,4.318426,1,1218.370483,159.803879
0.105469,-318.114105,4.300039,1,1290.307251,107.036041
0.103516,-318.115082,4.280195,1,1285.494629,110.778954
0.103516,-318.11618,4.25843,1,1287.417358,104.953026
0.101562,-318.117401,4.234822,1,1289.442139,105.400024
0.101562,-318.118683,4.209436,1,853.672058,198.79393
0.103516,-318.120087,4.182032,1,852.792236,217.042847
0.105469,-318.121613,4.151938,1,851.291687,216.522247
0.101562,-318.123138,4.121102,1,849.672668,216.106964
0.103516,-318.124786,4.088317,1,847.021606,218.647766
0.105469,-318.126648,4.052613,1,842.363403,223.90654
0.103516,-318.12851,4.015975,1,841.950623,222.299988
0.101562,-318.130524,3.977631,1,841.144226,221.560028
0.103516,-318.132599,3.937453,1,842.170837,224.080826
0.101562,-318.134766,3.895493,1,845.599243,217.427216
0.103516,-318.137207,3.848612,1,862.56488,420.819824
0.103516,-318.139954,3.794607,1,868.000977,420.770538
0.109375,-318.143616,3.721643,1,861.501038,433.403168
