time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,1,1715.733032,-60.58992
0.10791,-315.392487,1173.163818,1,1702.288574,-56.459896
0.103516,-315.397491,1173.171387,1,1151.780396,247.152557
0.103516,-315.402008,1173.177856,1,1136.517944,300.477173
0.10498,-315.404114,1173.180664,1,1131.942627,301.815308
0.104004,-315.403198,1173.178589,1,1357.141846,139.924225
0.101562,-315.400665,1173.174194,1,1437.859009,82.529968
0.103516,-315.398468,1173.170776,1,1425.742188,85.110718
0.101562,-315.398102,1173.170898,1,1399.675781,98.431084
0.102051,-315.399231,1173.173462,1,1492.956665,-164.036469
0.101074,-315.400757,1173.176392,1,1724.827148,-167.600433
0.102539,-315.401489,1173.177612,1,1480.025391,92.709839
0.101074,-315.401337,1173.17688,1,1470.427979,124.917595
0.103027,-315.400818,1173.175293,1,1441.9104,227.773056
0.100586,-315.400482,1173.174683,1,1465.777832,204.482864
0.103027,-315.400574,1173.174927,1,1515.894897,177.853104
0.103027,-315.400848,1173.175659,1,1519.981445,185.446838
0.104004,-315.401184,1173.176514,1,1536.050049,194.24408
0.104492,-315.401337,1173.17688,1,1545.872681,189.847153
0.101562,-315.401337,1173.176758,1,1558.183838,178.283005
0.101074,-315.401306,1173.176758,1,1561.764282,170.852402
0.104492,-315.401276,1173.176636,1,1557.872314,187.756073
0.103027,-315.401459,1173.176636,1,1564.452026,180.837204
0.102539,-315.401642,1173.176636,1,1567.259888,188.745422
0.108887,-315.401794,1173.176636,1,1565.819214,190.198502
0.103027,-315.401947,1173.176636,1,1555.116943,181.862686
0.102539,-315.402039,1173.176514,1,1555.196899,191.738068
0.105469,-315.402283,1173.177002,1,1549.507812,183.649277
0.102539,-315.402954,1173.178345,1,1560.064087,180.924622
0.103516,-315.404114,1173.180908,1,1549.04895,176.962753
0.101562,-315.405945,1173.184692,1,1389.106079,262.886658
0.101562,-315.408813,1173.190552,1,1285.526733,341.803314
0.105957,-315.413086,1173.199097,1,1287.591919,339.611847
0.105957,-315.41864,1173.210327,1,1157.735596,62.575459
0.102051,-315.425354,1173.223877,1,1121.801514,-80.739319
0.10498,-315.433502,1173.240479,1,1190.342041,112.818443
0.106934,-315.443024,1173.259888,1,1057.881958,176.134659
0.10498,-315.453735,1173.281738,1,1065.328125,213.134323
0.106934,-315.466003,1173.306396,1,1066.115479,190.679199
0.110352,-315.47995,1173.334839,1,1171.526367,296.335938
0.105957,-315.494629,1173.36438,1,1175.568726,290.406769
0.103516,-315.510132,1173.395996,1,1125.235718,287.370972
0.105469,-315.5271,1173.430664,1,1067.067505,286.631073
0.103516,-315.544891,1173.466919,1,1069.768555,290.066528
0.106934,-315.564636,1173.507202,1,1066.040161,294.168915
0.10498,-315.585327,1173.549561,1,1065.34082,302.644379
