time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,97.238922,165.372375
0.10498,-420.936523,-476.2724,1,80.285385,648.963745
0.100403,-420.935242,-476.273224,1,80.26516,659.666138
0.101074,-420.934906,-476.273468,1,273.203766,577.985107
0.106171,-420.935455,-476.273071,1,841.009949,394.897949
0.102936,-420.93634,-476.272461,1,843.998169,379.807281
0.104706,-420.936676,-476.272247,1,1149.360474,185.329376
0.102386,-420.936096,-476.272644,1,1215.917603,131.907639
0.102783,-420.935211,-476.273254,1,1295.062622,94.275681
0.104218,-420.934723,-476.27359,1,1294.517334,91.621552
0.10437,-420.935028,-476.273376,1,1290.876953,98.216728
0.102142,-420.93576,-476.272888,1,1288.829834,97.943558
0.100403,-420.936249,-476.272583,1,1274.753296,104.043304
0.100708,-420.936127,-476.272614,1,841.738037,289.74826
0.102722,-420.935608,-476.273071,1,846.811829,298.008179
0.100586,-420.935181,-476.273346,1,1273.824829,116.937897
0.102509,-420.935089,-476.273376,1,1286.839478,126.625214
0.103241,-420.935333,-476.273193,1,1363.232422,86.1203
0.105042,-420.935608,-476.27301,1,1373.503052,87.420876
0.105743,-420.935577,-476.27298,1,1367.171143,268.587769
0.105835,-420.935455,-476.273132,1,1356.019409,250.035233
0.105957,-420.935272,-476.273315,1,1362.523071,253.104797
0.105988,-420.935211,-476.273315,1,1389.414673,218.180664
0.105713,-420.935211,-476.273346,1,1387.424072,215.275833
0.106506,-420.935242,-476.273315,1,1390.768066,213.813904
0.106445,-420.935272,-476.273315,1,1390.499634,216.105576
0.103699,-420.935272,-476.273315,1,1384.409912,215.092896
0.103699,-420.935242,-476.273285,1,1397.894287,212.195038
0.103119,-420.935242,-476.273315,1,1405.349365,208.596695
0.102844,-420.935242,-476.273285,1,1401.264404,213.662231
0.104858,-420.935242,-476.273346,1,1403.925537,208.352905
0.105072,-420.935242,-476.273315,1,1410.582642,206.765625
0.10614,-420.935089,-476.273468,1,1409.396729,208.957855
0.107239,-420.93457,-476.273804,1,1412.30542,200.009857
0.105591,-420.93338,-476.274597,1,1405.068115,205.732849
0.100159,-420.931122,-476.276123,1,1299.445312,142.827896
0.105438,-420.927032,-476.2789,1,1300.816284,133.836029
0.105896,-420.921082,-476.283112,1,1290.066406,142.460419
0.100006,-420.913605,-476.288361,1,895.461365,339.142334
0.106232,-420.903809,-476.295105,1,889.420044,334.544556
0.107391,-420.891998,-476.303406,1,711.191284,318.513397
0.103577,-420.878815,-476.312622,1,342.350464,314.630768
0.105743,-420.863617,-476.323242,1,627.003723,279.710663
0.105408,-420.846619,-476.335083,1,941.899292,236.711548
0.10144,-420.828552,-476.347626,1,868.31781,236.374649
0.101868,-420.808807,-476.361389,1,868.69458,230.114899
0.101654,-420.787384,-476.376282,1,866.095215,236.632034
0.100433,-420.764679,-476.392151,1,862.664368,241.213669
0.107605,-420.738373,-476.410492,1,862.481201,239.362671
0.102539,-420.711334,-476.429413,1,860.510864,240.008102
0.103088,-420.681824,-476.450043,1,855.828247,229.079636
0.101532,-420.650024,-476.47229,1,857.416809,237.832794
0.102448,-420.614563,-476.497162,1,859.996887,232.832062
0.10321,-420.573517,-476.525879,1,858.651428,234.178467
0.100922,-420.524292,-476.560394,1,861.762451,230.659119
0.105286,-420.453003,-476.610382,1,863.355286,232.46582
0.101532,-420.351624,-476.681488,1,845.932495,237.014587
0.101929,-420.213837,-476.778076,1,841.960571,243.25209
0.103821,-420.037048,-476.9021,1,840.062561,231.110962
0.101868,-419.828156,-477.048767,1,844.590576,233.924988
0.10321,-419.58078,-477.222626,1,852.246094,230.361053
0.102509,-419.299316,-477.420746,1,850.040588,233.821091
0.102966,-418.98111,-477.645203,1,849.2995,234.511887
0.108917,-418.606598,-477.910156,1,851.708679,235.768234
0.10675,-418.201324,-478.197601,1,852.323059,237.340851
0.10141,-417.781586,-478.496094,1,853.299927,240.076111
0.113556,-417.274628,-478.857666,1,859.825134,241.027359
0.10672,-416.789032,-479.205017,1,857.682007,243.391159
0.102325,-416.345123,-479.523499,1,990.971741,386.303314
0.103485,-415.911041,-479.835876,1,991.358704,393.540436
0.100006,-415.493866,-480.136993,1,992.030945,392.838898
0.100861,-415.076996,-480.439026,1,920.14801,343.67453
0.101776,-414.663147,-480.740051,1,868.22522,293.450592
0.102722,-414.250946,-481.041046,1,865.198425,301.686401
0.10321,-413.840637,-481.341858,1,871.123535,297.869293
0.10437,-413.425934,-481.647064,1,869.668396,303.484222
0.104095,-413.005798,-481.957489,1,866.280945,295.939056
0.105133,-412.564911,-482.284576,1,866.432922,298.001373
0.102722,-412.114136,-482.620758,1,857.475647,263.890778
0.10434,-411.640686,-482.976318,1,854.631897,267.351807
0.102386,-411.167267,-483.334656,1,852.644531,266.296448
0.104828,-410.673767,-483.71167,1,849.203796,261.824615
0.107025,-410.158081,-484.109375,1,962.785583,359.657532
0.105011,-409.639343,-484.513245,1,967.347107,359.235657
0.104248,-409.109558,-484.929871,1,964.439026,357.270203
0.105438,-408.555084,-485.37088,1,929.474121,356.618561
0.105896,-407.977936,-485.835602,1,899.295837,349.672394
0.105957,-407.381561,-486.322144,1,897.192444,350.52951
0.103851,-406.77832,-486.821167,1,894.319458,349.328156
0.110016,-406.116425,-487.37674,1,900.212891,346.571625
0.108368,-405.441467,-487.952423,1,896.492188,342.4935
0.106201,-404.759521,-488.543823,1,894.398376,341.65448
0.108154,-404.046967,-489.172546,1,998.181702,392.253296
0.104675,-403.341766,-489.806152,1,998.556763,397.657867
0.104248,-402.625366,-490.461578,1,1000.084167,398.06601
0.102661,-401.907562,-491.130493,1,1001.120789,390.689636
0.105408,-401.154907,-491.845154,1,996.011475,394.118408
0.101593,-400.404907,-492.569763,1,929.340942,388.350372
0.102417,-399.622559,-493.337921,1,930.675232,379.967407
0.10257,-398.812378,-494.145325,1,927.054138,376.477264
0.103943,-397.96463,-495.002686,1,921.992615,370.465149
0.107208,-397.065125,-495.927948,1,983.879517,383.61377
0.110229,-396.121948,-496.917816,1,976.951965,378.363617
0.104126,-395.226593,-497.878754,1,984.158142,379.248474
0.103851,-394.330231,-498.863739,1,978.084473,387.212402
0.107758,-393.395416,-499.917023,1,972.524048,380.300598
0.10788,-392.458282,-501.001129,1,965.862793,380.102356
0.108856,-391.509552,-502.126892,1,963.796082,377.195496
0.108856,-390.558624,-503.283783,1,988.371338,373.374176
0.107635,-389.617035,-504.456299,1,1022.387634,377.326477
0.1091,-388.660675,-505.673767,1,990.709229,388.729736
0.105652,-387.733185,-506.879974,1,984.93457,381.116455
0.109406,-386.772186,-508.156128,1,979.422424,377.541443
0.104187,-385.856506,-509.397552,1,984.308899,377.859924
0.104858,-384.934479,-510.671478,1,997.501465,402.086365
0.103577,-384.022064,-511.952881,1,1017.324768,440.382263
0.103699,-383.105377,-513.256836,1,1015.973816,440.513336
0.10379,-382.18335,-514.581848,1,1012.941345,433.130402
0.10437,-381.249817,-515.935364,1,1010.990417,433.274567
0.106323,-380.281036,-517.351135,1,874.413818,424.824615
0.107178,-379.283752,-518.820679,1,874.039917,424.571075
0.105103,-378.287506,-520.302551,1,982.151794,409.360443
0.106354,-377.264496,-521.843567,1,985.618408,412.447968
0.105988,-376.240479,-523.41217,1,987.850342,414.050323
0.106384,-375.21994,-525.006592,1,979.159973,415.211792
0.108337,-374.187958,-526.655823,1,984.010376,408.322968
0.108093,-373.169312,-528.324036,1,976.090759,409.733765
0.106476,-372.17923,-529.989563,1,969.779419,408.214905
0.105408,-371.221802,-531.64801,1,967.580322,414.014221
0.10379,-370.30835,-533.283813,1,960.585022,417.460052
0.106232,-369.406311,-534.961853,1,981.748047,436.647339
0.107269,-368.531921,-536.660217,1,966.810425,439.921051
0.106232,-367.701813,-538.346985,1,961.178528,440.240601
0.105347,-366.911407,-540.02301,1,950.636536,439.459625
0.103973,-366.158417,-541.678955,1,935.444275,434.918182
0.104889,-365.420715,-543.346436,1,902.480591,429.888184
0.107605,-364.679749,-545.052063,1,899.969116,431.480499
0.101959,-363.988647,-546.661133,1,885.93988,445.847015
0.10379,-363.292816,-548.290833,1,892.904724,440.896729
0.10318,-362.605957,-549.902344,1,895.284302,432.273926
0.103668,-361.919708,-551.511597,1,921.056396,395.306885
0.101288,-361.250122,-553.073669,1,925.036133,399.165619
0.1026,-360.569275,-554.643799,1,924.37207,391.320618
0.104218,-359.872375,-556.225403,1,869.910461,424.975983
0.1026,-359.179077,-557.768921,1,869.23761,416.598267
0.101868,-358.484009,-559.287354,1,872.348816,421.183807
0.104553,-357.767273,-560.832825,1,922.803284,459.364868
0.103485,-357.061646,-562.347168,1,930.515503,454.889099
0.107147,-356.340637,-563.899353,1,923.470459,455.896149
0.100525,-355.676544,-565.341675,1,947.495544,458.802887
0.107025,-354.986206,-566.858215,1,948.802063,450.489197
0.106537,-354.318085,-568.342834,1,947.074951,448.955017
0.106262,-353.672363,-569.792603,1,953.147888,462.665741
0.104065,-353.063171,-571.171631,1,955.517151,470.915558
0.106384,-352.464844,-572.535645,1,951.017273,465.339874
0.108002,-351.883209,-573.870911,1,945.250061,467.307281
0.104889,-351.342468,-575.121765,1,948.608765,461.206238
0.105072,-350.826355,-576.325439,1,949.613159,468.26593
0.109314,-350.320648,-577.515564,1,943.13562,470.915436
0.108734,-349.845856,-578.6427,1,951.204834,422.985565
0.107666,-349.404419,-579.698547,1,959.784851,423.446869
0.106628,-348.993073,-580.688599,1,961.055664,416.649414
0.107117,-348.599731,-581.639893,1,867.071533,438.598267
0.106445,-348.224609,-582.550781,1,865.751953,429.888733
0.10675,-347.866058,-583.424011,1,868.1651,428.334961
0.106659,-347.524231,-584.258301,1,867.192688,428.951904
0.105316,-347.203796,-585.041931,1,874.037109,420.992706
0.106903,-346.902435,-585.779968,1,869.299744,429.407715
