time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,0,0,0
0.101074,-420.936462,-476.27243,0,0,0
0.103821,-420.935211,-476.273285,0,0,0
0.100952,-420.934875,-476.273438,0,0,0
0.105713,-420.935516,-476.27301,0,0,0
0.103943,-420.936371,-476.27243,0,0,0
0.102173,-420.936646,-476.272217,0,0,0
0.100708,-420.936096,-476.272644,0,0,0
0.103638,-420.935181,-476.273315,1,922.5578,399.677368
0.10321,-420.934692,-476.273621,1,1022.97229,235.477524
0.103088,-420.935028,-476.273376,1,1310.347412,167.07901
0.101501,-420.93573,-476.272827,1,1315.248413,172.096756
0.101562,-420.936218,-476.272552,1,1397.24585,248.101074
0.100403,-420.936127,-476.272614,1,1402.142456,250.352707
0.103333,-420.935577,-476.273041,1,1406.622559,250.520981
0.1026,-420.93515,-476.273346,1,1439,257.857819
0.102295,-420.935089,-476.273315,1,1477.96521,265.833893
0.101379,-420.935333,-476.273193,1,1180.902954,368.756775
0.102661,-420.935577,-476.27298,1,1043.594849,425.081421
0.102844,-420.935608,-476.272949,1,1353.293335,316.758118
0.100159,-420.935486,-476.273071,1,1408.491577,287.518677
0.104492,-420.935303,-476.273285,1,1443.709473,261.183533
0.104126,-420.935242,-476.273315,1,1481.508423,245.28244
0.103088,-420.935211,-476.273315,1,1484.859253,249.104782
0.104736,-420.935242,-476.273285,1,1485.445679,250.448685
0.100037,-420.935242,-476.273285,1,1476.624512,241.117249
0.104187,-420.935272,-476.273285,1,1479.728516,240.901077
0.100891,-420.935272,-476.273285,1,1477.705078,246.013397
0.105164,-420.935242,-476.273285,1,1474.643799,238.743484
0.104309,-420.93512,-476.273346,1,1469.664673,237.786591
0.103699,-420.934845,-476.273529,1,1454.511597,224.548279
0.10437,-420.934082,-476.274078,1,1400.977417,209.801315
0.105652,-420.932465,-476.275146,1,1252.049316,226.225311
0.10437,-420.929474,-476.277283,1,893.832336,286.46933
0.103333,-420.924652,-476.280609,1,927.242493,302.655609
0.102661,-420.91803,-476.285217,1,911.46283,312.051727
0.103394,-420.909576,-476.291168,1,882.089111,296.795135
0.103271,-420.899323,-476.298401,1,875.761841,289.287109
0.103821,-420.887177,-476.306824,1,944.584351,298.516479
0.105347,-420.873138,-476.316711,1,1005.110535,325.144318
0.101746,-420.857849,-476.327393,1,1006.07196,344.677002
0.102295,-420.84082,-476.339325,1,1008.546631,358.197998
0.10321,-420.821899,-476.352509,1,1005.771362,371.046387
0.103394,-420.80127,-476.366913,1,1451.70813,234.846283
0.101929,-420.779266,-476.382324,1,1462.314819,235.689819
0.100159,-420.756042,-476.398529,1,1470.15625,236.2733
0.103149,-420.73056,-476.416382,1,1000.624329,418.099274
0.102905,-420.70343,-476.435364,1,998.893433,421.406952
0.101257,-420.67514,-476.45517,1,1001.160278,414.812958
0.101135,-420.645416,-476.476013,1,1000.775513,419.456238
0.102417,-420.613678,-476.498169,1,1004.00769,425.412476
0.103638,-420.580017,-476.521729,1,1003.619751,413.142548
0.103699,-420.5448,-476.546417,1,1005.862427,426.2771
0.103149,-420.508087,-476.572083,1,1005.269958,427.513947
0.101746,-420.469849,-476.598846,1,1008.856873,425.697327
0.104492,-420.427582,-476.628418,1,1007.786316,424.329529
0.105652,-420.380157,-476.661652,1,1005.321716,423.375275
0.104309,-420.325745,-476.699738,1,1004.164124,419.132965
0.102844,-420.26062,-476.745331,1,1008.209167,416.150818
0.103271,-420.179504,-476.802063,1,1007.087891,421.262634
0.104553,-420.077698,-476.873047,1,1009.055542,420.958069
0.104187,-419.954498,-476.958801,1,1004.062988,421.913055
0.103638,-419.809357,-477.059784,1,1007.693481,407.752136
0.103577,-419.641144,-477.176575,1,1002.520996,415.006653
0.10614,-419.444061,-477.313416,1,1029.614258,414.971771
