time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.55011,-1216.649902,0,0,0
0.109375,-464.553101,-1216.647705,0,0,0
0.105469,-464.554108,-1216.646729,0,0,0
0.109375,-464.553955,-1216.646973,0,0,0
0.105469,-464.55307,-1216.647583,0,0,0
0.111328,-464.552277,-1216.647949,0,0,0
0.105469,-464.552399,-1216.647949,0,0,0
0.101562,-464.553162,-1216.647339,0,0,0
0.103516,-464.553925,-1216.646729,0,0,0
0.101562,-464.554077,-1216.646606,0,0,0
0.103516,-464.553528,-1216.647217,0,0,0
0.107422,-464.552795,-1216.647705,0,0,0
0.107422,-464.552551,-1216.647949,0,0,0
0.107422,-464.552917,-1216.647705,0,0,0
0.103516,-464.553406,-1216.646973,0,0,0
0.105469,-464.553589,-1216.646973,0,0,0
0.107422,-464.553345,-1216.646973,0,0,0
0.107422,-464.55304,-1216.646973,0,0,0
0.109375,-464.552887,-1216.646973,0,0,0
0.109375,-464.552979,-1216.647095,0,0,0
0.109375,-464.553162,-1216.646973,0,0,0
0.107422,-464.553223,-1216.646973,1,1274.55603,290.00061
0.107422,-464.553253,-1216.646973,1,1311.823242,286.002808
0.105469,-464.553253,-1216.646973,1,1141.406006,281.403442
0.105469,-464.553192,-1216.646973,1,875.177002,289.626221
0.107422,-464.553192,-1216.646973,1,881.534302,295.503937
0.109375,-464.553375,-1216.646973,1,885.843201,299.106323
0.107422,-464.554016,-1216.646484,1,882.107788,295.553009
0.107422,-464.555664,-1216.64502,1,885.449219,299.110016
0.107422,-464.558868,-1216.642578,1,885.449219,299.110016
0.105469,-464.563843,-1216.638428,1,1253.795288,265.649139
0.109375,-464.570801,-1216.633057,1,1268.923706,264.383301
0.105469,-464.579346,-1216.626221,1,1274.997437,269.295227
0.101562,-464.588959,-1216.618408,1,1274.997437,269.295227
0.109375,-464.601196,-1216.608643,1,1274.997437,269.295227
0.107422,-464.614807,-1216.597778,1,1274.997437,269.295227
0.109375,-464.630646,-1216.585083,1,1274.997437,269.295227
0.103516,-464.64679,-1216.572266,0,0,0
0.101562,-464.664398,-1216.557983,0,0,0
0.103516,-464.683777,-1216.54248,0,0,0
0.103516,-464.704742,-1216.525635,0,0,0
0.101562,-464.726654,-1216.507935,0,0,0
0.101562,-464.750061,-1216.489136,0,0,0
0.101562,-464.774841,-1216.469116,0,0,0
