time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,0,0,0
0.107422,-315.392639,1173.164062,0,0,0
0.111328,-315.398071,1173.172119,0,0,0
0.109375,-315.402588,1173.178711,0,0,0
0.111328,-315.404175,1173.180542,1,925.178772,341.11319
0.103516,-315.402649,1173.177612,1,922.969543,340.532043
0.101562,-315.400024,1173.173218,1,927.862,331.549255
0.109375,-315.398163,1173.170532,1,1020.012329,239.06575
0.101562,-315.398346,1173.171631,1,1373.090088,-264.855591
0.109375,-315.399811,1173.174927,1,1373.090088,-264.855591
0.101562,-315.401093,1173.177246,1,1373.090088,-264.855591
0.109375,-315.401459,1173.177612,1,1373.090088,-264.855591
0.109375,-315.401093,1173.176147,1,979.136902,115.538795
0.107422,-315.400574,1173.174927,1,836.630493,266.045349
0.111328,-315.400452,1173.174927,1,884.450073,290.544678
0.111328,-315.400757,1173.175537,1,878.668213,298.110107
0.101562,-315.401062,1173.176392,1,903.667297,352.212799
0.107422,-315.401337,1173.17688,1,931.889771,378.756073
0.111328,-315.401306,1173.177002,1,936.111206,384.111115
0.109375,-315.401276,1173.17688,1,938.83252,388.531677
0.103516,-315.401245,1173.176758,1,940.047607,379.899628
0.101562,-315.401398,1173.176758,1,938.114014,382.693634
0.101562,-315.401581,1173.176758,1,933.792603,382.181335
0.107422,-315.401733,1173.176758,1,1056.03894,317.612335
0.111328,-315.401917,1173.176758,1,1242.883423,228.96875
0.111328,-315.402039,1173.176758,1,1350.272217,89.679008
0.111328,-315.402039,1173.176758,1,1389.235474,-50.881351
0.109375,-315.402039,1173.176758,1,1247.661255,167.892075
0.107422,-315.402191,1173.176758,1,1250.520386,196.729355
0.111328,-315.402344,1173.176758,1,1253.13855,194.086716
0.111328,-315.402527,1173.176758,1,1288.542969,269.41333
0.109375,-315.40271,1173.176758,1,1287.090698,296.224152
0.111328,-315.402863,1173.176758,1,1354.419312,-76.090042
0.101562,-315.403015,1173.176758,1,1372.819702,-247.421387
0.109375,-315.403198,1173.176758,1,1372.819702,-247.421387
0.103516,-315.403351,1173.176758,1,1372.819702,-247.421387
0.109375,-315.403503,1173.176758,1,1372.819702,-247.421387
0.109375,-315.403687,1173.176758,0,0,0
0.111328,-315.40387,1173.176758,0,0,0
0.103516,-315.404022,1173.176758,0,0,0
0.103516,-315.404144,1173.176758,1,1031.514648,92.588425
0.105469,-315.404327,1173.176758,1,1089.103638,133.265594
0.103516,-315.404327,1173.176758,1,1105.818848,158.023529
0.101562,-315.404327,1173.176758,1,1113.943359,170.578476
0.101562,-315.404297,1173.176758,1,1225.947388,188.444885
