time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,721.820068,447.616699
0.104309,-464.552704,-1216.647827,1,-312.76886,848.1521
0.106689,-464.55368,-1216.646973,1,-268.203491,852.835266
0.101318,-464.553833,-1216.646851,1,-141.27388,814.888062
0.101562,-464.553284,-1216.647339,1,966.254089,317.291443
0.10083,-464.552551,-1216.647827,1,1027.09314,376.991058
0.107117,-464.552277,-1216.648071,1,996.913696,309.894104
0.100098,-464.552734,-1216.647583,1,883.329895,294.985138
0.105164,-464.553558,-1216.647095,1,850.547241,285.499634
0.106506,-464.553986,-1216.646729,1,867.884583,226.637451
0.105591,-464.553528,-1216.647095,1,451.884277,335.671448
0.106445,-464.552795,-1216.647705,1,322.416687,336.627747
0.104675,-464.552399,-1216.648071,1,700.105408,-123.381477
0.105591,-464.552643,-1216.647949,1,700.105408,-123.381477
0.105774,-464.553131,-1216.647339,1,700.105408,-123.381477
0.10675,-464.553406,-1216.647217,1,700.105408,-123.381477
0.105164,-464.553284,-1216.647217,1,700.105408,-123.381477
0.105835,-464.552948,-1216.647339,1,1368.611328,104.094795
0.105591,-464.552734,-1216.647217,1,1067.123047,204.392609
0.106934,-464.552765,-1216.647339,1,1597.052612,101.943588
0.105957,-464.552948,-1216.647339,1,1328.455811,212.201401
0.1073,-464.55307,-1216.647217,1,1388.59021,201.912674
0.100891,-464.55307,-1216.647217,1,1403.483521,238.358109
0.106873,-464.55304,-1216.647095,1,1427.013794,266.942169
0.107178,-464.55307,-1216.647217,1,1417.491821,286.854065
0.101685,-464.55304,-1216.647217,1,1373.908447,427.839478
0.103271,-464.55304,-1216.647217,1,1373.744385,429.529938
0.100891,-464.55304,-1216.647217,1,1379.078735,416.735748
0.105774,-464.55307,-1216.647217,1,1413.893799,208.250275
0.103943,-464.55304,-1216.647217,1,1408.710693,206.466949
0.104309,-464.55307,-1216.647095,1,1441.633789,198.501572
0.105225,-464.55304,-1216.647217,1,1446.345093,212.206314
0.102722,-464.55304,-1216.647217,1,1459.714966,213.887802
0.102905,-464.55304,-1216.647217,1,1468.076904,221.841049
0.105286,-464.55304,-1216.647339,1,1448.374512,197.143982
0.103455,-464.55307,-1216.647217,1,1459.794189,214.420624
0.106018,-464.55307,-1216.647217,1,1459.561035,217.700058
0.10199,-464.55307,-1216.647217,1,1459.855713,215.241638
0.102356,-464.55307,-1216.647217,1,1455.168457,222.503479
0.10376,-464.553009,-1216.647217,1,1429.361328,175.778702
0.102661,-464.553192,-1216.647217,1,1432.711426,151.672653
0.104736,-464.55368,-1216.646973,1,1279.158936,217.803345
0.104248,-464.554901,-1216.645996,1,1254.772339,235.534698
0.104431,-464.557434,-1216.643799,1,1300.62146,142.628998
0.100159,-464.561523,-1216.640747,1,1351.666504,55.022404
0.10321,-464.567352,-1216.635864,1,1360.726074,80.943901
0.104553,-464.574982,-1216.629761,1,1511.145142,-74.051949
0.104309,-464.584198,-1216.622192,1,1511.145142,-74.051949
0.103455,-464.59491,-1216.613281,1,1511.145142,-74.051949
0.105774,-464.607422,-1216.603271,1,1511.145142,-74.051949
0.103271,-464.621307,-1216.591919,1,1511.145142,-74.051949
0.102722,-464.636627,-1216.57959,0,0,0
0.104614,-464.653748,-1216.565552,0,0,0
0.104431,-464.672424,-1216.550415,0,0,0
0.105225,-464.692749,-1216.533813,0,0,0
0.102478,-464.71405,-1216.516479,1,1437.298462,382.20285
0.1073,-464.737946,-1216.497192,1,1435.734985,407.585175
0.108093,-464.76358,-1216.476196,1,1402.77356,161.091583
0.106201,-464.790253,-1216.45459,1,1370.756104,185.909164
0.105713,-464.818359,-1216.431641,1,1463.166016,243.760315
0.104248,-464.847534,-1216.407959,1,1444.444824,235.70546
0.105042,-464.878357,-1216.383057,1,891.008972,226.003082
0.106018,-464.91095,-1216.356689,1,882.380188,238.420059
0.104919,-464.94455,-1216.329102,1,340.82486,274.764008
0.105103,-464.979645,-1216.300659,1,246.166367,329.419006
0.10614,-465.016479,-1216.27063,1,302.200745,313.143768
0.104797,-465.05426,-1216.239868,1,292.21109,339.111816
0.106445,-465.094025,-1216.20752,1,1062.804688,274.512024
0.106995,-465.135406,-1216.173828,1,1150.625366,346.60318
0.10144,-465.175903,-1216.140991,1,1176.95459,345.619995
0.10498,-465.219086,-1216.105957,1,969.438171,194.662643
0.100098,-465.261505,-1216.071533,1,942.401245,193.575638
0.108093,-465.308624,-1216.033081,1,963.160767,125.499832
0.107971,-465.357086,-1215.993652,1,963.160767,125.499832
0.101257,-465.403748,-1215.955811,1,963.160767,125.499832
0.108582,-465.455109,-1215.914062,1,963.160767,125.499832
0.105225,-465.506104,-1215.872681,1,948.478394,-7.43297
0.103394,-465.557404,-1215.830811,1,899.153931,7.814681
0.107544,-465.61203,-1215.786377,1,876.826294,203.159332
0.105103,-465.666656,-1215.742065,1,923.062561,220.504913
0.102722,-465.721161,-1215.697876,1,1228.143555,345.638184
0.106262,-465.778839,-1215.651001,1,1311.108276,378.395142
0.106079,-465.837555,-1215.603271,1,1298.127197,373.68512
0.102295,-465.895294,-1215.556396,1,1300.884888,379.466309
0.106384,-465.956482,-1215.506592,1,1014.352234,344.894653
0.102539,-466.016602,-1215.457764,1,1042.156494,262.776459
0.10199,-466.077454,-1215.408447,1,1039.721191,257.120575
0.101685,-466.139252,-1215.358154,1,1149.750122,81.5756
0.103333,-466.203186,-1215.306152,1,1149.750122,81.5756
0.103027,-466.268036,-1215.253418,1,1402.525391,-294.208618
0.10083,-466.332794,-1215.200928,1,1367.147827,-223.349777
