time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.93924,-476.270569,0,0,0
0.105469,-420.936096,-476.272705,0,0,0
0.103516,-420.934937,-476.273499,0,0,0
0.105469,-420.934906,-476.273499,0,0,0
0.103516,-420.935669,-476.272949,0,0,0
0.101562,-420.936523,-476.272339,0,0,0
0.101562,-420.936646,-476.272308,0,0,0
0.101562,-420.935913,-476.272766,0,0,0
0.101562,-420.934998,-476.273468,0,0,0
0.109375,-420.934662,-476.273712,0,0,0
0.101562,-420.93512,-476.273376,0,0,0
0.103516,-420.935883,-476.272827,0,0,0
0.103516,-420.936249,-476.272614,0,0,0
0.107422,-420.935974,-476.272797,0,0,0
0.101562,-420.935394,-476.273193,0,0,0
0.101562,-420.935059,-476.273438,0,0,0
0.103516,-420.935089,-476.273346,0,0,0
0.107422,-420.935455,-476.273193,0,0,0
0.103516,-420.935608,-476.273102,0,0,0
0.103516,-420.935577,-476.273102,0,0,0
0.109375,-420.935394,-476.273254,0,0,0
0.105469,-420.935242,-476.273376,0,0,0
0.107422,-420.935211,-476.273407,1,822.218079,487.312225
0.107422,-420.935211,-476.273438,1,828.347046,488.697815
0.105469,-420.935242,-476.273376,1,1302.941284,302.639771
0.101562,-420.935272,-476.273376,1,1303.890503,281.655121
0.105469,-420.935272,-476.273376,1,1537.334717,-233.716156
0.103516,-420.935242,-476.273376,1,1399.507812,141.871338
0.103516,-420.935242,-476.273376,1,1320.922607,309.201599
0.105469,-420.935242,-476.273376,1,1234.028809,331.406677
0.105469,-420.935242,-476.273376,1,1000.270752,475.587067
0.107422,-420.935242,-476.273376,1,1009.68042,469.36853
0.105469,-420.935242,-476.273376,1,1008.089661,463.431915
0.105469,-420.935242,-476.273376,1,1200.051514,255.537704
0.107422,-420.935242,-476.273407,1,1200.051514,255.537704
0.105469,-420.935242,-476.273407,1,1200.051514,255.537704
0.101562,-420.935242,-476.273376,1,1200.051514,255.537704
0.107422,-420.935242,-476.273376,1,1200.051514,255.537704
0.107422,-420.935242,-476.273376,0,0,0
0.105469,-420.935242,-476.273376,0,0,0
0.107422,-420.935242,-476.273407,0,0,0
0.107422,-420.935242,-476.273346,0,0,0
0.101562,-420.935242,-476.273346,0,0,0
0.109375,-420.935242,-476.273376,0,0,0
0.101562,-420.935242,-476.273376,0,0,0
0.105469,-420.935242,-476.273346,0,0,0
0.107422,-420.935242,-476.273376,0,0,0
0.107422,-420.935242,-476.273346,0,0,0
0.107422,-420.935242,-476.273407,0,0,0
0.109375,-420.935242,-476.273407,0,0,0
0.101562,-420.935242,-476.273376,0,0,0
0.101562,-420.935242,-476.273346,1,1345.712036,393.383423
0.101562,-420.935242,-476.273376,1,1411.739136,343.320587
0.109375,-420.935242,-476.273407,1,1431.257812,348.41333
0.103516,-420.935242,-476.273346,1,1439.272461,361.97168
0.107422,-420.935242,-476.273376,1,1426.512695,350.982452
0.103516,-420.935242,-476.273376,1,1028.283936,528.932861
0.103516,-420.935242,-476.273407,1,1021.764587,509.732727
0.101562,-420.93515,-476.273468,1,1018.685059,506.124023
0.109375,-420.934753,-476.273682,1,1103.905273,462.99649
0.107422,-420.933807,-476.274323,1,1359.504272,354.69104
0.101562,-420.931976,-476.275574,1,1191.968018,365.943085
0.107422,-420.928345,-476.278076,1,957.964661,374.355011
0.109375,-420.922821,-476.281982,1,968.998718,391.568329
0.101562,-420.915649,-476.286987,1,965.27478,390.49115
0.109375,-420.906006,-476.293793,1,1331.102783,240.243622
0.107422,-420.894623,-476.301849,1,1334.354736,246.552246
0.111328,-420.880981,-476.311401,1,1259.472168,257.409088
0.107422,-420.865875,-476.321991,1,1259.173218,247.895905
0.101562,-420.84967,-476.333344,1,934.646057,524.304382
0.109375,-420.830444,-476.346863,1,957.739868,521.731567
0.101562,-420.810944,-476.360596,1,966.637939,509.932892
0.101562,-420.789673,-476.375488,1,827.304688,416.526184
0.103516,-420.766724,-476.391632,1,670.212585,412.756348
0.105469,-420.741425,-476.409424,1,302.378479,373.153259
0.101562,-420.715424,-476.427704,1,307.603973,380.541992
0.103516,-420.687378,-476.447388,1,402.885529,363.77179
0.101562,-420.658295,-476.467712,1,455.500946,360.330566
0.107422,-420.625549,-476.490601,1,873.04541,450.91394
0.105469,-420.592041,-476.514099,1,972.669434,467.724701
0.109375,-420.555817,-476.539551,1,970.082153,466.864288
0.105469,-420.518829,-476.565491,1,1353.386353,229.759933
0.105469,-420.480774,-476.592255,1,1352.475342,240.289322
0.109375,-420.439056,-476.621552,1,1274.69873,234.031372
0.101562,-420.399017,-476.649689,1,1273.505371,232.465073
0.111328,-420.353973,-476.681213,1,889.47876,458.993469
0.105469,-420.308868,-476.71286,1,894.450195,456.438843
0.105469,-420.263092,-476.744965,1,895.380737,449.627502
0.101562,-420.216614,-476.777618,1,897.837646,445.860535
0.109375,-420.164612,-476.814178,1,868.432495,351.067322
0.111328,-420.109467,-476.852936,1,869.884644,341.971954
0.107422,-420.054199,-476.891876,1,869.725464,344.9198
0.101562,-419.999023,-476.930664,1,868.605408,358.807617
0.103516,-419.940216,-476.972168,1,866.225891,355.097809
0.105469,-419.875031,-477.018005,1,870.572876,351.981598
0.105469,-419.801788,-477.069611,1,872.999512,357.730865
0.103516,-419.71344,-477.131897,1,872.836792,350.748749
0.105469,-419.605255,-477.208099,1,985.549866,483.38443
0.105469,-419.468292,-477.304749,1,1022.850708,532.382812
0.103516,-419.305084,-477.420044,1,1020.875732,536.672424
0.101562,-419.115448,-477.554199,1,855.420593,455.48703
0.101562,-418.893341,-477.711639,1,851.886658,461.547913
0.107422,-418.629547,-477.8992,1,341.215515,372.211761
0.101562,-418.354095,-478.095398,1,351.202454,373.849701
0.113281,-418.014679,-478.337677,1,435.609253,369.285614
0.101562,-417.680695,-478.57666,1,443.002441,368.703491
0.113281,-417.277405,-478.866119,1,424.084961,342.769318
0.113281,-416.843994,-479.177979,1,426.753357,343.626221
0.105469,-416.413055,-479.489075,1,908.559143,433.149994
0.113281,-415.926025,-479.841827,1,971.804565,501.709991
0.101562,-415.465729,-480.176453,1,978.825745,488.511963
0.111328,-414.940277,-480.559784,1,975.38501,494.461182
0.111328,-414.397308,-480.957062,1,979.940857,497.110077
0.101562,-413.894958,-481.325378,1,867.110474,449.355743
0.101562,-413.372375,-481.710266,1,868.691895,450.819183
0.105469,-412.816956,-482.124146,1,863.102051,441.270844
0.101562,-412.266357,-482.541168,1,851.744446,437.564545
0.101562,-411.706451,-482.972626,1,890.010925,461.427887
0.103516,-411.127686,-483.425415,1,1008.566223,524.082642
