time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,0,0,0
0.108398,-420.936432,-476.27243,0,0,0
0.100586,-420.935211,-476.273285,0,0,0
0.106445,-420.934906,-476.273438,0,0,0
0.107422,-420.935577,-476.27298,1,609.862854,405.900696
0.103516,-420.936432,-476.2724,1,974.039368,312.868317
0.101562,-420.936615,-476.272278,1,1244.778931,245.716873
0.107422,-420.935974,-476.272675,1,1243.216431,233.359192
0.101562,-420.935089,-476.273346,1,1247.684326,214.698196
0.110352,-420.934723,-476.273621,1,1231.566528,193.919098
0.105469,-420.935181,-476.273285,1,1240.845459,185.716049
0.106445,-420.935944,-476.272766,1,1239.549927,184.210953
0.101562,-420.93631,-476.272552,1,973.586304,142.74733
0.101562,-420.936005,-476.272705,1,1163.564087,267.544708
0.101562,-420.935455,-476.273132,1,1265.503174,294.125854
0.100586,-420.93512,-476.273376,1,1257.138916,300.854401
0.101562,-420.93512,-476.273315,1,1221.68396,314.365326
0.100586,-420.935425,-476.273193,1,1212.651855,323.807129
0.100586,-420.935608,-476.27301,1,1248.917358,275.623322
0.109375,-420.935608,-476.27301,1,1285.427246,223.565811
0.103516,-420.935455,-476.273193,1,1278.359131,223.79744
0.103516,-420.935272,-476.273346,1,1312.219482,200.063156
0.103516,-420.935211,-476.273315,1,1272.252441,231.562408
0.105469,-420.935211,-476.273346,1,1167.293701,407.372681
0.102539,-420.935242,-476.273285,1,1070.180908,423.84021
0.103516,-420.935272,-476.273315,1,976.766296,453.800385
0.105469,-420.935272,-476.273315,1,988.697449,444.869598
0.106445,-420.935242,-476.273346,1,1287.439209,309.937927
0.103516,-420.935242,-476.273315,1,1302.631714,310.865326
0.104492,-420.935242,-476.273315,1,1332.62207,295.458008
0.105469,-420.935242,-476.273285,1,1335.726685,290.052887
0.104492,-420.935242,-476.273285,1,1330.621948,296.916168
0.101562,-420.935242,-476.273315,1,1325.781982,293.769684
0.102539,-420.935242,-476.273315,1,1317.864136,304.737518
0.102539,-420.935242,-476.273315,1,1323.439819,298.678223
0.105469,-420.935242,-476.273346,1,1327.515503,296.400299
0.100586,-420.935242,-476.273315,1,1333.742065,297.885071
0.103516,-420.93512,-476.273346,1,1333.314941,293.674622
0.101562,-420.934906,-476.27356,1,1326.815918,298.852844
0.103516,-420.934143,-476.274048,1,1271.023071,279.092743
