time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,1134.328125,0.474881
0.105469,-420.936401,-476.272461,0,0,0
0.103516,-420.935181,-476.273315,0,0,0
0.109375,-420.934937,-476.273468,1,892.858948,121.797836
0.101562,-420.935608,-476.27298,1,912.904785,102.406281
0.107422,-420.936493,-476.2724,1,944.685547,206.034073
0.103516,-420.936615,-476.272339,1,941.856201,212.684113
0.101562,-420.935974,-476.272766,1,948.588196,346.751007
0.107422,-420.934998,-476.273407,1,1002.581848,345.87793
0.107422,-420.934692,-476.273621,1,1059.893677,340.011627
0.107422,-420.935242,-476.273285,1,1057.777832,327.799896
0.105469,-420.935944,-476.272766,1,545.751099,249.761734
0.109375,-420.936279,-476.272583,1,542.234436,250.863998
0.101562,-420.935913,-476.272827,1,549.643677,240.724991
0.107422,-420.935333,-476.273254,1,730.751343,237.080093
0.103516,-420.93512,-476.273407,1,1002.591675,234.861298
0.103516,-420.935181,-476.273315,1,1003.599243,238.022461
0.101562,-420.935486,-476.273132,1,1296.699219,134.132919
0.103516,-420.935638,-476.273041,1,1296.156494,121.920952
0.103516,-420.935547,-476.273071,1,1295.891357,128.355728
0.103516,-420.935394,-476.273254,1,1011.282837,175.205978
0.101562,-420.935242,-476.273346,1,1186.136841,-292.944
0.109375,-420.935242,-476.273407,1,1340.736816,-257.851929
0.101562,-420.935211,-476.273407,1,1343.544189,-79.216713
0.101562,-420.935242,-476.273346,1,1323.39917,74.715591
0.109375,-420.935272,-476.273346,1,1310.922119,110.68766
0.105469,-420.935303,-476.273346,1,1298.103149,162.58812
0.105469,-420.935242,-476.273346,1,1277.356567,176.723251
0.111328,-420.935242,-476.273346,1,1286.03186,163.950272
0.109375,-420.935272,-476.273376,1,1296.226562,180.410583
0.101562,-420.935242,-476.273315,1,1315.147217,204.989212
0.109375,-420.935242,-476.273346,1,1312.948364,203.821579
0.107422,-420.935242,-476.273376,1,1187.787598,135.063766
0.109375,-420.935242,-476.273346,1,1185.380859,127.037346
0.109375,-420.935242,-476.273346,1,1177.64856,120.612633
0.101562,-420.935242,-476.273346,1,1238.299438,124.882378
0.101562,-420.935242,-476.273346,1,1365.564697,185.303543
0.107422,-420.935242,-476.273346,1,1239.405029,128.798965
0.109375,-420.935211,-476.273346,1,1217.675537,132.535217
0.109375,-420.935181,-476.273376,1,985.77417,199.902206
0.107422,-420.934937,-476.273529,1,856.730774,171.510117
0.109375,-420.934204,-476.273987,1,972.561279,214.270172
0.107422,-420.932678,-476.275085,1,1168.228638,201.374924
0.107422,-420.929657,-476.2771,1,1396.658936,165.386795
0.109375,-420.924561,-476.280701,1,1393.885376,175.732758
0.107422,-420.917603,-476.285522,1,1300.067505,176.780167
0.109375,-420.908417,-476.291962,1,950.459961,173.104065
0.103516,-420.897827,-476.299377,1,943.765686,177.907547
0.103516,-420.885468,-476.308014,1,949.425171,184.219864
0.105469,-420.871124,-476.318085,1,945.824219,186.614578
0.103516,-420.85376,-476.33017,1,1051.792603,281.759216
0.105469,-420.830109,-476.34671,1,1052.074341,275.054626
0.111328,-420.788208,-476.375977,1,1058.108398,279.069519
0.103516,-420.721008,-476.422913,1,1054.263916,279.020233
0.103516,-420.616974,-476.495605,1,1058.664062,276.613708
0.103516,-420.478394,-476.592316,1,1064.62561,275.943695
0.105469,-420.299469,-476.717163,1,1062.634277,268.656097
0.105469,-420.081604,-476.869324,1,1061.918579,277.871521
0.107422,-419.823669,-477.049316,1,1060.412476,277.931427
0.105469,-419.531891,-477.253052,1,1065.247681,283.971161
0.105469,-419.204712,-477.481689,1,1066.256348,276.479187
0.109375,-418.830261,-477.743652,1,1066.27124,275.166107
0.103516,-418.428101,-478.025238,1,1060.512939,269.320343
0.113281,-417.961395,-478.352539,1,1059.446655,270.48349
0.109375,-417.469818,-478.697968,1,1063.12854,269.979675
0.107422,-416.95108,-479.063507,1,1061.688354,264.530853
0.109375,-416.415527,-479.442108,1,1062.088379,271.575317
0.111328,-415.848816,-479.84436,1,1059.31543,260.84256
0.113281,-415.249786,-480.271606,1,995.668457,256.667511
0.107422,-414.653473,-480.699829,1,995.222839,263.933411
0.109375,-414.041321,-481.143433,1,931.193176,198.513641
0.107422,-413.418335,-481.599579,1,920.549072,182.452805
0.109375,-412.767181,-482.081665,1,928.680786,174.819427
0.113281,-412.079956,-482.596161,1,941.00061,178.62114
0.109375,-411.403137,-483.108368,1,936.458618,183.007034
0.115234,-410.678741,-483.662079,1,1027.625488,275.995636
0.113281,-409.943604,-484.229797,1,1035.592651,277.007111
0.111328,-409.203369,-484.807831,1,1039.796631,279.301819
0.109375,-408.452423,-485.401367,1,1031.641846,277.038879
0.115234,-407.647797,-486.045807,1,1040.282593,275.883209
0.113281,-406.832001,-486.709076,1,1033.625732,275.89328
0.113281,-405.996918,-487.399902,1,1040.014526,280.984741
0.109375,-405.180969,-488.088257,1,1040.010376,271.426941
0.113281,-404.304749,-488.843018,1,1042.869385,279.523621
0.113281,-403.395111,-489.643829,1,1084.998291,297.319824
0.111328,-402.488495,-490.459381,1,1082.559814,292.872772
0.109375,-401.546753,-491.324249,1,1083.380859,294.962341
0.111328,-400.55896,-492.253052,1,1003.056702,234.290634
0.111328,-399.569305,-493.207825,1,942.756409,183.034119
0.111328,-398.581573,-494.187897,1,940.23999,178.376663
0.113281,-397.583832,-495.208893,1,943.8078,182.706848
0.115234,-396.55899,-496.292389,1,1011.897705,265.457764
0.115234,-395.547638,-497.39801,1,1024.983643,284.413666
0.111328,-394.561096,-498.51297,1,1018.078064,278.921082
0.105469,-393.622498,-499.608124,1,1066.536011,286.355743
0.105469,-392.708313,-500.708405,1,1070.617188,285.440277
0.101562,-391.826202,-501.803009,1,1064.10144,281.561096
0.101562,-390.967865,-502.900574,1,1059.164917,278.690247
0.115234,-389.994934,-504.185333,1,1057.511475,275.984802
0.103516,-389.132874,-505.362152,1,1050.244385,279.04776
0.107422,-388.265717,-506.584412,1,1045.506226,268.85498
0.115234,-387.348816,-507.921753,1,947.990967,210.355103
0.101562,-386.559387,-509.111969,1,972.634033,252.871613
0.115234,-385.677917,-510.485535,1,1008.223999,283.860229
0.113281,-384.838562,-511.839783,1,1008.002258,289.345123
0.113281,-384.015167,-513.210083,1,1000.050659,287.586823
0.101562,-383.308563,-514.403931,1,995.712891,285.227203
0.111328,-382.522705,-515.732361,1,990.37146,279.255127
0.115234,-381.730927,-517.055847,1,994.553345,270.894104
0.113281,-380.934326,-518.362793,1,997.972656,276.787384
0.113281,-380.143677,-519.635803,1,1008.365601,278.707397
0.113281,-379.344452,-520.905334,1,1005.058716,282.946106
0.113281,-378.55304,-522.155884,1,1019.888184,297.25296
0.111328,-377.781342,-523.378845,1,1021.923889,324.289093
0.111328,-377.025757,-524.589783,1,1017.225708,318.974487
0.113281,-376.279297,-525.8078,1,1020.796753,321.135284
0.113281,-375.544525,-527.032166,1,1016.96344,310.745178
0.113281,-374.814209,-528.275574,1,1017.225586,321.640228
0.101562,-374.185181,-529.366882,1,1000.503967,271.760162
0.113281,-373.490417,-530.589172,1,954.748291,191.93895
0.109375,-372.819702,-531.781616,1,938.373413,178.250214
0.115234,-372.140808,-532.998291,1,939.455811,180.844421
0.113281,-371.466217,-534.216797,1,946.775085,183.404068
0.103516,-370.869446,-535.305908,1,942.417725,180.05336
0.113281,-370.222504,-536.502441,1,940.660034,189.149872
0.111328,-369.584564,-537.701416,1,941.366272,185.518555
0.111328,-368.961517,-538.892578,1,1002.110596,289.553711
0.109375,-368.338593,-540.10321,1,1017.218994,318.224945
0.115234,-367.700775,-541.363098,1,1015.4823,329.820312
0.113281,-367.064301,-542.639771,1,1016.964783,326.680481
0.111328,-366.44873,-543.893188,1,1016.73468,326.774261
0.113281,-365.822937,-545.186218,1,997.269653,323.347961
0.113281,-365.195557,-546.500977,1,994.316956,323.182709
0.111328,-364.581421,-547.805054,1,995.25592,325.549225
0.111328,-363.967987,-549.122437,1,989.198669,329.545227
0.113281,-363.348114,-550.466614,1,983.947998,325.087799
0.107422,-362.75238,-551.768066,1,926.721375,204.484268
0.107422,-362.160217,-553.068726,1,929.162292,191.803238
0.113281,-361.547974,-554.420166,1,927.992493,206.300613
0.109375,-360.939941,-555.768372,1,932.562134,307.092773
0.101562,-360.379608,-557.016541,1,930.666016,296.855743
0.111328,-359.771515,-558.378113,1,966.806946,325.627411
0.113281,-359.151733,-559.775574,1,964.837769,316.609833
0.115234,-358.522644,-561.206604,1,972.962158,323.643646
0.103516,-357.957275,-562.505127,1,966.717468,319.502777
0.101562,-357.402832,-563.788818,1,937.16626,200.152267
0.113281,-356.784973,-565.228394,1,939.292053,243.894821
0.101562,-356.241974,-566.498169,1,947.517395,315.093842
0.113281,-355.624573,-567.94458,1,956.660706,305.690857
0.113281,-355.006744,-569.392334,1,955.121582,306.151062
0.111328,-354.391602,-570.832642,1,958.896545,305.258453
0.113281,-353.7724,-572.281433,1,977.381531,333.223145
0.111328,-353.167297,-573.696472,1,977.252197,317.891052
0.111328,-352.576691,-575.075684,1,959.412659,325.513641
0.111328,-351.980774,-576.464355,1,952.808167,322.495728
0.113281,-351.386475,-577.843445,1,948.700806,319.447601
0.109375,-350.811127,-579.168884,1,944.698853,305.814392
0.111328,-350.224335,-580.507874,1,939.710999,304.196625
0.113281,-349.629639,-581.849731,1,936.580139,196.290298
0.111328,-349.043152,-583.158264,1,900.238708,229.557831
0.111328,-348.46347,-584.437439,1,944.141907,307.941711
0.113281,-347.86441,-585.746338,1,954.269836,304.266876
0.115234,-347.2659,-587.042786,1,954.933655,301.825684
0.111328,-346.680298,-588.303955,1,958.635376,315.673462
0.101562,-346.161835,-589.417603,1,960.945068,314.633942
0.109375,-345.596832,-590.630188,1,958.777344,304.486023
0.113281,-345.021729,-591.866333,1,1026.858032,328.757538
0.113281,-344.457367,-593.083252,1,1007.58374,318.995453
0.111328,-343.908325,-594.271729,1,982.985718,314.86618
0.111328,-343.364746,-595.453125,1,985.51355,317.231781
0.111328,-342.820038,-596.641296,1,978.327271,311.541626
0.115234,-342.275421,-597.833252,1,951.697021,258.51004
0.101562,-341.799316,-598.877747,1,929.436523,201.429413
0.111328,-341.277985,-600.02356,1,927.313782,210.032684
0.111328,-340.759766,-601.162903,1,953.3703,307.994507
0.113281,-340.244354,-602.29303,1,950.492126,304.652771
0.113281,-339.719849,-603.434692,1,824.505859,293.61145
0.115234,-339.198822,-604.552734,1,713.695557,302.283051
0.109375,-338.694092,-605.612915,1,725.799622,302.112885
0.111328,-338.17569,-606.675659,1,902.123779,315.334198
0.109375,-337.652527,-607.721375,1,965.278564,319.286896
0.103516,-337.163055,-608.677124,1,971.73407,317.503967
