time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,1,1525.864136,-0.291693
0.102539,-315.392273,1173.163574,1,1508.114258,-39.556831
0.105469,-315.397339,1173.171143,1,1497.486572,-23.238003
0.102539,-315.401886,1173.177612,1,1031.000366,283.249786
0.101562,-315.404083,1173.180542,1,1054.086914,270.020355
0.100586,-315.403442,1173.179077,1,1183.136475,111.061127
0.102539,-315.400909,1173.174683,1,1171.443726,107.875412
0.101562,-315.398651,1173.171143,1,1194.32312,127.944435
0.107422,-315.398071,1173.171021,1,1225.091187,106.034027
0.103516,-315.39917,1173.173584,1,1231.955933,114.168404
0.108398,-315.400696,1173.176758,1,1283.666748,133.157272
0.100586,-315.401428,1173.177856,1,1279.517944,130.318359
0.111328,-315.401245,1173.177002,1,1296.730469,162.771194
0.110352,-315.400665,1173.175293,1,1281.514038,231.304123
0.101562,-315.400421,1173.174805,1,1288.387085,232.770767
0.110352,-315.400574,1173.175171,1,1270.432007,164.429459
0.100586,-315.400909,1173.176147,1,1270.432007,164.429459
0.100586,-315.401184,1173.177002,1,1270.432007,164.429459
0.101562,-315.401276,1173.177246,1,1270.432007,164.429459
0.103516,-315.401276,1173.177002,1,1352.549805,375.621277
0.103516,-315.401245,1173.17688,1,1318.149902,423.281738
0.100586,-315.401245,1173.17688,1,1498.446289,569.808167
0.101562,-315.401398,1173.17688,1,1861.861572,597.513184
0.109375,-315.401611,1173.17688,1,1744.223389,634.935181
0.108398,-315.401794,1173.17688,1,1410.882935,386.223572
0.107422,-315.401947,1173.17688,1,1434.768311,320.484467
0.103516,-315.402008,1173.17688,1,1412.706055,299.450165
0.102539,-315.402008,1173.17688,1,1401.936035,287.06546
0.102539,-315.402008,1173.17688,1,1393.536133,281.628204
0.106445,-315.402161,1173.177002,1,1387.840454,278.756195
0.108398,-315.402344,1173.17688,1,1387.034424,270.617493
0.105469,-315.402496,1173.17688,1,1497.375122,-128.913589
0.107422,-315.402649,1173.17688,1,1497.375122,-128.913589
0.107422,-315.402832,1173.17688,1,1497.375122,-128.913589
0.101562,-315.402985,1173.176758,1,1497.375122,-128.913589
0.103516,-315.403137,1173.17688,1,1497.375122,-128.913589
0.102539,-315.40329,1173.17688,0,0,0
0.100586,-315.403442,1173.17688,1,1397.359497,256.627502
0.102539,-315.403595,1173.17688,1,1408.576172,257.034912
0.105469,-315.403778,1173.17688,1,1269.034912,248.135773
0.101562,-315.403931,1173.17688,1,1236.530518,248.447174
0.100586,-315.404083,1173.17688,1,954.14917,281.307007
0.105469,-315.404236,1173.17688,1,959.900391,283.760681
0.101562,-315.404388,1173.17688,1,871.432373,301.094147
0.100586,-315.404541,1173.17688,1,871.352051,297.576477
0.100586,-315.404694,1173.176758,1,1070.87915,286.669983
0.103516,-315.404846,1173.17688,1,1366.388916,245.124573
0.101562,-315.404999,1173.176758,1,1368.306641,249.540222
0.100586,-315.405151,1173.17688,1,1365.958496,245.444153
0.102539,-315.405334,1173.17688,1,1389.53064,260.943542
0.101562,-315.405487,1173.17688,1,1385.321289,262.236542
0.102539,-315.40564,1173.17688,1,1387.443848,260.376587
0.102539,-315.405792,1173.17688,1,1384.96521,252.781174
0.104492,-315.405945,1173.17688,1,1385.700806,250.468475
0.103516,-315.406128,1173.17688,1,1386.619507,254.506104
0.112305,-315.406281,1173.17688,1,1829.720703,175.276428
0.110352,-315.406433,1173.17688,1,2106.345459,130.786438
0.100586,-315.406616,1173.17688,1,2106.345459,130.786438
0.100586,-315.406738,1173.17688,1,2106.345459,130.786438
0.101562,-315.406921,1173.17688,1,2106.345459,130.786438
0.102539,-315.407043,1173.17688,0,0,0
0.101562,-315.407227,1173.17688,1,1581.937012,259.01886
0.109375,-315.407379,1173.17688,1,1273.944214,276.834167
0.101562,-315.407593,1173.17749,1,1277.403931,276.506226
0.103516,-315.408203,1173.178589,1,1353.024658,245.628983
0.107422,-315.409393,1173.181274,1,1349.184082,231.832825
0.105469,-315.411346,1173.185181,1,1334.442383,225.594696
0.101562,-315.414215,1173.191162,1,1210.807129,88.789192
0.109375,-315.41864,1173.200073,1,1158.174072,68.084534
0.109375,-315.4245,1173.21228,1,1063.231201,38.749584
0.100586,-315.431183,1173.22583,1,1085.265869,17.547737
0.110352,-315.43988,1173.24353,1,915.822815,91.803238
0.109375,-315.449829,1173.263794,1,766.043701,58.769138
0.101562,-315.460297,1173.285034,1,820.138794,97.087791
0.111328,-315.473114,1173.311279,1,820.138794,97.087791
0.100586,-315.485962,1173.337524,1,820.138794,97.087791
0.104492,-315.500397,1173.367065,1,820.138794,97.087791
0.106445,-315.516479,1173.39978,1,820.138794,97.087791
0.100586,-315.532715,1173.432861,0,0,0
0.101562,-315.550323,1173.468628,0,0,0
0.105469,-315.569641,1173.507935,0,0,0
0.104492,-315.590088,1173.549805,1,936.589172,88.666016
0.105469,-315.61203,1173.59436,1,881.90094,267.012085
0.103516,-315.634521,1173.640259,1,891.05603,311.932007
0.105469,-315.658905,1173.689819,1,864.715576,335.567017
0.102539,-315.683594,1173.739746,1,876.348145,366.589569
0.104492,-315.710297,1173.793701,1,873.414734,379.579376
0.110352,-315.739319,1173.852417,1,873.780884,378.065491
0.108398,-315.769348,1173.913208,1,854.925659,278.804993
0.103516,-315.798889,1173.972778,1,844.064392,289.620422
0.100586,-315.828705,1174.033203,1,828.912598,298.421204
0.107422,-315.861633,1174.099976,1,823.049011,311.238068
0.104492,-315.89444,1174.166626,1,821.101562,316.625061
0.105469,-315.929047,1174.237061,1,901.752197,461.09314
0.105469,-315.964325,1174.308838,1,899.16272,454.480591
0.104492,-316.000366,1174.382324,1,890.275879,459.892365
0.105469,-316.037659,1174.458252,1,911.195679,520.0401
0.110352,-316.078125,1174.541382,1,906.03717,504.166107
0.107422,-316.120026,1174.627441,1,907.013794,511.946564
0.109375,-316.168579,1174.727417,1,909.294006,505.89386
0.103516,-316.228088,1174.849731,1,816.755676,302.445129
0.100586,-316.304565,1175.007202,1,820.53479,306.002991
0.103516,-316.402069,1175.208008,1,822.318176,307.698944
0.101562,-316.516357,1175.443359,1,829.107178,302.450592
0.103516,-316.651672,1175.722534,1,958.007202,423.543243
0.102539,-316.805389,1176.039917,1,949.213745,424.465485
0.103516,-316.978821,1176.398193,1,949.416992,427.938171
0.108398,-317.181915,1176.818726,1,886.765381,432.355652
0.104492,-317.392853,1177.256958,1,848.498413,424.73938
0.108398,-317.622101,1177.735474,1,807.905029,325.192596
0.104492,-317.85321,1178.220703,1,807.794739,325.129883
0.103516,-318.086823,1178.714722,1,859.878235,381.685913
0.101562,-318.322144,1179.215942,1,919.28009,439.331543
0.101562,-318.563416,1179.734375,1,921.251587,442.050262
0.102539,-318.809753,1180.267822,1,922.426453,445.230957
0.102539,-319.060364,1180.816528,1,920.44458,440.384308
0.115234,-319.344116,1181.447266,1,924.03717,433.689667
0.102539,-319.601044,1182.026001,1,927.931396,432.636536
0.102539,-319.859894,1182.61731,1,928.69696,428.658142
0.104492,-320.122711,1183.226807,1,995.045349,466.276886
0.101562,-320.381287,1183.836182,1,997.175415,466.950348
0.105469,-320.646942,1184.474121,1,997.873657,460.861633
0.100586,-320.901093,1185.098633,1,895.848328,431.317322
0.112305,-321.179993,1185.800659,1,894.396423,427.192505
0.102539,-321.43396,1186.456787,1,898.191284,429.317902
0.104492,-321.686157,1187.128662,1,894.421326,433.781738
0.104492,-321.935303,1187.817139,1,892.43042,433.626923
0.103516,-322.175049,1188.507324,1,1017.693787,452.656464
0.102539,-322.408081,1189.208618,1,1015.034424,447.887543
0.102539,-322.63089,1189.912109,1,1014.912842,440.758911
0.101562,-322.844177,1190.619263,1,1013.807251,440.79657
0.100586,-323.048889,1191.332764,1,972.149963,452.5896
0.104492,-323.252502,1192.081543,1,974.590759,455.693787
0.106445,-323.449738,1192.849854,1,1005.348938,470.180939
0.100586,-323.62854,1193.589355,1,1004.65155,471.780579
0.100586,-323.798431,1194.338257,1,1079.907471,441.636505
0.113281,-323.978973,1195.19519,1,1083.082397,437.200043
0.100586,-324.127106,1195.957153,1,1083.783569,435.966034
0.113281,-324.284058,1196.839722,1,1058.633423,461.719696
0.112305,-324.425446,1197.72168,1,1056.677124,469.314697
0.111328,-324.551819,1198.607666,1,1058.594727,451.299652
0.112305,-324.664978,1199.512207,1,1065.428589,402.825806
0.110352,-324.761932,1200.415649,1,1069.001953,400.943268
0.113281,-324.845093,1201.344971,1,1048.375488,417.036896
0.101562,-324.906219,1202.189453,1,1033.860352,434.052704
0.109375,-324.957581,1203.113647,1,1031.869629,429.515991
0.111328,-324.9935,1204.064331,1,1030.176392,428.229736
0.100586,-325.011444,1204.922485,1,929.491638,336.348419
0.112305,-325.015076,1205.890747,1,810.848938,327.705414
0.112305,-325.000702,1206.873779,1,817.726257,322.838165
0.100586,-324.972107,1207.762207,1,1021.733459,451.020142
0.113281,-324.92157,1208.769775,1,1018.554016,444.512268
0.114258,-324.849976,1209.80127,1,1013.898804,442.324799
0.115234,-324.757629,1210.840088,1,1084.118042,415.574738
0.113281,-324.64444,1211.883301,1,1080.639282,417.094543
0.101562,-324.526245,1212.812866,1,1077.414917,410.483063
0.110352,-324.378296,1213.828735,1,1080.577637,409.630341
0.111328,-324.207275,1214.863281,1,1075.231201,407.739502
0.113281,-324.012665,1215.911987,1,1070.555664,409.573181
0.111328,-323.798737,1216.950317,1,946.846802,436.144135
0.111328,-323.562134,1217.993652,1,947.375549,436.487122
0.111328,-323.296631,1219.065918,1,944.645691,431.972046
0.111328,-322.997528,1220.179077,1,1216.490356,540.679749
0.110352,-322.66507,1221.32373,1,1306.509033,568.432434
0.112305,-322.287231,1222.529541,1,1315.790894,561.053223
0.103516,-321.908997,1223.650635,1,1065.009644,321.360474
0.105469,-321.493683,1224.797974,1,1029.723267,382.200134
0.114258,-321.015564,1226.030151,1,1046.024048,449.84967
0.111328,-320.516083,1227.236938,1,1040.392944,446.674316
0.106445,-320.014709,1228.384888,1,1043.475952,442.30603
0.110352,-319.473938,1229.564819,1,897.084106,447.705505
0.112305,-318.89209,1230.778687,1,894.425476,448.711395
0.111328,-318.296875,1231.964111,1,889.960815,444.481781
0.109375,-317.678864,1233.138794,1,984.027771,443.568268
0.107422,-317.051392,1234.275879,1,980.419556,446.64679
0.109375,-316.379364,1235.436157,1,849.85553,341.280914
0.112305,-315.66449,1236.610962,1,800.569702,309.017944
0.108398,-314.94812,1237.733765,1,800.700745,311.640991
0.109375,-314.199219,1238.854858,1,949.421997,490.473328
0.100586,-313.504852,1239.851929,1,944.456116,485.144531
0.109375,-312.725983,1240.928345,1,934.662109,484.985504
0.109375,-311.939087,1241.978882,1,929.012939,484.074249
0.108398,-311.145477,1243.009277,1,910.815369,495.128296
0.107422,-310.352814,1244.014893,1,885.283875,503.761749
0.106445,-309.566681,1244.992065,1,879.915955,501.594177
0.108398,-308.753693,1245.981934,1,879.974976,494.292603
0.107422,-307.941254,1246.949951,1,879.807922,494.781311
0.109375,-307.105499,1247.922852,1,1060.363525,453.404541
0.104492,-306.298065,1248.841187,1,1086.801514,448.736176
0.108398,-305.453461,1249.779297,1,1026.096924,471.833008
0.107422,-304.61142,1250.693115,1,1029.084717,469.183472
0.106445,-303.768768,1251.587158,1,1103.026367,507.937836
0.105469,-302.917877,1252.468506,1,1105.305664,509.943542
0.105469,-302.070068,1253.326172,1,1103.794067,509.527527
0.105469,-301.212463,1254.172852,1,1106.63269,510.90155
0.105469,-300.345276,1255.007812,1,1097.989258,510.400482
0.106445,-299.458313,1255.84021,1,1094.446533,506.225555
0.110352,-298.530609,1256.688843,1,1092.615967,504.558807
0.110352,-297.599243,1257.518311,1,1092.703491,493.5112
0.110352,-296.658417,1258.335327,1,1090.624634,494.39621
0.106445,-295.741608,1259.111206,1,1086.919556,491.666534
0.108398,-294.801514,1259.887451,1,1148.000366,-44.273754
0.107422,-293.864685,1260.641235,1,1148.000366,-44.273754
0.109375,-292.905304,1261.393799,1,1148.000366,-44.273754
0.108398,-291.951508,1262.123169,1,1148.000366,-44.273754
0.108398,-290.988037,1262.841309,1,1148.000366,-44.273754
0.111328,-289.984344,1263.570312,0,0,0
0.109375,-289.004486,1264.263916,1,981.719421,260.758972
0.110352,-288.003174,1264.954468,1,948.275146,389.193878
0.110352,-286.997833,1265.630249,1,922.982788,439.391937
0.110352,-285.988647,1266.291626,1,912.829041,433.583038
0.108398,-284.986877,1266.932495,1,945.292786,498.945831
0.108398,-283.993378,1267.554443,1,942.085876,495.367493
0.110352,-282.979431,1268.177246,1,933.997314,489.987152
0.110352,-281.976837,1268.783447,1,908.442993,21.114012
0.107422,-280.996948,1269.367798,1,908.442993,21.114012
0.104492,-280.051636,1269.925537,1,908.442993,21.114012
0.112305,-279.046814,1270.512573,1,908.442993,21.114012
0.110352,-278.071838,1271.07666,1,916.346985,421.71756
0.100586,-277.178406,1271.589111,1,911.123291,450.699768
0.110352,-276.2099,1272.139893,1,899.081726,493.177368
0.108398,-275.265717,1272.673584,1,893.099548,489.914978
0.107422,-274.338776,1273.195679,1,954.428223,525.237061
0.108398,-273.412048,1273.717651,1,956.465515,513.090881
0.109375,-272.480408,1274.243286,1,958.051758,507.228729
0.112305,-271.545929,1274.771484,1,957.430237,499.859222
0.108398,-270.651245,1275.277588,1,901.096436,500.805878
0.109375,-269.758057,1275.782715,1,894.842957,501.718445
0.110352,-268.876038,1276.279175,1,897.84436,495.603729
0.107422,-268.027466,1276.750854,1,894.011414,499.386108
0.112305,-267.158295,1277.225098,1,891.399536,500.355133
0.107422,-266.340729,1277.660522,1,967.430908,512.515076
0.109375,-265.524841,1278.084595,1,984.908203,517.119385
0.108398,-264.767059,1278.46936,1,867.102783,404.096832
0.108398,-264.060699,1278.82019,1,785.951294,326.472015
0.107422,-263.413422,1279.136108,1,781.973999,330.392242
0.110352,-262.792999,1279.434448,1,910.871399,481.800476
0.109375,-262.233643,1279.699951,1,900.326355,473.262787
0.106445,-261.716705,1279.942261,1,795.011475,154.11676
0.106445,-261.214355,1280.174805,1,795.011475,154.11676
0.109375,-260.72522,1280.398315,1,795.011475,154.11676
0.108398,-260.269623,1280.60376,1,795.011475,154.11676
0.108398,-259.842316,1280.794189,0,0,0
0.107422,-259.447845,1280.968018,1,769.514771,37.702168
0.109375,-259.067352,1281.134277,1,798.273987,291.987885
0.107422,-258.706421,1281.29126,1,865.309326,473.220612
0.108398,-258.353363,1281.445312,1,862.007263,473.444244
0.107422,-258.016266,1281.592651,1,870.443909,425.524292
0.109375,-257.686981,1281.736328,1,887.134094,438.902863
0.105469,-257.378296,1281.870728,1,1023.657532,516.002258
0.109375,-257.070648,1282.004517,1,986.838806,471.100189
0.107422,-256.771484,1282.134033,1,788.17804,291.58725
0.108398,-256.478333,1282.260864,1,836.671997,390.530121
0.109375,-256.190094,1282.385498,1,870.802368,484.334839
0.100586,-255.930771,1282.497681,1,866.418457,487.456543
0.101562,-255.674927,1282.608398,1,567.161377,438.150177
0.100586,-255.427505,1282.71521,1,440.118469,429.158844
0.103516,-255.176483,1282.823608,1,305.540833,431.851654
0.104492,-254.929977,1282.92981,1,253.34964,434.456421
0.105469,-254.685257,1283.0354,1,244.383087,413.784729
0.102539,-254.454147,1283.134644,1,211.952591,381.730835
0.100586,-254.232086,1283.230103,1,235.003448,385.800659
0.101562,-254.013702,1283.323975,1,247.508789,381.581879
0.105469,-253.790771,1283.419678,1,918.466003,399.402222
0.104492,-253.578079,1283.510986,1,1130.983154,385.161682
0.102539,-253.376663,1283.597168,1,1139.247925,417.415009
0.101562,-253.183212,1283.679321,1,1245.859863,579.202271
0.113281,-252.973801,1283.767944,1,1249.130615,579.713806
0.100586,-252.794769,1283.843262,1,1277.41626,593.264709
0.113281,-252.598022,1283.926147,1,1268.617188,589.782227
0.102539,-252.427002,1283.998535,1,1269.972412,579.252991
0.104492,-252.256958,1284.071045,1,1268.802612,584.479431
0.106445,-252.095016,1284.140503,1,1270.922485,587.271667
0.102539,-251.955261,1284.200928,1,976.629395,-157.909454
0.104492,-251.827164,1284.255981,1,976.629395,-157.909454
0.113281,-251.68924,1284.315308,1,976.629395,-157.909454
0.113281,-251.55072,1284.374756,1,818.805176,236.182587
0.101562,-251.424408,1284.428955,1,834.539856,349.256714
0.107422,-251.289932,1284.487427,1,887.125916,454.616241
0.106445,-251.149368,1284.549316,1,886.245544,442.477692
0.105469,-250.976624,1284.625977,1,889.517212,441.991699
0.104492,-250.762817,1284.720581,1,889.25,444.223846
0.103516,-250.508194,1284.831177,1,936.229431,495.112335
0.105469,-250.205505,1284.960815,1,938.856812,500.411255
0.107422,-249.853836,1285.110352,1,934.29541,501.073334
0.111328,-249.446289,1285.283569,1,938.798889,506.161346
0.106445,-249.009659,1285.46936,1,940.931396,509.275116
0.105469,-248.537903,1285.670898,1,940.923096,503.917114
0.105469,-248.021179,1285.893921,1,942.760559,503.879089
0.105469,-247.462234,1286.137085,1,943.334656,498.671112
0.109375,-246.84198,1286.407593,1,941.341675,502.019592
0.107422,-246.184799,1286.691406,1,886.395813,487.4534
0.108398,-245.476257,1286.99231,1,887.80658,488.540405
0.105469,-244.744415,1287.300659,1,947.100525,485.659119
0.105469,-243.96344,1287.628906,1,1000.899597,478.834503
0.109375,-243.116409,1287.98584,1,1007.830322,469.994904
0.111328,-242.207596,1288.367798,1,1014.748169,462.351746
0.109375,-241.264572,1288.761719,1,987.680054,436.402618
0.108398,-240.283691,1289.166382,1,851.107422,355.643951
0.107422,-239.256409,1289.582031,1,1058.706421,466.234955
0.108398,-238.180649,1290.007202,1,1059.244141,458.812714
0.102539,-237.112869,1290.416504,1,1067.713135,450.320984
0.103516,-235.978439,1290.83313,1,1066.346924,446.682312
0.104492,-234.801697,1291.237061,1,1072.023804,439.191223
0.107422,-233.537506,1291.62854,1,1072.911621,434.806488
0.102539,-232.279175,1291.963623,1,1073.893311,435.297668
0.102539,-230.983109,1292.243408,1,1058.885864,429.509705
0.114258,-229.492035,1292.477905,1,1086.32373,433.338196
