time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,198.952759,294.307648
0.103516,-464.552673,-1216.647827,1,1211.873657,165.95018
0.107422,-464.55368,-1216.647095,1,803.257935,375.553864
0.101562,-464.553864,-1216.646851,1,1295.224243,252.461227
0.103516,-464.553253,-1216.647339,1,1269.655396,211.596985
0.107422,-464.55249,-1216.647949,1,747.086365,262.20993
0.107422,-464.552277,-1216.648071,1,1293.077515,186.835663
0.105469,-464.552856,-1216.647583,1,1020.044861,192.338058
0.103516,-464.55368,-1216.646973,1,1043.942871,-154.743622
0.109375,-464.553955,-1216.646729,1,1043.942871,-154.743622
0.103516,-464.553467,-1216.647217,1,1043.942871,-154.743622
0.103516,-464.552765,-1216.647705,1,1043.942871,-154.743622
0.101562,-464.552429,-1216.648071,1,1497.207275,-3.729336
0.103516,-464.552643,-1216.647827,1,1574.292236,165.062607
0.103516,-464.553131,-1216.647339,1,1620.349976,209.169968
0.105469,-464.553406,-1216.647217,1,1649.54541,205.11142
0.103516,-464.553284,-1216.647217,1,1606.505371,182.59404
0.109375,-464.552948,-1216.647217,1,1638.470581,188.653412
0.107422,-464.552734,-1216.647217,1,1653.598999,234.962158
0.105469,-464.552765,-1216.647339,1,1680.419556,292.824463
0.109375,-464.552948,-1216.647217,1,1670.506714,307.861938
0.105469,-464.55307,-1216.647095,1,1646.795654,296.090973
0.109375,-464.55307,-1216.647217,1,1635.446533,290.059906
0.105469,-464.55307,-1216.647217,1,935.074402,121.989693
0.107422,-464.553101,-1216.647217,1,1658.615234,266.755371
0.107422,-464.55304,-1216.647217,1,1485.691406,255.175522
0.101562,-464.55304,-1216.647217,1,1691.106079,228.89006
0.107422,-464.55304,-1216.647217,1,1695.620728,235.962173
0.103516,-464.55307,-1216.647217,1,1687.6875,231.617508
0.107422,-464.55307,-1216.647217,1,1696.567139,235.097702
0.105469,-464.553101,-1216.647217,1,1691.796997,231.905258
0.105469,-464.553345,-1216.647095,1,1481.089111,240.017029
0.101562,-464.554138,-1216.646484,1,1456.183105,178.292831
0.107422,-464.556091,-1216.644775,1,363.780396,463.949463
0.107422,-464.559662,-1216.64209,1,236.06604,377.957428
