time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,0,0,0
0.101562,-464.552734,-1216.647827,0,0,0
0.105469,-464.55368,-1216.647095,0,0,0
0.101562,-464.553833,-1216.646851,0,0,0
0.101562,-464.553223,-1216.647339,1,955.737061,251.124847
0.105469,-464.552551,-1216.647949,1,903.769775,212.405624
0.109375,-464.552307,-1216.648071,1,971.424316,265.804688
0.105469,-464.552826,-1216.647583,1,967.808533,274.173828
0.105469,-464.55368,-1216.646973,1,963.538513,280.195374
0.105469,-464.553955,-1216.646729,1,1303.546143,98.123505
0.101562,-464.553497,-1216.647217,1,1299.420776,91.569435
0.105469,-464.552765,-1216.647705,1,1347.020264,45.156353
0.109375,-464.552399,-1216.648071,1,1347.918945,47.946415
0.101562,-464.552673,-1216.647827,1,1359.68335,140.33049
0.101562,-464.553131,-1216.647217,1,1370.832153,145.171448
0.105469,-464.553406,-1216.647217,1,1371.060791,147.196014
0.105469,-464.553253,-1216.647217,1,1331.874634,194.314087
0.105469,-464.552917,-1216.647095,1,1143.272827,304.96228
0.101562,-464.552734,-1216.647217,1,1143.817627,307.987854
0.101562,-464.552734,-1216.647339,1,1141.595947,297.596191
0.105469,-464.552917,-1216.647217,1,1365.703735,158.930069
0.105469,-464.55304,-1216.647217,1,1371.58374,158.889038
0.101562,-464.55307,-1216.647339,1,1375.242798,163.233398
0.105469,-464.55307,-1216.647217,1,1410.331787,131.099899
0.105469,-464.55307,-1216.647217,1,1434.76001,140.428146
0.105469,-464.55304,-1216.647339,1,1414.834229,133.747986
0.105469,-464.55304,-1216.647339,1,1427.687256,134.341263
0.101562,-464.55304,-1216.647217,1,1338.989014,60.772743
0.109375,-464.55307,-1216.647217,1,1338.989014,60.772743
0.101562,-464.55307,-1216.647217,1,1423.008423,133.783875
0.101562,-464.55304,-1216.647217,1,1418.264404,144.455368
0.101562,-464.55304,-1216.647217,1,1422.178833,131.864288
0.105469,-464.553253,-1216.647217,1,1422.898438,130.053085
0.101562,-464.553833,-1216.646729,1,1553.702148,133.205765
0.105469,-464.555298,-1216.645508,1,1433.481567,-72.710594
0.105469,-464.558228,-1216.643188,1,1301.677124,-75.946983
0.105469,-464.562988,-1216.639282,1,1301.677124,-75.946983
0.105469,-464.569489,-1216.634033,1,1301.677124,-75.946983
0.101562,-464.577393,-1216.627563,1,1301.677124,-75.946983
0.101562,-464.586792,-1216.619995,1,1301.677124,-75.946983
0.105469,-464.598206,-1216.610596,0,0,0
0.101562,-464.610748,-1216.600586,0,0,0
0.101562,-464.624512,-1216.589478,1,932.459717,-61.292965
0.101562,-464.639954,-1216.576904,1,916.226624,-66.167618
0.105469,-464.657288,-1216.562866,1,916.226624,-66.167618
0.101562,-464.675964,-1216.547729,1,1019.655212,127.107841
0.109375,-464.697266,-1216.530151,1,1014.945801,131.850769
0.101562,-464.71875,-1216.512817,1,1264.703735,73.662903
0.101562,-464.742188,-1216.493896,1,1312.417236,72.881355
0.101562,-464.766632,-1216.474121,1,1328.698975,90.570877
0.105469,-464.793091,-1216.452759,1,1315.740112,33.529472
0.105469,-464.82074,-1216.430298,1,1241.441528,118.110512
0.105469,-464.851196,-1216.405518,1,1055.2854,260.236084
0.101562,-464.880768,-1216.381714,1,1060.424316,259.345917
0.101562,-464.911865,-1216.356689,1,1062.569092,266.475922
0.109375,-464.94696,-1216.328491,1,1065.062744,264.15625
0.101562,-464.981689,-1216.300781,1,1063.611206,268.559479
0.105469,-465.019043,-1216.270996,1,1063.187256,266.387115
0.109375,-465.061859,-1216.236694,1,1069.338257,267.573273
0.105469,-465.106781,-1216.200806,1,1067.60437,268.482849
0.101562,-465.156342,-1216.160645,1,1067.512573,266.193176
0.101562,-465.22113,-1216.108032,1,1068.077515,254.238541
0.101562,-465.305298,-1216.039551,1,1065.868164,257.824219
0.105469,-465.422119,-1215.944458,1,1071.182007,261.759766
0.105469,-465.579102,-1215.816772,1,1065.370361,263.872375
0.101562,-465.757172,-1215.671875,1,1220.124146,283.582336
0.109375,-465.983826,-1215.487305,1,1226.234375,283.138428
0.105469,-466.243256,-1215.275635,1,1225.977783,286.230133
0.105469,-466.540009,-1215.032959,1,1215.897949,281.701721
0.109375,-466.878784,-1214.754761,1,1054.453857,285.771271
0.105469,-467.250031,-1214.447876,1,1059.363647,287.539551
0.101562,-467.626007,-1214.134521,1,1061.350708,283.802765
0.105469,-468.050232,-1213.776245,1,1058.905029,281.842621
0.101562,-468.477356,-1213.409546,1,1119.775879,284.255615
0.109375,-468.950745,-1212.994263,1,1117.326782,276.150635
0.101562,-469.352081,-1212.633301,1,1116.845825,261.22998
0.109375,-469.771942,-1212.245117,1,1116.692505,268.450653
0.105469,-470.185913,-1211.851196,1,1108.948486,263.256683
0.109375,-470.599762,-1211.446411,1,1101.911133,264.327484
0.101562,-470.976532,-1211.067505,1,1246.799927,284.378021
0.109375,-471.385223,-1210.644287,1,1232.586548,281.651855
0.105469,-471.769836,-1210.233032,1,1231.64856,290.251099
