time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,1,877.841309,546.059998
0.106689,-464.552795,-1216.647827,1,1672.843628,-134.851379
0.100098,-464.55368,-1216.647095,1,1711.148438,-175.667236
0.102295,-464.553833,-1216.646851,1,1249.819702,235.171432
0.10376,-464.553223,-1216.647339,1,1138.784546,411.768555
0.103027,-464.55249,-1216.647949,1,1132.646729,415.841522
0.10791,-464.552277,-1216.648071,1,915.742126,440.169403
0.101807,-464.552795,-1216.647583,1,914.524048,446.354828
0.101074,-464.553589,-1216.647095,1,1235.020874,373.279358
0.103271,-464.553986,-1216.646729,1,1236.296387,376.301971
0.10083,-464.553589,-1216.647095,1,1221.977295,377.191742
0.102783,-464.552826,-1216.647583,1,1043.842407,530.436218
0.101562,-464.552399,-1216.648071,1,1048.084839,528.341187
0.102539,-464.552612,-1216.648071,1,918.258118,525.57251
0.109619,-464.55304,-1216.647339,1,921.175598,523.561401
0.11084,-464.553375,-1216.647217,1,1148.610718,524.767944
0.104736,-464.553284,-1216.647217,1,1187.524414,477.732086
0.105469,-464.552979,-1216.647217,1,1286.381104,396.954895
0.105957,-464.552734,-1216.647217,1,1282.468262,390.998322
0.104248,-464.552704,-1216.647217,1,1278.271484,386.562622
0.107178,-464.552734,-1216.647217,1,1317.825195,368.985107
0.102539,-464.552734,-1216.647217,1,1355.613159,348.437164
0.104492,-464.552765,-1216.647217,1,1354.098511,356.107086
0.102051,-464.552765,-1216.647217,1,1276.757446,303.0383
0.103516,-464.552765,-1216.647217,1,1271.587402,308.879395
0.103027,-464.552734,-1216.647217,1,1268.846313,312.098328
0.103271,-464.552734,-1216.647217,1,1330.054443,389.022888
0.103516,-464.552765,-1216.647217,1,1326.069946,393.7612
0.104492,-464.552734,-1216.647217,1,1322.134399,378.341339
0.10498,-464.552765,-1216.647217,1,1037.936279,492.419434
0.104492,-464.552765,-1216.647217,1,1020.851196,501.420715
