time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,844.058716,377.020691
0.106689,-420.936279,-476.272552,1,828.297302,367.000336
0.104919,-420.934906,-476.273529,1,828.297302,367.000336
0.104553,-420.935089,-476.273376,1,705.09552,12.202925
0.104431,-420.936005,-476.272705,1,726.924316,42.275459
0.112549,-420.936554,-476.272369,1,756.862976,142.411133
0.105469,-420.936157,-476.272614,1,796.567566,251.076889
0.10968,-420.935364,-476.273163,1,1247.772949,149.691452
0.104492,-420.934845,-476.273529,1,1292.904297,122.70591
0.106079,-420.934998,-476.273468,1,1371.349854,82.81337
0.106812,-420.935516,-476.273132,1,1322.531494,97.467186
0.106934,-420.935913,-476.272797,1,1292.130127,86.724678
0.107727,-420.935944,-476.272766,1,1265.116089,79.226196
0.105286,-420.935608,-476.273041,1,1270.958984,76.484543
0.108948,-420.93515,-476.273346,1,1274.656494,82.239471
0.105286,-420.935028,-476.273468,1,1334.361572,190.85965
0.104797,-420.935181,-476.273376,1,1331.906494,190.888382
0.107727,-420.935455,-476.273163,1,1340.029175,222.994293
0.107605,-420.935577,-476.273132,1,1339.960815,222.691132
0.111084,-420.935394,-476.273224,1,1337.807739,219.26712
0.108765,-420.935272,-476.273438,1,1438.317383,219.678299
0.106995,-420.93515,-476.273438,1,1425.280273,219.611832
0.105774,-420.93512,-476.273468,1,1433.63501,225.043198
0.113281,-420.93512,-476.273468,1,1435.218018,226.736938
0.110291,-420.93515,-476.273438,1,1460.196045,224.434006
0.107483,-420.935181,-476.273438,1,1458.423706,224.986816
0.100586,-420.93515,-476.273438,1,1453.435913,218.027939
0.113281,-420.93515,-476.273468,1,1449.433228,216.372253
0.107117,-420.93515,-476.273407,1,1443.672852,212.688004
0.112488,-420.93512,-476.273438,1,1439.333862,210.314545
0.108643,-420.93515,-476.273438,1,1438.499268,206.621277
0.108948,-420.93515,-476.273438,1,1440.792603,203.095062
0.109314,-420.93512,-476.273438,1,1428.509521,202.974274
0.108093,-420.934937,-476.27359,1,1431.776001,196.347351
0.109924,-420.934326,-476.273987,1,1409.954468,190.528076
0.104553,-420.932983,-476.274872,1,1425.509155,195.482986
0.105408,-420.930389,-476.276642,1,1425.018799,188.979736
0.109131,-420.925842,-476.279816,1,1345.619019,157.423126
0.105469,-420.919434,-476.284241,1,1348.805786,156.522705
0.107849,-420.910828,-476.290192,1,1356.619385,81.764641
0.106262,-420.900482,-476.297363,1,1414.239136,90.976128
0.104675,-420.888489,-476.305664,1,1588.424805,-180.543976
0.107544,-420.874268,-476.315491,1,1040.783813,203.088181
0.105835,-420.85849,-476.326477,1,971.441772,386.122223
0.104309,-420.841156,-476.338531,1,970.181641,404.838348
0.109924,-420.820953,-476.352539,1,967.641113,390.586578
0.105225,-420.799927,-476.367188,1,980.069153,277.64209
0.107666,-420.776459,-476.383423,1,1009.106567,-79.573792
0.105652,-420.751709,-476.400543,1,1009.106567,-79.573792
0.105286,-420.725372,-476.418823,1,1009.106567,-79.573792
0.107178,-420.696808,-476.438599,1,1009.106567,-79.573792
0.105225,-420.667084,-476.459229,0,0,0
0.104614,-420.635956,-476.480835,0,0,0
0.109619,-420.601593,-476.5047,0,0,0
0.106995,-420.566345,-476.529175,0,0,0
0.109131,-420.528656,-476.555359,0,0,0
0.105042,-420.490875,-476.581604,1,1000.600403,271.41861
0.110352,-420.449432,-476.610413,1,972.441528,352.71759
0.108582,-420.407013,-476.639862,1,971.481934,326.581421
0.112854,-420.361176,-476.671722,1,971.570862,390.105865
0.103882,-420.317413,-476.702118,1,963.787781,367.79599
0.114075,-420.267609,-476.736725,1,933.899719,353.615326
0.11145,-420.21701,-476.771851,1,872.985107,345.300995
0.10907,-420.165344,-476.8078,1,875.79303,348.820129
0.112976,-420.109192,-476.846802,1,877.093079,344.992889
0.109619,-420.051758,-476.88678,1,880.470886,351.106598
0.109924,-419.990875,-476.929169,1,862.59375,204.894257
0.113281,-419.924377,-476.975494,1,863.96167,211.665314
0.112,-419.85437,-477.024292,1,817.37323,225.101715
0.110046,-419.781158,-477.07547,1,795.124878,225.334534
0.11322,-419.700958,-477.131805,1,794.812744,231.993759
0.114502,-419.614227,-477.19281,1,875.369141,331.152985
0.103821,-419.530426,-477.251923,1,880.868225,340.834106
0.113953,-419.432281,-477.321259,1,886.429688,335.869141
0.111755,-419.329254,-477.394257,1,879.487854,331.729401
0.109375,-419.221344,-477.470856,1,879.78186,331.366272
0.112366,-419.102753,-477.555267,1,881.519531,341.00592
0.113831,-418.974304,-477.646942,1,970.753113,339.60907
0.111816,-418.839752,-477.743256,1,1035.575195,344.604034
0.103027,-418.707642,-477.83786,1,1033.273071,336.677673
0.101379,-418.569519,-477.936981,1,988.251953,358.667419
0.117004,-418.398804,-478.059692,1,991.787354,358.065796
0.115723,-418.217194,-478.190552,1,993.277893,359.368744
0.116028,-418.021881,-478.331604,1,1103.720703,393.084717
0.102722,-417.837097,-478.465454,1,1185.757568,416.44577
0.116577,-417.613342,-478.62796,1,972.636108,365.020844
0.116211,-417.374054,-478.802368,1,905.228882,346.699371
0.107239,-417.137634,-478.975159,1,905.557495,347.846619
0.105286,-416.889984,-479.15686,1,1215.489624,446.065125
0.10321,-416.63092,-479.347504,1,1215.664307,447.006531
0.116882,-416.31778,-479.578857,1,1216.087769,441.909698
0.10083,-416.030701,-479.79187,1,1213.168091,439.959717
0.102722,-415.721924,-480.021973,1,1216.159058,429.937439
0.102234,-415.398743,-480.263794,1,1210.478516,420.269775
0.116638,-415.010651,-480.555664,1,910.913269,166.881073
0.11676,-414.601715,-480.865021,1,814.492676,249.343842
0.116394,-414.174683,-481.190186,1,800.169006,256.567963
0.100586,-413.790863,-481.484253,1,791.140686,260.588898
0.116638,-413.328369,-481.841125,1,789.41748,253.642807
0.116394,-412.849274,-482.213409,1,787.919006,254.989746
0.100464,-412.422211,-482.547638,1,876.861694,390.096344
0.116638,-411.911774,-482.950134,1,877.94104,392.155823
0.100037,-411.46344,-483.306305,1,875.4104,383.151611
0.101379,-411.000763,-483.676788,1,901.928284,347.789856
0.114746,-410.46579,-484.109009,1,926.136292,323.197693
0.102234,-409.97879,-484.506226,1,925.703857,320.798004
0.107178,-409.459045,-484.934235,1,926.594543,323.02182
0.104614,-408.943268,-485.363037,1,929.544556,326.529022
0.11084,-408.387268,-485.830048,1,971.507935,360.403717
0.110596,-407.823151,-486.308929,1,994.297974,379.712769
0.114563,-407.230225,-486.817627,1,991.09729,370.080719
0.114929,-406.626984,-487.341187,1,986.793152,364.866638
0.111267,-406.034393,-487.861542,1,983.603943,362.91156
0.102234,-405.483734,-488.350586,1,980.687073,360.717529
0.101135,-404.933472,-488.844727,1,853.34259,340.99408
0.104797,-404.357727,-489.367676,1,811.221008,334.099426
0.101013,-403.797852,-489.882233,1,809.50415,334.704102
0.116211,-403.147736,-490.487091,1,810.229675,334.017365
0.101929,-402.572906,-491.028778,1,801.095337,336.008179
0.104614,-401.978882,-491.595428,1,811.701843,278.755737
0.103699,-401.385986,-492.16806,1,857.06366,243.155334
0.100586,-400.807648,-492.733612,1,872.446716,343.631592
0.100464,-400.226898,-493.308533,1,860.658447,336.546722
0.101135,-399.639618,-493.897278,1,864.012939,331.090454
0.116699,-398.95871,-494.589081,1,847.254944,360.274109
0.116943,-398.27359,-495.295593,1,836.958435,357.991302
0.100525,-397.682465,-495.913818,1,972.674133,377.294739
0.103699,-397.070404,-496.562347,1,1015.818054,378.52829
0.11554,-396.386749,-497.29715,1,1027.561523,388.242462
0.102234,-395.780945,-497.957886,1,1034.669067,382.836395
0.116638,-395.088715,-498.723938,1,1045.453491,424.893555
0.115967,-394.399536,-499.498688,1,1044.736328,418.659729
0.116638,-393.706024,-500.290833,1,1044.825928,424.473358
0.100342,-393.109619,-500.982391,1,1041.291138,413.545471
0.101074,-392.508881,-501.688812,1,1037.471558,418.705017
0.115723,-391.821869,-502.509247,1,965.482849,378.756531
0.116699,-391.130371,-503.348877,1,890.955322,329.027161
0.115845,-390.445465,-504.194611,1,896.938232,330.585266
0.10083,-389.85083,-504.940491,1,889.872314,322.622101
0.117004,-389.16272,-505.817596,1,736.231384,301.644592
0.100342,-388.57309,-506.581329,1,725.253418,296.259277
0.100586,-387.969635,-507.373932,1,725.324097,295.391113
0.116394,-387.246887,-508.335968,1,721.51593,288.832153
