time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,1,890.030396,310.453979
0.101562,-315.392151,1173.163208,1,964.797119,331.035461
0.111328,-315.397461,1173.171143,1,1038.18396,341.926361
0.101562,-315.401947,1173.177734,1,1035.562622,327.576294
0.103516,-315.404083,1173.180542,1,1207.432373,232.278061
0.105469,-315.403229,1173.178711,1,1390.437622,142.374405
0.105469,-315.400574,1173.174072,1,1411.053711,77.540268
0.101562,-315.398468,1173.170776,1,1417.916382,77.594879
0.109375,-315.398102,1173.171265,1,1449.081543,45.816116
0.105469,-315.399384,1173.17395,1,1322.902954,85.756355
0.103516,-315.400787,1173.17688,1,944.125427,246.587296
0.101562,-315.401428,1173.177734,1,1129.374756,233.950089
0.101562,-315.401245,1173.177002,1,1140.134888,238.368835
0.109375,-315.400696,1173.175415,1,1140.134888,238.368835
0.109375,-315.400421,1173.174805,1,1140.134888,238.368835
0.101562,-315.400543,1173.175293,1,1140.134888,238.368835
0.101562,-315.400909,1173.176147,1,1140.134888,238.368835
0.109375,-315.401215,1173.177124,0,0,0
0.103516,-315.401276,1173.177124,0,0,0
0.107422,-315.401276,1173.177002,0,0,0
0.109375,-315.401245,1173.17688,0,0,0
0.103516,-315.401276,1173.17688,0,0,0
0.109375,-315.401489,1173.17688,0,0,0
0.101562,-315.401642,1173.17688,0,0,0
0.101562,-315.401825,1173.177002,0,0,0
0.109375,-315.401978,1173.17688,0,0,0
0.101562,-315.402008,1173.17688,0,0,0
0.101562,-315.402008,1173.17688,0,0,0
0.107422,-315.402069,1173.177002,0,0,0
0.101562,-315.402191,1173.17688,0,0,0
0.107422,-315.402344,1173.17688,0,0,0
0.101562,-315.402527,1173.17688,0,0,0
0.111328,-315.402679,1173.17688,0,0,0
0.101562,-315.402832,1173.17688,0,0,0
0.111328,-315.403015,1173.17688,0,0,0
0.107422,-315.403168,1173.17688,0,0,0
0.101562,-315.40332,1173.17688,0,0,0
0.101562,-315.403503,1173.17688,0,0,0
0.109375,-315.403656,1173.17688,1,1425.668945,57.951099
0.111328,-315.403839,1173.177002,1,1498.35791,109.507431
0.101562,-315.403992,1173.17688,1,1489.425293,137.765808
0.107422,-315.404144,1173.17688,1,1486.872925,231.227921
0.101562,-315.404297,1173.17688,1,1493.303711,216.000092
0.101562,-315.404449,1173.177002,1,1494.507935,213.892105
0.101562,-315.404602,1173.17688,1,1622.806396,359.553833
0.101562,-315.404755,1173.17688,1,1746.936157,508.334686
0.103516,-315.404907,1173.17688,1,1766.321533,516.078308
0.103516,-315.40509,1173.17688,1,1748.191772,522.26123
0.105469,-315.405243,1173.17688,1,1560.953979,543.33374
0.101562,-315.405396,1173.17688,1,1524.773193,530.47821
0.105469,-315.405548,1173.17688,1,1734.564453,247.355865
0.103516,-315.405701,1173.17688,1,1732.408813,208.105331
0.103516,-315.405884,1173.17688,1,1681.277222,210.185989
0.109375,-315.406067,1173.177002,1,1605.795044,198.08519
0.105469,-315.406219,1173.17688,1,1569.42749,211.068756
0.105469,-315.406372,1173.177002,1,1563.707275,213.799301
0.101562,-315.406647,1173.177734,1,1564.587524,194.830063
0.101562,-315.407349,1173.179077,1,1554.96106,193.28273
0.103516,-315.408661,1173.181885,1,982.974915,197.128647
0.101562,-315.410675,1173.185913,1,957.223755,198.439011
0.101562,-315.413696,1173.192261,1,959.548218,199.744125
0.109375,-315.418365,1173.201782,1,1046.596069,96.072136
0.103516,-315.424042,1173.213379,1,1004.361877,109.705528
0.101562,-315.430969,1173.227539,1,1047.668213,80.226974
0.101562,-315.438995,1173.243896,1,1382.473633,95.28083
0.101562,-315.448212,1173.262695,1,1389.226807,23.913044
0.101562,-315.458649,1173.284058,1,1407.161743,31.003885
0.101562,-315.470276,1173.307739,1,1444.865112,45.071304
0.109375,-315.484192,1173.336304,1,1464.630371,77.820564
0.103516,-315.49826,1173.364868,1,1401.704834,117.607323
0.105469,-315.513977,1173.396851,1,1087.817505,253.027695
0.101562,-315.530518,1173.430542,1,1082.567383,264.537354
0.101562,-315.547852,1173.46582,1,1070.520508,257.107117
0.103516,-315.566895,1173.504761,1,963.366638,243.595978
0.101562,-315.58667,1173.545044,1,920.485413,209.973099
0.109375,-315.609192,1173.591064,1,1000.630188,182.053635
0.101562,-315.631439,1173.636353,1,1477.479492,86.157166
0.107422,-315.656311,1173.687012,1,1459.1521,68.923546
0.109375,-315.682587,1173.740479,1,1482.189453,85.702774
0.109375,-315.710114,1173.796387,1,1205.678833,472.163177
0.103516,-315.73703,1173.851318,1,1199.344482,468.578735
0.101562,-315.765106,1173.908203,1,1200.949219,469.862427
0.109375,-315.796112,1173.971436,1,1000.707764,246.03688
0.101562,-315.826416,1174.033203,1,992.334473,241.200958
0.101562,-315.857269,1174.095947,1,922.34137,224.789322
0.101562,-315.889252,1174.161011,1,923.204712,225.309311
0.101562,-315.922333,1174.228149,1,913.712708,216.167999
0.107422,-315.958069,1174.300781,1,904.035095,208.476913
0.103516,-315.993835,1174.373291,1,905.088867,212.858017
0.103516,-316.030334,1174.446899,1,908.564148,210.967407
0.109375,-316.070496,1174.527954,1,919.610596,211.942871
0.103516,-316.109131,1174.605835,1,908.426331,217.795715
0.101562,-316.148651,1174.685547,1,913.588135,216.351303
0.101562,-316.18808,1174.765137,1,913.267395,214.196579
0.109375,-316.232544,1174.854858,1,910.422791,211.08403
0.101562,-316.274231,1174.939209,1,912.711731,208.597427
0.103516,-316.317139,1175.025879,1,917.63446,204.186813
0.109375,-316.364136,1175.120728,1,913.065613,207.224792
0.109375,-316.412567,1175.218628,1,911.54126,206.185196
0.101562,-316.457825,1175.309692,1,909.621521,208.362228
0.109375,-316.507141,1175.409058,1,923.011536,209.105835
0.101562,-316.554718,1175.504639,1,911.393066,203.835037
0.103516,-316.603516,1175.602905,1,911.560425,217.179779
0.109375,-316.656891,1175.710205,1,911.628113,215.75914
0.103516,-316.707214,1175.811401,1,970.409058,352.566986
0.111328,-316.763092,1175.923706,1,967.318237,361.936951
0.101562,-316.81488,1176.027832,1,1115.77124,382.840485
0.105469,-316.869568,1176.137695,1,1152.408203,391.193176
0.109375,-316.927185,1176.25354,1,1195.094971,412.520721
0.105469,-316.983704,1176.366943,1,1194.445557,408.61026
0.103516,-317.039032,1176.478027,1,1182.130249,406.730316
0.109375,-317.100342,1176.601196,1,901.468994,220.942337
0.101562,-317.158905,1176.718994,1,901.650696,225.304153
0.103516,-317.221649,1176.845215,1,898.762085,227.414383
0.107422,-317.292725,1176.988403,1,899.201294,219.712204
0.101562,-317.365479,1177.13501,1,903.607178,218.906418
0.109375,-317.453217,1177.311646,1,950.139404,267.090881
0.101562,-317.542969,1177.492188,1,1032.805664,336.644806
0.113281,-317.655151,1177.717407,1,1034.452393,336.5578
0.113281,-317.781281,1177.970459,1,969.334961,313.406738
0.115234,-317.923645,1178.256226,1,928.189636,305.004974
0.113281,-318.0849,1178.580933,1,907.547668,223.98111
0.113281,-318.266998,1178.948242,1,906.172424,219.326614
0.113281,-318.470032,1179.358276,1,912.718994,223.173798
0.103516,-318.675262,1179.772827,1,913.140259,219.336685
0.115234,-318.932892,1180.293457,1,1005.490051,303.629791
