time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,0,0,0
0.108734,-315.392731,1173.164185,0,0,0
0.103027,-315.398041,1173.172241,0,0,0
0.101746,-315.401672,1173.17688,1,1038.31311,241.350754
0.101715,-315.402496,1173.177002,1,1018.86554,251.351547
0.100769,-315.401459,1173.174438,1,1029.450317,268.407074
0.102417,-315.400116,1173.172729,1,998.675293,410.762329
0.101074,-315.399475,1173.172363,1,1033.880249,402.270538
0.100342,-315.399475,1173.17334,1,1350.959961,96.01194
0.106018,-315.399719,1173.174561,1,1503.48877,104.15596
0.100983,-315.399963,1173.174683,1,1360.48291,55.286034
0.100464,-315.400024,1173.174561,1,1352.031372,58.335659
0.10083,-315.400055,1173.174316,1,1297.187988,45.991062
0.100769,-315.400085,1173.174194,1,1300.181152,49.506294
0.101624,-315.400085,1173.174194,1,1311.706177,55.434242
0.10199,-315.400085,1173.174316,1,1413.972656,224.230789
0.102478,-315.400055,1173.174316,1,1453.409302,74.768211
0.104797,-315.399994,1173.174438,1,905.202393,280.345947
0.103363,-315.399994,1173.174316,1,1059.690186,523.531555
0.102173,-315.399994,1173.174316,1,1078.069824,595.082336
0.103027,-315.399994,1173.174316,1,1105.786011,527.668274
0.10022,-315.400177,1173.174316,1,1042.438721,540.908264
0.100372,-315.40033,1173.174316,1,1129.273071,489.304657
0.102448,-315.400452,1173.174316,1,1433.633545,294.33493
0.107147,-315.400452,1173.174316,1,1421.319336,287.75061
0.104034,-315.400452,1173.174316,1,1490.937622,276.514709
0.104706,-315.400421,1173.174316,1,1473.573853,272.335846
0.105713,-315.400421,1173.174316,1,1509.855591,264.117096
0.103577,-315.400421,1173.174316,1,1502.260864,256.35376
0.103485,-315.400421,1173.174316,1,1479.676147,240.555023
0.101288,-315.400421,1173.174316,1,1472.182129,237.18338
0.104431,-315.400421,1173.174316,1,1457.040771,226.338181
0.106049,-315.400421,1173.174316,1,1454.108276,223.580658
0.101135,-315.400421,1173.174316,1,1455.35376,221.653992
0.100861,-315.400421,1173.174316,1,1449.449585,219.479309
0.101349,-315.400513,1173.174683,1,1445.94104,216.362762
0.103027,-315.40094,1173.175293,1,1443.656128,217.025314
0.104889,-315.401947,1173.177612,1,1443.17041,209.414444
0.102509,-315.403839,1173.181396,1,1434.785889,77.339317
0.106201,-315.407135,1173.187866,1,1434.785889,77.339317
0.102051,-315.41156,1173.197021,1,1434.785889,77.339317
0.100555,-315.417175,1173.208496,1,1434.785889,77.339317
0.100555,-315.423981,1173.222412,1,1434.785889,77.339317
0.111847,-315.432953,1173.240601,0,0,0
0.101013,-315.442291,1173.259766,0,0,0
0.101379,-315.45285,1173.281128,0,0,0
0.100983,-315.464447,1173.30481,0,0,0
0.110992,-315.478546,1173.333618,0,0,0
0.100983,-315.492645,1173.362427,1,990.138245,36.050266
0.10965,-315.509094,1173.395996,1,999.543579,125.978775
0.100891,-315.525452,1173.429443,1,955.801025,118.672676
0.102966,-315.543304,1173.46582,1,1012.226501,261.663696
0.100433,-315.561829,1173.50354,1,1012.984741,342.161194
0.101624,-315.581696,1173.544189,1,1024.813843,364.772064
0.101959,-315.602783,1173.58728,1,1028.789307,374.685577
0.104523,-315.62558,1173.633789,1,1059.143066,316.43576
0.105011,-315.649658,1173.682983,1,1052.7146,338.517944
0.109344,-315.675934,1173.736572,1,1051.100464,328.708038
0.105347,-315.702515,1173.790771,1,1058.046509,330.093994
0.106323,-315.730743,1173.848267,1,1049.15564,329.858002
0.105103,-315.760315,1173.908691,1,1054.247681,330.786194
0.105408,-315.792358,1173.974731,1,1052.987305,326.996307
0.104431,-315.827728,1174.047363,1,1053.112183,330.767395
0.105164,-315.869934,1174.134033,1,1043.187134,317.302765
0.105194,-315.925323,1174.247925,1,1046.873901,327.236511
0.102814,-315.998047,1174.397461,1,1045.137695,328.303101
0.111328,-316.098389,1174.604248,1,1047.905396,327.150146
0.105438,-316.213684,1174.842407,1,1039.639893,311.127197
0.104065,-316.346893,1175.118408,1,1044.51709,311.852539
0.101349,-316.494995,1175.426392,1,1038.660278,308.051666
0.103027,-316.664215,1175.779053,1,1036.537109,299.885529
0.101868,-316.850098,1176.166992,1,888.557983,203.148117
0.105072,-317.061005,1176.608398,1,894.916016,206.264481
0.110352,-317.303345,1177.117065,1,955.072693,248.777359
0.106628,-317.557129,1177.652222,1,1078.951782,353.424744
0.104248,-317.823761,1178.216431,1,1073.473511,344.478455
0.10318,-318.103363,1178.811035,1,1067.373413,336.540955
0.106934,-318.40387,1179.453247,1,1074.04248,352.833466
0.103363,-318.70282,1180.095947,1,1073.476807,344.40213
0.106567,-319.021332,1180.784424,1,1069.363892,349.55246
0.10672,-319.345917,1181.492065,1,1067.545044,342.954102
0.106018,-319.66626,1182.196655,1,1071.272095,343.687012
0.10379,-319.976654,1182.887695,1,1082.429932,344.717285
0.105011,-320.289154,1183.593384,1,1090.070557,349.036804
0.10553,-320.599701,1184.305786,1,1083.881836,336.517548
0.104736,-320.902435,1185.013184,1,1105.334717,343.454193
0.104248,-321.200073,1185.721924,1,1095.055664,333.560303
0.101074,-321.484894,1186.414917,1,1107.542725,333.488068
0.100433,-321.761902,1187.106201,1,1091.155151,335.087158
0.101929,-322.035675,1187.809204,1,1091.948486,323.844696
0.102234,-322.303894,1188.517944,1,1089.332275,321.808075
0.1026,-322.56662,1189.234375,1,1086.485107,326.202454
0.107513,-322.834076,1189.988403,1,1091.079346,327.136688
0.103271,-323.083313,1190.715332,1,1082.725708,317.591125
0.102478,-323.323181,1191.440552,1,1081.516113,316.284271
0.104797,-323.560486,1192.187378,1,1089.590088,317.265228
0.102295,-323.782623,1192.919922,1,1099.859253,334.444
0.100708,-323.991364,1193.644531,1,1095.055786,331.684052
0.101807,-324.192108,1194.381592,1,1104.631348,325.879669
0.102814,-324.38382,1195.130249,1,1084.357178,327.206818
0.101898,-324.562012,1195.875977,1,1088.745483,314.469788
0.102783,-324.729645,1196.632812,1,1023.629272,275.756989
0.102631,-324.884888,1197.393555,1,939.622498,210.305771
0.100922,-325.024719,1198.148193,1,1028.164917,265.896759
0.102722,-325.153687,1198.921997,1,1115.382324,334.201935
0.104797,-325.27063,1199.716797,1,1102.061401,324.92218
0.100586,-325.368561,1200.484741,1,1098.852417,311.682159
0.100098,-325.451782,1201.253662,1,1108.659546,311.092529
0.111084,-325.52713,1202.111816,1,1112.998657,316.640686
0.113922,-325.585541,1202.997192,1,1121.952148,315.974091
0.112244,-325.624146,1203.873901,1,1086.255127,-295.159454
0.113892,-325.644012,1204.767822,1,1136.273438,262.244598
0.100159,-325.645416,1205.556396,1,1159.081421,346.355042
0.100098,-325.632446,1206.348267,1,1141.926025,321.730896
0.113403,-325.60083,1207.249268,1,1140.462158,332.29715
0.100006,-325.557983,1208.047363,1,1126.267334,330.671875
0.113556,-325.492401,1208.956299,1,1113.920044,330.853912
0.11377,-325.407745,1209.870483,1,1128.542236,339.206573
0.113007,-325.304321,1210.782471,1,1130.79126,340.443665
0.11319,-325.181213,1211.699097,1,1130.5802,340.268036
0.113586,-325.037628,1212.621826,1,1122.516846,342.805267
0.100525,-324.894745,1213.439331,1,1123.249512,335.55368
0.101715,-324.737,1214.267212,1,1131.307129,340.607513
0.111816,-324.549469,1215.178101,1,1122.482544,341.96463
0.112244,-324.347168,1216.093628,1,1123.033203,351.602203
0.111755,-324.131775,1217.005859,1,1132.285034,328.130096
0.102814,-323.921204,1217.844604,1,1113.233521,340.843201
0.103363,-323.696625,1218.687744,1,1117.456543,341.736145
0.113495,-323.434296,1219.61438,1,1129.449707,340.681274
0.111786,-323.158752,1220.528198,1,1126.776855,339.841888
0.113556,-322.861176,1221.456787,1,1126.206421,335.676483
0.10022,-322.583984,1222.275757,1,1124.952148,333.892426
0.10025,-322.292694,1223.095337,1,1125.166504,338.29953
0.113617,-321.945526,1224.025269,1,1110.366455,348.986725
0.113739,-321.581482,1224.954102,1,1126.112915,356.455261
0.112518,-321.206421,1225.87085,1,1122.343872,96.266296
0.108582,-320.832916,1226.754517,1,939.277954,495.159698
0.109589,-320.446381,1227.645508,1,1124.670898,325.534546
0.108521,-320.055878,1228.525757,1,1121.583374,320.685303
0.110901,-319.648956,1229.424438,1,1098.36145,314.834534
0.110046,-319.236298,1230.316284,1,1107.504028,315.437744
0.110718,-318.810791,1231.212891,1,1128.562866,289.54303
0.109131,-318.378174,1232.095215,1,1128.985107,284.157745
0.10498,-317.947052,1232.942871,1,1024.642822,365.36731
0.111969,-317.469452,1233.845947,1,1153.620728,294.381439
0.10968,-316.983948,1234.728271,1,1137.486694,289.04892
0.110687,-316.476532,1235.61438,1,1132.954346,291.065582
0.109192,-315.958405,1236.484253,1,992.747742,441.512238
0.110596,-315.415802,1237.361084,1,1127.919189,328.263885
0.109467,-314.862732,1238.223633,1,1117.328979,331.105286
0.107819,-314.303314,1239.067749,1,1108.128662,326.057373
0.113556,-313.698456,1239.951782,1,1102.279541,325.033173
0.107361,-313.112274,1240.782715,1,1120.050415,316.541168
0.107269,-312.513245,1241.607178,1,1102.864136,319.603149
0.10675,-311.903503,1242.421875,1,1097.166138,338.094299
0.108887,-311.263641,1243.251587,1,941.120789,453.606598
0.113556,-310.558899,1244.138306,1,947.861938,441.080444
0.105255,-309.865784,1244.986572,1,1085.09668,334.192078
0.105408,-309.133636,1245.860718,1,1080.34082,328.673828
0.107208,-308.349487,1246.774048,1,1074.125244,341.987946
0.105255,-307.548309,1247.68335,1,1109.579712,315.908539
0.105835,-306.733521,1248.583984,1,1066.737549,317.152435
0.108673,-305.880493,1249.50061,1,1084.322876,328.232788
0.113159,-304.970917,1250.449097,1,1078.739868,329.656036
0.11026,-304.069061,1251.36145,1,1092.361328,319.53714
0.113068,-303.121796,1252.290771,1,861.545654,175.236115
0.112213,-302.162781,1253.203491,1,888.424194,199.195709
0.112823,-301.185638,1254.105713,1,924.425476,234.482254
0.111755,-300.204407,1254.983887,1,852.453003,442.792114
0.113617,-299.193939,1255.860596,1,1008.813843,386.593231
0.112671,-298.184174,1256.710693,1,1028.8302,348.300171
0.113342,-297.165192,1257.543457,1,1008.840271,393.431305
0.100494,-296.260742,1258.263184,1,1012.346863,370.243256
0.100372,-295.356873,1258.966064,1,1017.073486,387.845245
0.111786,-294.351532,1259.731567,1,1060.981689,399.87027
0.111115,-293.353821,1260.475464,1,1065.634033,377.856079
0.110901,-292.36026,1261.202759,1,1064.198242,378.737213
0.108734,-291.389343,1261.901855,1,1054.878174,358.660004
0.108734,-290.422913,1262.588867,1,1062.291992,342.506073
0.109222,-289.45755,1263.268433,1,1053.225098,327.197235
0.107971,-288.509735,1263.930542,1,1074.872559,336.34491
0.10675,-287.578949,1264.577148,1,1053.490967,356.552155
0.108215,-286.641907,1265.224365,1,1081.921509,345.586487
0.107513,-285.716003,1265.859009,1,1084.781738,337.017456
0.107025,-284.796631,1266.483032,1,979.348267,-101.788284
0.110199,-283.851532,1267.116455,1,1076.490112,335.269562
0.110657,-282.904205,1267.741943,1,994.670532,450.802338
0.110199,-281.962311,1268.354492,1,1101.019531,358.875397
0.108215,-281.041931,1268.942993,1,1117.85083,389.184418
0.105682,-280.147461,1269.505493,1,1110.469727,381.404388
0.107117,-279.244354,1270.063965,1,1109.594604,381.71817
0.105682,-278.357697,1270.603271,1,1089.463989,388.873444
0.106934,-277.464264,1271.137451,1,1104.139404,385.199127
0.105743,-276.584747,1271.654297,1,1098.262817,372.173798
0.106079,-275.706696,1272.161865,1,1112.788208,350.285767
0.106995,-274.825256,1272.662598,1,1043.968994,367.229065
0.108398,-273.937012,1273.158569,1,994.996033,387.09375
0.10965,-273.043243,1273.649292,1,1015.817322,368.847809
0.10965,-272.154236,1274.129028,1,1031.591187,348.578766
0.108246,-271.281494,1274.591797,1,1048.455322,337.29184
0.10907,-270.407349,1275.047241,1,1049.906616,316.471558
0.11087,-269.523712,1275.499512,1,874.714233,446.434753
0.106628,-268.678986,1275.924194,1,953.033203,187.779968
0.112457,-267.794769,1276.36145,1,962.670837,177.518082
0.109955,-266.93811,1276.777466,1,933.635559,187.743958
0.108093,-266.105377,1277.176025,1,925.967468,182.934341
0.106476,-265.301392,1277.556274,1,904.566467,189.402344
0.108612,-264.521973,1277.920654,1,904.388489,177.269669
0.108063,-263.806183,1278.251343,1,921.616089,270.589203
0.107239,-263.152008,1278.550537,1,915.649963,278.000702
0.107056,-262.55304,1278.821655,1,915.907532,180.039902
0.105621,-262.018494,1279.061035,1,1019.235535,311.184662
0.106964,-261.515686,1279.28418,1,1023.543579,326.16806
0.108612,-261.0336,1279.496216,1,1016.973267,335.399689
0.109467,-260.587555,1279.691162,1,998.909241,354.263153
0.102692,-260.204987,1279.857056,1,1015.211914,327.822937
0.112213,-259.824249,1280.021362,1,1000.174377,380.705231
0.109344,-259.486053,1280.166382,1,1006.305176,361.426483
0.107635,-259.180084,1280.297119,1,877.37738,-35.534592
0.112305,-258.878204,1280.425537,1,991.357971,398.922424
0.108337,-258.592682,1280.546387,1,750.441101,544.081848
0.107056,-258.311676,1280.665161,1,821.007812,490.418335
0.11026,-258.021545,1280.787109,1,951.359436,365.909607
0.105042,-257.745178,1280.90271,1,1043.392578,285.328796
0.106049,-257.466797,1281.018555,1,1027.384888,283.603851
0.109161,-257.181549,1281.136963,1,1015.675293,301.904114
0.106384,-256.904907,1281.251221,1,997.990967,323.037689
0.107178,-256.627716,1281.365234,1,942.944397,-230.037384
0.10553,-256.35611,1281.476929,1,942.944397,-230.037384
0.104645,-256.088165,1281.586548,1,942.944397,-230.037384
0.103973,-255.823273,1281.694702,1,942.944397,-230.037384
0.104065,-255.559265,1281.802124,1,942.944397,-230.037384
0.101349,-255.303314,1281.905762,1,860.680664,261.16098
0.102112,-255.046417,1282.009644,1,858.087402,253.721115
0.102905,-254.78862,1282.113525,1,819.81311,161.245804
0.111603,-254.510147,1282.22522,1,819.81311,161.245804
0.107513,-254.242874,1282.332153,1,819.81311,161.245804
0.107239,-253.977371,1282.437988,1,819.81311,161.245804
0.107178,-253.712906,1282.542969,1,819.81311,161.245804
0.108643,-253.445831,1282.648804,1,965.834778,274.808197
0.106476,-253.184998,1282.751587,1,951.383423,236.289932
