time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094177,4.425294,1,930.474487,365.887085
0.100586,-318.106628,4.405159,1,1207.233154,-41.232918
0.102539,-318.105957,4.392812,1,1205.517456,-52.511715
0.101562,-318.107117,4.382545,1,1202.461914,-58.821899
0.100586,-318.109009,4.378151,1,890.207886,194.208328
0.101562,-318.110596,4.381198,1,886.360291,191.902756
0.100586,-318.111237,4.388744,1,819.244324,266.481323
0.100586,-318.111023,4.395148,1,818.653931,269.487366
0.100586,-318.110443,4.396229,1,838.36145,339.802948
0.111328,-318.109772,4.391925,1,871.27832,455.513519
0.109375,-318.109283,4.387093,1,870.223877,456.411102
0.109375,-318.1091,4.385689,1,1179.740112,181.934982
0.111328,-318.109222,4.387769,1,1191.988281,151.361267
0.100586,-318.109375,4.390216,1,1189.981934,153.427017
0.105469,-318.10968,4.391354,1,1190.883667,156.49411
0.111328,-318.109894,4.390724,1,1229.602051,205.123566
0.113281,-318.109924,4.38947,1,1264.244019,241.855881
0.105469,-318.109833,4.388819,1,1215.586914,136.183502
0.102539,-318.109772,4.388887,1,1210.642212,126.105148
0.101562,-318.109741,4.389309,1,1250.382202,132.71611
0.102539,-318.109711,4.389705,1,1135.378296,166.827194
0.112305,-318.109741,4.389875,1,996.868774,216.396912
0.102539,-318.109802,4.389801,1,994.371338,217.092728
0.107422,-318.109802,4.389617,1,989.908386,202.892792
0.102539,-318.109833,4.389473,1,989.260315,198.342621
0.100586,-318.109802,4.389432,1,1275.049438,245.381729
0.104492,-318.109802,4.389496,1,1274.425415,247.471863
0.101562,-318.109772,4.389603,1,1309.051025,244.281723
0.101562,-318.109772,4.389679,1,1306.496094,244.114685
0.112305,-318.109772,4.389686,1,1306.505615,239.656525
0.111328,-318.109772,4.389635,1,1306.312256,243.5513
0.100586,-318.109802,4.389591,1,1303.809326,246.962173
0.108398,-318.109802,4.389582,1,1298.464111,248.726379
0.111328,-318.109802,4.389612,1,1299.508423,247.273544
0.101562,-318.109802,4.389645,1,1296.553833,249.622101
0.100586,-318.109802,4.389544,1,1294.00061,239.843277
0.110352,-318.109772,4.388916,1,1197.716187,154.035721
0.102539,-318.109833,4.387312,1,1197.25415,145.885345
0.101562,-318.110016,4.384125,1,1168.604736,139.112793
0.102539,-318.110199,4.378789,1,1165.894653,144.900635
0.100586,-318.110535,4.371559,1,1164.767456,140.631287
0.111328,-318.110992,4.361195,1,1165.038208,133.889389
0.107422,-318.111542,4.348915,1,1211.250977,168.549454
0.111328,-318.112213,4.333926,1,1278.650635,215.197037
0.109375,-318.112946,4.316962,1,1247.732056,193.323242
0.103516,-318.113739,4.298931,1,1176.339966,142.144714
0.102539,-318.114655,4.278926,1,1181.577271,139.429718
0.107422,-318.115692,4.256169,1,1243.706421,145.784897
0.112305,-318.116852,4.230034,1,1238.529541,148.173019
0.110352,-318.118164,4.202042,1,1238.329712,148.249176
0.109375,-318.119476,4.172251,1,1182.953857,128.773834
0.107422,-318.120911,4.141167,1,1255.921387,113.323372
0.109375,-318.122437,4.107295,1,1249.300415,114.475876
0.109375,-318.124115,4.071313,1,1251.686157,116.693695
0.108398,-318.125763,4.033573,1,1249.371338,113.312424
0.110352,-318.127625,3.993326,1,1243.106812,111.13353
0.108398,-318.129486,3.951871,1,1245.233765,107.247452
0.110352,-318.1315,3.907485,1,1245.233765,107.247452
0.108398,-318.133514,3.862072,1,1245.233765,107.247452
0.108398,-318.135651,3.814846,1,1245.233765,107.247452
0.101562,-318.137665,3.768826,0,0,0
0.112305,-318.140045,3.716006,0,0,0
0.101562,-318.142242,3.666435,0,0,0
0.100586,-318.144562,3.615787,0,0,0
0.106445,-318.147003,3.56087,1,881.621216,411.102783
0.105469,-318.149567,3.504492,1,873.471497,408.549896
0.108398,-318.152222,3.444765,1,889.349731,473.192108
0.108398,-318.154968,3.383262,1,890.473145,477.488007
0.107422,-318.157745,3.321019,1,891.024109,472.614716
0.105469,-318.160614,3.257863,1,818.056152,320.95459
0.105469,-318.163483,3.193605,1,814.753174,290.063019
0.100586,-318.166382,3.130065,1,816.123535,287.052032
0.101562,-318.169281,3.064741,1,815.254211,287.289307
0.103516,-318.172394,2.996475,1,795.215027,352.595367
0.103516,-318.175659,2.923324,1,793.08783,346.42218
0.102539,-318.179199,2.84356,1,813.724182,272.979889
0.101562,-318.18335,2.748617,1,809.85675,275.159973
0.103516,-318.188385,2.628686,1,810.908997,272.352936
0.102539,-318.194336,2.481965,1,811.678711,269.471191
0.109375,-318.201813,2.286506,1,915.848145,451.010223
0.104492,-318.210083,2.063879,1,918.201172,457.166687
0.101562,-318.219055,1.809966,1,881.850769,453.178284
0.107422,-318.229279,1.508165,1,879.78949,452.041626
0.100586,-318.239594,1.188176,1,882.636108,449.632965
0.100586,-318.250305,0.831935,1,844.666138,422.978577
0.100586,-318.261139,0.444352,1,844.131409,422.113831
0.100586,-318.271881,0.02135,1,844.272583,427.1138
0.104492,-318.282501,-0.446631,1,848.424438,425.977722
0.103516,-318.292358,-0.950007,1,831.098572,432.372681
0.105469,-318.301331,-1.489641,1,831.947998,431.741211
0.103516,-318.308594,-2.051531,1,831.946899,431.257874
0.104492,-318.314026,-2.649707,1,800.212158,270.30777
0.105469,-318.31723,-3.271928,1,794.085632,266.773163
0.105469,-318.31839,-3.919066,1,793.790527,267.657196
0.105469,-318.317963,-4.590948,1,794.242004,269.794708
0.106445,-318.316406,-5.289232,1,797.97644,271.802551
0.105469,-318.313721,-6.009219,1,798.884949,261.571167
0.107422,-318.309937,-6.761806,1,395.165192,291.840546
0.102539,-318.305267,-7.505359,1,393.602509,292.651825
0.105469,-318.299194,-8.288046,1,395.198151,293.507233
0.103516,-318.291748,-9.086605,1,421.51236,296.385956
0.104492,-318.283051,-9.900887,1,448.763153,303.717407
0.103516,-318.272888,-10.737241,1,451.236206,295.807739
0.105469,-318.26123,-11.60106,1,448.202759,303.677734
0.106445,-318.248047,-12.495069,1,950.982544,363.326416
0.104492,-318.233704,-13.390269,1,1036.432007,293.268677
0.106445,-318.217621,-14.320371,1,1203.641724,167.176468
0.109375,-318.199432,-15.301469,1,1174.287109,169.690628
0.107422,-318.180359,-16.273533,1,1139.866577,174.543961
0.107422,-318.160065,-17.271418,1,1193.494507,167.107254
0.106445,-318.139648,-18.268343,1,1231.202393,168.451889
0.109375,-318.118683,-19.311457,1,1231.533081,174.991257
0.100586,-318.099884,-20.29668,1,930.962463,389.725159
0.108398,-318.080078,-21.398071,1,921.672241,397.892303
0.104492,-318.061615,-22.510057,1,883.737488,441.00415
0.107422,-318.043945,-23.70211,1,882.025818,437.099976
0.106445,-318.028564,-24.924297,1,879.257568,424.919769
0.101562,-318.017151,-26.139149,1,875.121521,431.437622
0.106445,-318.009918,-27.430365,1,873.107788,429.077026
0.103516,-318.00766,-28.704742,1,866.83551,429.7276
0.104492,-318.00943,-30.006746,1,864.454956,404.885803
0.102539,-318.013641,-31.299183,1,836.847229,373.684845
0.101562,-318.018707,-32.605465,1,807.624573,301.702118
0.105469,-318.023804,-33.975201,1,805.523743,289.556
0.100586,-318.027771,-35.305264,1,801.483765,278.935242
0.101562,-318.03064,-36.65789,1,799.031555,269.528534
0.101562,-318.032318,-38.032429,1,804.512451,274.08783
0.102539,-318.032684,-39.422314,1,803.257202,274.667389
0.102539,-318.032104,-40.837685,1,804.201965,270.362549
0.113281,-318.030823,-42.42194,1,808.469543,260.433899
0.110352,-318.029388,-43.994854,1,812.593323,256.075989
0.100586,-318.028168,-45.432655,1,813.509521,255.5298
0.109375,-318.026978,-47.009521,1,817.992126,249.546875
0.102539,-318.026001,-48.510178,1,816.726685,252.227325
0.107422,-318.025116,-50.097385,1,819.807068,258.269501
0.102539,-318.024261,-51.626244,1,819.673279,245.421158
0.111328,-318.023651,-53.29882,1,819.625549,243.155136
0.101562,-318.023712,-54.839653,1,815.999573,251.523865
0.109375,-318.024963,-56.507755,1,819.344055,247.265152
0.100586,-318.027496,-58.069672,1,817.4599,255.482605
0.110352,-318.031952,-59.789833,1,918.241516,436.43808
0.100586,-318.037506,-61.373009,1,917.697144,435.598816
