time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,895.917908,-12.693464
0.101562,-420.93631,-476.272552,1,814.492432,245.171494
0.111328,-420.935028,-476.273407,1,820.92218,247.801254
0.107422,-420.934937,-476.273468,1,824.897827,249.010513
0.109375,-420.935822,-476.272888,1,871.49231,165.259369
0.107422,-420.936615,-476.272308,1,863.445312,169.17186
0.105469,-420.936584,-476.272308,1,869.023682,172.376083
0.103516,-420.935791,-476.272888,1,1266.904785,56.695702
0.107422,-420.934875,-476.273529,1,1272.437256,50.853531
0.111328,-420.934753,-476.27359,1,1331.654541,41.875854
0.101562,-420.935333,-476.273193,1,1330.596191,36.70916
0.109375,-420.936096,-476.272675,1,1270.590454,16.381779
0.101562,-420.936249,-476.272583,1,1294.566284,-72.834152
0.107422,-420.935791,-476.272858,1,1294.566284,-72.834152
0.111328,-420.935272,-476.273254,1,1303.151611,49.576233
0.109375,-420.935089,-476.273407,1,1312.192871,95.508781
0.109375,-420.935303,-476.273224,1,1365.507324,114.531387
0.107422,-420.935547,-476.273071,1,1373.465332,120.589417
0.103516,-420.935638,-476.272949,1,1427.90918,146.253281
0.103516,-420.935486,-476.273132,1,1414.710571,150.060699
0.101562,-420.935333,-476.273254,1,1447.457764,150.25946
0.103516,-420.935242,-476.273346,1,1477.061035,152.119797
0.101562,-420.935211,-476.273346,1,1451.986328,144.931122
0.105469,-420.935242,-476.273315,1,1435.797852,151.943436
0.105469,-420.935242,-476.273285,1,1422.009644,141.015121
0.103516,-420.935272,-476.273315,1,1415.09082,138.804306
0.103516,-420.935242,-476.273315,1,1405.611816,139.845474
0.101562,-420.935242,-476.273315,1,1411.742432,140.034042
0.103516,-420.935242,-476.273315,1,1403.101074,134.343765
0.101562,-420.935242,-476.273285,1,1398.453857,130.755585
0.103516,-420.935242,-476.273315,1,1390.559814,129.269745
0.101562,-420.935242,-476.273285,1,1388.911011,130.138123
0.107422,-420.935242,-476.273315,1,919.110168,254.092041
0.103516,-420.935242,-476.273315,1,924.296631,246.677856
0.109375,-420.935242,-476.273285,1,922.467834,238.487427
0.109375,-420.935242,-476.273315,1,924.587524,233.477448
0.101562,-420.935242,-476.273315,1,1358.698486,87.694305
0.101562,-420.935242,-476.273315,1,1343.744019,106.703148
0.103516,-420.935242,-476.273315,1,1390.487061,88.215889
0.109375,-420.935242,-476.273346,1,1308.824219,24.884748
0.101562,-420.935242,-476.273315,1,1275.141479,-0.474769
0.101562,-420.935181,-476.273346,1,1086.539062,122.212616
0.101562,-420.93399,-476.27417,1,944.558594,231.81633
0.107422,-420.930786,-476.276428,1,943.745117,235.319382
0.111328,-420.925232,-476.280304,1,943.666687,237.731354
0.105469,-420.917877,-476.285461,1,942.275696,243.30278
0.101562,-420.909027,-476.291595,1,941.411621,246.809967
0.105469,-420.898193,-476.299072,1,977.335571,250.785675
0.107422,-420.88504,-476.308289,1,1022.350891,259.38858
0.103516,-420.87088,-476.318176,1,1021.278442,263.735809
0.101562,-420.855072,-476.329193,1,1022.847778,259.638306
0.109375,-420.836426,-476.342224,1,1020.336243,267.65744
0.109375,-420.815582,-476.356689,1,1020.070923,263.183105
0.109375,-420.792877,-476.372528,1,1010.504822,262.219299
0.101562,-420.770477,-476.388153,1,850.732361,289.751343
0.107422,-420.744568,-476.406281,1,708.282593,304.335236
0.109375,-420.716766,-476.42572,1,420.723572,304.254517
0.105469,-420.688263,-476.445618,1,431.348206,301.835846
0.107422,-420.657135,-476.467346,1,998.927124,274.191925
0.101562,-420.626373,-476.488739,1,991.641235,273.932434
0.109375,-420.591431,-476.513062,1,1000.90094,273.885315
0.107422,-420.555695,-476.538025,1,1003.792236,274.382996
0.101562,-420.52002,-476.562866,1,998.618103,279.728607
0.111328,-420.479187,-476.591309,1,999.67688,276.260925
0.111328,-420.436462,-476.621094,1,997.934387,284.122955
0.109375,-420.392914,-476.651428,1,1005.003296,281.961212
0.107422,-420.348419,-476.682434,1,1003.440247,282.58017
0.103516,-420.303528,-476.713806,1,1005.729736,280.949219
0.101562,-420.257599,-476.745941,1,1001.727234,281.761993
0.109375,-420.204651,-476.782898,1,1003.387756,286.869415
0.107422,-420.148132,-476.822388,1,1005.486206,287.958771
0.109375,-420.086609,-476.865356,1,1011.478455,287.01712
0.101562,-420.02301,-476.909729,1,1009.992126,284.35553
0.109375,-419.948914,-476.961487,1,1016.199585,283.461426
0.109375,-419.865387,-477.019836,1,1015.892029,286.931183
0.101562,-419.779724,-477.079681,1,1017.326111,287.143036
0.101562,-419.683319,-477.147186,1,1020.320068,288.43161
0.101562,-419.578125,-477.220795,1,1025.692993,289.652374
0.109375,-419.452484,-477.308807,1,1022.490967,286.289276
0.101562,-419.325439,-477.397919,1,1020.853943,280.441589
0.107422,-419.173096,-477.504761,1,1020.292725,276.651642
0.109375,-419.002441,-477.624573,1,1015.057129,274.466034
0.109375,-418.816345,-477.75531,1,1019.108826,275.183777
0.109375,-418.611053,-477.899811,1,1046.40918,295.396301
0.105469,-418.395599,-478.051575,1,1050.998657,294.452637
0.105469,-418.162079,-478.216156,1,1052.312622,294.816254
0.105469,-417.91037,-478.39386,1,1046.123291,295.456696
0.103516,-417.650757,-478.577545,1,1049.674927,296.79187
0.105469,-417.36676,-478.778809,1,974.403381,290.132233
0.109375,-417.052856,-479.001923,1,974.464478,288.544312
0.109375,-416.719757,-479.239288,1,973.866333,282.819794
0.111328,-416.369263,-479.48999,1,974.585693,283.588989
0.107422,-416.01413,-479.74472,1,976.881042,281.636963
0.109375,-415.633362,-480.019012,1,978.332581,285.555756
0.113281,-415.218933,-480.318848,1,982.085999,287.451263
0.109375,-414.816467,-480.611481,1,981.44574,289.750275
0.109375,-414.401123,-480.915192,1,978.722839,287.580688
0.107422,-413.987335,-481.219696,1,978.232056,284.750549
0.107422,-413.582764,-481.51947,1,978.906006,290.766785
0.103516,-413.188934,-481.813293,1,1062.969238,287.848938
0.111328,-412.759277,-482.136108,1,1068.840332,287.261841
0.107422,-412.352844,-482.443604,1,1070.808472,287.252502
0.109375,-411.941162,-482.757111,1,994.101807,281.997314
0.105469,-411.542511,-483.062897,1,994.415344,278.841858
0.105469,-411.137878,-483.376007,1,989.049744,278.447571
0.107422,-410.735535,-483.690521,1,989.844849,278.837341
0.103516,-410.342651,-484.000671,1,989.848999,282.665466
0.105469,-409.947144,-484.315918,1,1059.23291,298.798676
0.105469,-409.545349,-484.639252,1,1055.609253,300.120636
0.105469,-409.142151,-484.966553,1,1056.446167,308.809814
0.105469,-408.742126,-485.294006,1,1051.696655,303.615204
0.105469,-408.331299,-485.633392,1,1047.709351,304.055725
0.105469,-407.922455,-485.974182,1,1051.715576,301.683716
0.113281,-407.479126,-486.347534,1,1044.374268,304.758942
0.109375,-407.039124,-486.721924,1,996.25,306.151581
0.111328,-406.591492,-487.106812,1,968.197876,300.318298
0.107422,-406.155426,-487.485382,1,444.062347,318.529785
0.107422,-405.712585,-487.873474,1,457.563507,319.009766
0.105469,-405.27121,-488.263855,1,711.504822,307.107178
