time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094177,4.425294,1,2009.610718,-120.535347
0.103516,-318.10675,4.405651,1,2009.851196,-110.596313
0.105469,-318.105957,4.393107,1,2005.123901,-111.372223
0.103516,-318.107178,4.382408,1,755.725464,352.298035
0.101562,-318.109009,4.378149,1,907.509583,311.240967
0.103516,-318.110626,4.381447,1,1094.040161,279.059204
0.107422,-318.111237,4.389599,1,1104.705688,452.184906
0.105469,-318.110962,4.3957,1,1099.775391,430.665924
0.105469,-318.110291,4.395778,1,971.690125,424.701904
0.105469,-318.109711,4.391263,1,980.475525,432.591858
0.101562,-318.109283,4.386889,1,975.289307,429.462952
0.101562,-318.1091,4.385686,1,972.992676,425.750763
0.103516,-318.109192,4.387525,1,1203.763916,108.317078
0.109375,-318.109375,4.39021,1,1207.629272,113.052124
0.101562,-318.10968,4.391347,1,1173.764404,-191.743942
0.101562,-318.109863,4.39088,1,1173.764404,-191.743942
0.101562,-318.109924,4.389739,1,1173.764404,-191.743942
0.101562,-318.109863,4.388919,1,1418.94043,-27.588066
0.103516,-318.109802,4.388811,1,1401.13916,-7.143216
0.103516,-318.109741,4.389185,1,1384.328613,128.814423
0.103516,-318.109711,4.38962,1,1369.595947,131.20665
0.103516,-318.109741,4.389854,1,1017.360107,427.399536
0.105469,-318.109772,4.389841,1,1023.276428,447.916199
0.105469,-318.109802,4.389678,1,1018.704529,455.860718
0.105469,-318.109833,4.389508,1,1447.478149,218.980728
0.103516,-318.109833,4.389432,1,1449.418579,218.288895
0.105469,-318.109802,4.389472,1,1550.393311,184.471191
0.103516,-318.109802,4.389579,1,1564.941162,172.679672
0.101562,-318.109772,4.389668,1,1561.286743,176.257828
0.103516,-318.109772,4.389692,1,1567.768921,173.493164
0.103516,-318.109772,4.389657,1,1562.604492,166.10614
0.103516,-318.109802,4.389605,1,1562.226196,166.189133
0.103516,-318.109802,4.38958,1,1566.750244,166.161972
0.103516,-318.109802,4.389594,1,1568.213867,163.666641
0.101562,-318.109802,4.389632,1,1560.600342,163.097366
0.105469,-318.109802,4.389662,1,1520.826538,128.850372
0.101562,-318.109802,4.389519,1,1497.379395,106.103127
0.101562,-318.109772,4.388867,1,1401.623413,124.330086
0.101562,-318.109833,4.387213,1,911.334839,159.135086
0.101562,-318.110016,4.383879,1,930.353943,190.296219
0.103516,-318.11026,4.378448,1,933.02063,202.659836
0.109375,-318.110657,4.370358,1,948.598999,220.29184
0.101562,-318.111115,4.360696,1,946.259277,203.579727
0.109375,-318.111725,4.34791,1,936.901245,200.894104
0.103516,-318.112335,4.333985,1,946.016479,212.947006
0.103516,-318.113129,4.317914,1,950.985413,219.428223
0.103516,-318.113983,4.299847,1,919.991028,222.399033
0.105469,-318.11496,4.279696,1,927.804443,181.090225
0.103516,-318.115997,4.257625,1,920.283081,183.269318
0.103516,-318.117126,4.23369,1,918.962036,203.353851
0.105469,-318.118469,4.206478,1,915.887817,203.719986
0.103516,-318.119965,4.175354,1,915.872742,198.162598
0.101562,-318.121796,4.137165,1,912.644775,197.877518
0.107422,-318.124573,4.079684,1,918.523254,191.983688
0.107422,-318.128967,3.988805,1,914.718384,191.484024
0.103516,-318.135315,3.858488,1,965.657166,379.58374
0.103516,-318.144012,3.680761,1,915.49408,70.878777
0.103516,-318.154602,3.463052,1,931.885071,141.406036
0.103516,-318.167267,3.203065,1,930.265198,173.09285
0.103516,-318.182068,2.899513,1,945.374451,236.263809
0.101562,-318.1987,2.558367,1,975.170044,333.996582
0.101562,-318.217621,2.169695,1,974.739075,339.218201
0.103516,-318.238739,1.736558,1,983.072571,258.94455
0.103516,-318.262024,1.258248,1,949.784851,377.029114
0.105469,-318.287598,0.733559,1,949.945923,384.699585
0.105469,-318.315704,0.157273,1,947.409912,414.171478
0.101562,-318.344879,-0.441687,1,948.725769,410.952118
0.103516,-318.376648,-1.093043,1,946.023926,413.149414
0.101562,-318.410187,-1.781745,1,943.987976,412.751923
0.103516,-318.445099,-2.498585,1,941.843506,414.608582
0.101562,-318.480865,-3.232409,1,937.897583,413.253845
0.101562,-318.517517,-3.984747,1,964.347412,426.928772
0.101562,-318.555817,-4.771423,1,988.7052,440.723053
0.101562,-318.596191,-5.6,1,990.754883,443.027374
0.101562,-318.636658,-6.430784,1,1472.138428,40.717422
0.101562,-318.678986,-7.29948,1,1466.371582,31.118877
0.101562,-318.722076,-8.184046,1,1445.812988,131.879196
0.101562,-318.766693,-9.099028,1,-22.558178,1084.494873
0.101562,-318.812866,-10.047605,1,-22.558178,1084.494873
0.109375,-318.862579,-11.068367,1,-22.558178,1084.494873
0.109375,-318.914062,-12.125173,1,-92.854172,973.471741
0.103516,-318.96402,-13.150176,1,994.375549,28.834856
0.109375,-319.01944,-14.286597,1,1040.257812,343.586639
0.103516,-319.073883,-15.398487,1,1042.735352,350.06189
0.109375,-319.13385,-16.62047,1,1106.669189,315.664215
0.101562,-319.19223,-17.803326,1,1410.755981,43.955513
0.107422,-319.255646,-19.084957,1,1412.514526,40.591885
0.103516,-319.315674,-20.294769,1,984.072388,386.429932
0.109375,-319.381195,-21.61088,1,984.96759,379.066315
0.107422,-319.44574,-22.903732,1,964.897827,393.652374
0.101562,-319.506378,-24.116138,1,948.910339,402.001892
0.105469,-319.571686,-25.418713,1,947.746582,407.20285
0.109375,-319.63916,-26.761976,1,949.907837,411.861023
0.105469,-319.70575,-28.08349,1,999,442.875824
0.109375,-319.774475,-29.443373,1,1046.754639,368.341248
0.105469,-319.84259,-30.78668,1,937.225037,370.996002
0.109375,-319.913269,-32.176678,1,931.895447,381.826721
0.109375,-319.984558,-33.576748,1,973.845154,411.824951
0.101562,-320.051483,-34.88958,1,968.974792,417.184204
0.109375,-320.123749,-36.307312,1,974.60907,410.094727
0.105469,-320.194183,-37.690788,1,967.392456,412.526672
0.101562,-320.263153,-39.051346,1,971.467529,412.20929
0.109375,-320.336426,-40.505772,1,968.490051,411.611145
0.109375,-320.409821,-41.978668,1,966.378906,408.776794
0.107422,-320.479462,-43.393276,1,966.850769,413.542999
0.101562,-320.541351,-44.664146,1,959.99231,437.110199
0.107422,-320.604736,-45.98288,1,946.824951,275.58902
0.107422,-320.664459,-47.240551,1,952.324341,275.96225
0.109375,-320.720703,-48.437889,1,977.309753,401.935883
0.107422,-320.773132,-49.565216,1,980.222839,402.835693
0.105469,-320.821075,-50.605003,1,980.054749,403.445435
0.107422,-320.866089,-51.588379,1,977.849792,404.898346
0.107422,-320.907257,-52.496204,1,980.34668,404.59906
0.107422,-320.944611,-53.32711,1,980.845642,401.945923
0.107422,-320.97821,-54.079388,1,900.066528,173.298218
0.109375,-321.007416,-54.738632,1,915.749512,203.786484
0.109375,-321.033112,-55.322693,1,914.015625,202.318741
0.101562,-321.052979,-55.776016,1,916.908447,200.636841
0.105469,-321.070862,-56.186169,1,913.798523,200.12825
0.107422,-321.08548,-56.521954,1,916.398804,199.888748
0.105469,-321.096405,-56.773075,1,929.211609,255.825211
0.107422,-321.104126,-56.950485,1,967.442078,387.772247
0.103516,-321.108154,-57.044861,1,964.052795,387.449768
0.109375,-321.109009,-57.06498,1,964.77771,382.989319
0.105469,-321.108643,-57.056988,1,1175.976074,416.705597
0.101562,-321.108307,-57.047237,1,1183.904053,413.321259
0.101562,-321.108093,-57.042801,1,1182.35022,416.211639
0.105469,-321.108154,-57.044304,1,1388.447632,160.814011
0.101562,-321.108246,-57.048016,1,1445.13562,49.581642
0.105469,-321.108307,-57.05061,1,1442.63501,48.758087
0.101562,-321.108307,-57.050777,1,923.990784,341.714935
0.107422,-321.108276,-57.049507,1,891.554077,327.175049
0.109375,-321.108246,-57.048298,1,340.348724,292.951874
0.105469,-321.108246,-57.04808,1,205.005798,323.614716
0.101562,-321.108246,-57.048504,1,206.626343,359.022552
0.107422,-321.108246,-57.049004,1,192.120926,375.279022
0.109375,-321.108276,-57.049179,1,190.466476,375.17572
0.107422,-321.108246,-57.049046,1,970.875671,340.565491
0.105469,-321.108246,-57.049606,1,970.387817,363.512909
0.105469,-321.108398,-57.052353,1,971.831604,347.446045
0.105469,-321.108612,-57.057533,1,968.594055,358.562897
0.103516,-321.108948,-57.064922,1,965.505859,363.9888
0.105469,-321.109344,-57.074589,1,969.525146,380.152954
0.105469,-321.109833,-57.086197,1,927.345581,359.953827
0.107422,-321.110474,-57.100292,1,928.18457,363.535583
0.105469,-321.111145,-57.116425,1,928.295044,358.723785
0.107422,-321.111969,-57.134869,1,924.537415,401.56369
0.101562,-321.112823,-57.15464,1,924.947998,414.507416
0.107422,-321.1138,-57.17794,1,920.653992,412.980347
0.101562,-321.11496,-57.2043,1,922.404907,420.182648
0.105469,-321.116394,-57.237461,1,926.236084,425.112823
0.107422,-321.118286,-57.280746,1,932.902222,294.034882
0.107422,-321.120697,-57.336723,1,962.737671,337.936066
0.107422,-321.123962,-57.412254,1,965.279846,338.236084
0.107422,-321.128479,-57.518105,1,962.632507,332.351227
0.109375,-321.134674,-57.663586,1,963.449219,328.120087
0.107422,-321.142822,-57.853233,1,981.952515,371.031891
0.107422,-321.152924,-58.088688,1,979.922363,374.349976
0.105469,-321.164886,-58.369476,1,980.244629,371.695953
0.109375,-321.177216,-58.701466,1,766.548401,206.164413
0.101562,-321.187927,-59.057716,1,946.532227,216.503769
0.109375,-321.197815,-59.489033,1,944.496155,238.242142
0.101562,-321.205872,-59.927746,1,962.508057,348.937744
0.107422,-321.213684,-60.442871,1,969.533813,345.784698
0.101562,-321.221405,-60.966244,1,968.160889,353.808441
0.101562,-321.229492,-61.540363,1,944.901367,392.649933
0.109375,-321.238739,-62.205532,1,947.149231,395.249847
0.103516,-321.247375,-62.861023,1,949.277893,393.379822
0.103516,-321.255157,-63.530666,1,1064.079956,13.694256
0.101562,-321.262115,-64.2267,1,990.277405,296.638306
0.103516,-321.268311,-64.958382,1,981.712158,326.175903
0.101562,-321.273834,-65.718246,1,979.861328,321.562317
0.103516,-321.278534,-66.501099,1,978.534607,316.802612
0.101562,-321.282654,-67.292374,1,958.349426,407.319122
0.103516,-321.286499,-68.134613,1,948.761475,349.937103
0.103516,-321.289825,-69.00428,1,977.138428,343.118011
0.101562,-321.292419,-69.888321,1,982.306824,369.34845
0.105469,-321.294128,-70.803802,1,984.36792,371.655823
0.103516,-321.294769,-71.741287,1,980.912964,373.179749
0.101562,-321.294159,-72.700043,1,924.967407,237.229401
0.105469,-321.292267,-73.697899,1,925.562195,230.529175
0.103516,-321.289032,-74.698792,1,925.866577,203.011673
0.109375,-321.28418,-75.813187,1,925.436096,200.722733
0.109375,-321.277771,-76.966415,1,923.906799,197.266602
0.103516,-321.270203,-78.100548,1,926.258972,197.715729
0.103516,-321.260864,-79.288544,1,930.810425,197.275024
0.103516,-321.249634,-80.502357,1,927.408142,211.201691
0.101562,-321.236572,-81.729797,1,959.258301,384.655579
0.103516,-321.221222,-82.984009,1,958.332336,384.916718
0.101562,-321.204285,-84.208611,1,963.214844,392.412964
0.103516,-321.184753,-85.473511,1,781.366882,342.915222
0.103516,-321.163208,-86.735893,1,648.338135,339.855652
0.101562,-321.139496,-88.009102,1,941.250244,384.109955
0.103516,-321.113342,-89.306366,1,947.112244,382.31192
0.103516,-321.08548,-90.586304,1,945.189087,379.676788
0.107422,-321.054138,-91.928871,1,322.141174,240.508347
0.109375,-321.020447,-93.275131,1,309.367798,260.222504
0.105469,-320.986023,-94.563072,1,307.839447,261.995087
0.101562,-320.950623,-95.811317,1,373.776764,276.778351
0.103516,-320.913025,-97.068741,1,1023.296814,376.23703
0.101562,-320.874634,-98.287064,1,1031.542725,372.740631
0.101562,-320.83429,-99.509193,1,1035.429077,368.421448
0.107422,-320.789093,-100.814407,1,1169.063599,376.124268
0.103516,-320.744598,-102.045975,1,1110.359375,401.810211
0.103516,-320.697876,-103.284126,1,996.171448,354.319031
0.103516,-320.649963,-104.506348,1,992.609741,394.917297
0.103516,-320.601105,-105.729172,1,998.277527,398.304871
0.107422,-320.549377,-107.023422,1,1001.271729,397.406616
0.103516,-320.501587,-108.238739,1,1113.363892,399.082825
0.103516,-320.455017,-109.455093,1,1097.365723,363.195801
0.101562,-320.409851,-110.670937,1,1185.9375,327.405151
0.105469,-320.365845,-111.900993,1,1136.379883,378.522614
0.103516,-320.324432,-113.121254,1,964.310791,302.972076
0.103516,-320.286041,-114.332985,1,960.84021,301.432251
0.103516,-320.251923,-115.55735,1,960.863708,301.03775
0.103516,-320.224945,-116.766853,1,964.226562,300.943085
0.103516,-320.206512,-117.971268,1,1094.116455,417.477692
0.101562,-320.198242,-119.153687,1,1095.185791,412.165375
0.107422,-320.200592,-120.401649,1,1108.543579,358.278351
0.107422,-320.214752,-121.665115,1,1117.299438,356.545837
0.103516,-320.238953,-122.876167,1,1124.444214,384.392853
0.103516,-320.272827,-124.078491,1,1114.461304,381.939301
0.103516,-320.315613,-125.264618,1,1126.732422,422.861481
0.103516,-320.368408,-126.466789,1,1128.05188,425.817749
0.101562,-320.42923,-127.642059,1,1130.831665,297.790771
0.101562,-320.499786,-128.822525,1,1174.360229,322.792328
0.101562,-320.578888,-129.988892,1,1136.036499,393.244537
0.101562,-320.667847,-131.159378,1,1090.12915,359.586121
0.109375,-320.773621,-132.412613,1,925.663818,220.886078
0.109375,-320.89032,-133.666046,1,926.992615,221.203598
0.109375,-321.018585,-134.927048,1,1044.870972,403.659912
0.105469,-321.149658,-136.116455,1,1038.188232,414.21463
0.105469,-321.291687,-137.31514,1,1033.333008,412.546082
0.107422,-321.442902,-138.508041,1,1037.131592,362.063538
0.103516,-321.598755,-139.661545,1,1146.876099,326.3815
0.107422,-321.769806,-140.854324,1,1074.359375,415.470154
0.105469,-321.94519,-142.010208,1,1072.911865,418.084381
0.103516,-322.124176,-143.129929,1,1067.270386,425.189331
0.105469,-322.316376,-144.274872,1,947.177795,149.550537
0.105469,-322.515442,-145.406189,1,1073.954956,331.205597
0.105469,-322.724365,-146.542435,1,1081.612305,363.618744
0.105469,-322.940063,-147.670181,1,1075.199463,368.091553
0.105469,-323.164124,-148.80014,1,1043.223389,401.091705
0.103516,-323.385773,-149.885513,1,1035.565552,405.871246
0.103516,-323.619537,-151.003525,1,1030.488525,406.25119
0.107422,-323.864288,-152.153061,1,1064.390625,269.07901
0.103516,-324.105408,-153.26947,1,1047.3479,390.58075
0.101562,-324.342743,-154.357361,1,1048.316406,390.555756
