time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094177,4.425294,0,0,0
0.101135,-318.106659,4.405139,0,0,0
0.106842,-318.105988,4.392339,0,0,0
0.108063,-318.1073,4.381729,1,942.629761,180.410675
0.102844,-318.109253,4.378137,1,948.256104,257.601685
0.103271,-318.110748,4.38212,1,967.955017,271.0914
0.104401,-318.111237,4.390199,1,882.246399,399.176544
0.110413,-318.11084,4.396064,1,1076.981689,222.341721
0.100067,-318.110229,4.39554,1,1308.312378,-8.220649
0.114105,-318.109558,4.390405,1,1306.554565,2.807558
0.107239,-318.109192,4.386311,1,1354.594238,-51.214455
0.107239,-318.1091,4.38595,1,1335.215698,-19.359255
0.100372,-318.109222,4.388172,1,1318.093628,28.751806
0.106445,-318.109406,4.390606,1,1344.24292,80.105698
0.104889,-318.109711,4.391354,1,1360.742798,80.025345
0.105316,-318.109894,4.390567,1,1370.883667,77.748383
0.107208,-318.109863,4.389389,1,1361.974365,101.095421
0.105621,-318.109802,4.388803,1,1290.590942,186.844086
0.108337,-318.109741,4.388937,1,1296.231689,197.085403
0.101868,-318.109711,4.389377,1,1385.504517,176.041245
0.100952,-318.10968,4.389743,1,1469.28064,142.818817
0.104065,-318.109711,4.389878,1,1455.747314,138.799057
0.106506,-318.109772,4.389789,1,1446.584717,134.86734
0.102814,-318.109772,4.389612,1,1438.574341,123.710648
0.10321,-318.109802,4.389469,1,1434.04187,125.967773
0.101593,-318.109741,4.389435,1,1431.222168,122.108231
0.102295,-318.109772,4.389503,1,1425.753418,145.695404
0.103394,-318.109741,4.389611,1,1421.059937,141.381546
0.101959,-318.109741,4.389683,1,1423.079346,142.44519
0.100403,-318.109741,4.389689,1,1449.388306,132.611725
0.108582,-318.109741,4.389641,1,1453.113525,131.043091
0.101135,-318.109772,4.389595,1,1442.783691,129.800903
0.102325,-318.109772,4.389582,1,1448.417236,128.273773
0.101685,-318.109772,4.389605,1,1435.352783,120.985832
0.100983,-318.109772,4.389636,1,1406.430176,123.820114
0.101074,-318.109772,4.389543,1,1431.318481,122.078873
0.101257,-318.109741,4.389025,1,1389.86853,134.041031
0.103363,-318.109833,4.387573,1,934.882568,330.734589
0.105042,-318.109985,4.384466,1,918.954895,144.864655
0.10437,-318.11026,4.379243,1,918.954895,144.864655
0.100891,-318.110596,4.372096,1,918.954895,144.864655
0.100769,-318.111053,4.362945,1,918.954895,144.864655
0.102631,-318.111603,4.351618,1,918.954895,144.864655
0.103088,-318.112274,4.338253,0,0,0
0.10318,-318.113068,4.322897,0,0,0
0.106171,-318.113953,4.305033,0,0,0
0.104889,-318.114929,4.285338,0,0,0
0.103821,-318.116028,4.263848,1,969.059631,176.210663
0.102905,-318.117157,4.240624,1,966.252441,198.460144
0.104645,-318.118439,4.215063,1,894.685852,315.787781
0.109253,-318.119843,4.18632,1,890.279663,339.17804
0.100555,-318.121246,4.158007,1,894.362854,346.093506
0.106079,-318.122833,4.126237,1,889.385193,358.146851
0.100189,-318.124359,4.094453,1,890.306152,364.928162
0.103424,-318.126099,4.059847,1,889.551697,361.320831
0.103424,-318.127869,4.023446,1,858.439209,312.071167
0.103821,-318.129791,3.985102,1,822.101929,261.738098
0.108948,-318.131897,3.942937,1,828.566956,254.203308
0.106628,-318.134003,3.899732,1,825.512451,256.675171
0.107208,-318.136292,3.853952,1,824.026184,252.288895
0.105164,-318.138702,3.805802,1,819.799683,243.812653
0.11142,-318.141479,3.74962,1,816.278687,240.493469
0.10965,-318.144562,3.686544,1,810.668518,237.763947
0.108948,-318.148224,3.612077,1,810.063477,228.242722
0.107269,-318.15274,3.519846,1,812.107483,229.712967
0.107605,-318.158691,3.398046,1,820.915039,228.618042
0.104706,-318.166229,3.241579,1,837.464233,119.042259
0.10379,-318.175476,3.044586,1,836.995239,123.816422
0.108185,-318.187256,2.792721,1,835.188477,126.736
0.107971,-318.200958,2.494484,1,836.868774,123.041931
0.105377,-318.216278,2.157646,1,841.143372,127.254333
0.108093,-318.233917,1.76532,1,910.664917,349.715729
0.111115,-318.254028,1.312673,1,905.523682,355.972321
0.105164,-318.274811,0.837883,1,935.663513,383.527954
0.105835,-318.297394,0.3147,1,934.562134,375.048523
0.110992,-318.322723,-0.282663,1,934.272644,385.425262
0.107117,-318.348633,-0.906824,1,929.218872,394.494141
0.111176,-318.37677,-1.601477,1,933.339172,390.990021
0.101593,-318.403198,-2.26823,1,938.05896,397.4198
0.102661,-318.430206,-2.965292,1,935.273804,397.648712
0.101257,-318.45752,-3.678722,1,930.507263,407.332092
0.110504,-318.488342,-4.490162,1,941.265808,400.31366
0.100189,-318.516968,-5.250372,1,902.142456,375.391724
0.110565,-318.549042,-6.108281,1,901.262268,362.044312
0.104309,-318.579681,-6.937073,1,903.99469,358.840027
0.102875,-318.610352,-7.775339,1,909.79895,361.892853
0.109009,-318.643158,-8.685573,1,910.520935,365.4505
0.109131,-318.676117,-9.616185,1,911.638672,359.008148
0.1073,-318.708679,-10.550015,1,913.140564,347.657928
0.101135,-318.739502,-11.447272,1,908.076538,347.19104
0.109375,-318.772888,-12.434848,1,847.891907,295.926575
0.110596,-318.806702,-13.450852,1,853.035583,291.966095
0.101349,-318.837524,-14.398435,1,858.311951,294.000336
0.112274,-318.871613,-15.46509,1,802.824585,103.916618
0.100159,-318.901855,-16.431021,1,801.075623,104.649925
0.108917,-318.935242,-17.516005,1,824.249878,106.608269
0.100739,-318.96698,-18.563194,1,838.097656,105.984238
0.110657,-319.002747,-19.761606,1,1275.074951,1.354337
0.100647,-319.036072,-20.895321,1,1326.694702,-22.848612
0.110229,-319.073578,-22.183668,1,977.954468,202.828445
0.107178,-319.110535,-23.464539,1,848.20752,280.995758
0.109833,-319.148224,-24.783056,1,848.483276,274.632568
0.108429,-319.185944,-26.106058,1,851.03125,268.162628
0.108337,-319.224487,-27.446695,1,846.331482,283.227356
0.105133,-319.26355,-28.762712,1,842.183167,275.913879
0.11084,-319.307037,-30.172647,1,868.830627,286.918793
0.105316,-319.349792,-31.526747,1,901.417114,307.187927
0.106689,-319.39386,-32.903927,1,903.398682,314.056976
0.110901,-319.439362,-34.3265,1,907.124146,320.118195
0.100983,-319.480011,-35.609673,1,909.927246,303.35141
0.104156,-319.520844,-36.920979,1,914.490845,303.826996
0.107849,-319.561859,-38.26503,1,907.515381,297.205444
0.102692,-319.599823,-39.534565,1,905.730713,294.515289
0.10376,-319.637085,-40.806347,1,906.522034,301.978607
0.106201,-319.674194,-42.096741,1,905.901184,292.203796
0.104431,-319.709625,-43.354733,1,822.950867,174.772583
0.104218,-319.743958,-44.598846,1,825.172302,174.850876
0.105072,-319.777527,-45.841743,1,830.261963,171.904633
0.105621,-319.810242,-47.080196,1,828.706848,167.000992
0.108429,-319.842743,-48.340252,1,834.850891,243.560059
0.108429,-319.874146,-49.588886,1,835.467163,255.666229
0.106476,-319.904022,-50.804054,1,840.025146,252.378021
0.107788,-319.933319,-52.02317,1,840.667603,249.287827
0.105194,-319.960938,-53.200569,1,831.996643,251.047287
0.111206,-319.989075,-54.430729,1,831.423584,248.91333
0.106506,-320.014984,-55.592434,1,836.612366,249.330948
0.109558,-320.040527,-56.767437,1,836.28418,242.695709
0.108673,-320.064606,-57.906662,1,835.606628,237.382248
0.108765,-320.087036,-59.013245,1,865.66571,234.672943
0.104919,-320.107025,-60.042641,1,902.031738,242.160294
0.1073,-320.125732,-61.052017,1,896.146057,241.788467
0.108429,-320.142883,-62.026196,1,906.182983,248.181702
0.102234,-320.157532,-62.901096,1,906.125671,232.744827
0.111267,-320.171967,-63.801315,1,913.990234,208.246429
0.107452,-320.184021,-64.600052,1,915.28241,211.167389
0.104034,-320.194031,-65.301743,1,917.013733,206.298401
0.108673,-320.202911,-65.969467,1,928.596741,205.279968
0.104126,-320.210083,-66.554222,1,872.553955,280.074524
0.107391,-320.21637,-67.106186,1,874.11554,276.774475
0.104614,-320.22168,-67.610001,1,873.558228,280.393005
0.104156,-320.226318,-68.079308,1,872.719604,279.528595
0.106537,-320.230438,-68.520699,1,863.151917,273.142609
0.10495,-320.233978,-68.915955,1,869.70105,270.769836
0.105469,-320.236969,-69.273033,1,873.278625,269.722992
