time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-318.094788,4.424734,0,0,0
0.105957,-318.106506,4.403255,0,0,0
0.100586,-318.106018,4.390744,0,0,0
0.114258,-318.107452,4.380337,0,0,0
0.114258,-318.109497,4.378326,0,0,0
0.110352,-318.11087,4.384261,1,680.432556,174.790741
0.111328,-318.111115,4.392513,1,703.640198,118.49276
0.102539,-318.110657,4.396037,1,730.506287,198.650726
0.111328,-318.110016,4.393532,1,745.221741,244.120453
0.109863,-318.109467,4.388345,1,838.664917,172.274139
0.105469,-318.109131,4.385477,1,785.167297,88.964531
0.111328,-318.1091,4.386324,1,968.384888,153.121857
0.111816,-318.109283,4.389108,1,1290.949219,123.486725
0.110352,-318.109558,4.390883,1,1286.041504,131.491394
0.109863,-318.109802,4.390686,1,1293.069336,258.735901
0.115234,-318.109894,4.389429,1,1260.640015,247.170456
0.111816,-318.109833,4.388544,1,1240.454712,255.696335
0.111328,-318.109772,4.388499,1,1252.71167,262.94574
0.11084,-318.109711,4.388946,1,1259.592407,247.215515
0.111816,-318.10968,4.389381,1,1307.046875,254.084152
0.100098,-318.109711,4.389534,1,1298.818604,259.932892
0.11377,-318.109741,4.38945,1,1294.541748,263.012329
0.100098,-318.109772,4.389276,1,1293.869385,250.787109
0.11377,-318.109802,4.38912,1,1289.727173,236.013702
0.101074,-318.109772,4.389091,1,1281.495239,222.118042
0.100586,-318.109802,4.38916,1,1284.371094,211.450775
0.100586,-318.109741,4.389265,1,1273.301025,213.262222
0.104492,-318.109772,4.389338,1,1269.674561,197.40535
0.103027,-318.109772,4.389342,1,1277.975098,183.392532
0.103516,-318.109741,4.389296,1,1297.089111,198.860199
0.11377,-318.109772,4.389246,1,1303.400146,199.36557
0.100098,-318.109741,4.389235,1,1309.22522,190.001801
0.114746,-318.109772,4.389214,1,1311.641113,188.384354
0.101074,-318.109772,4.388984,1,1321.937378,137.148254
0.101562,-318.109772,4.38818,1,1335.153442,37.695374
0.102051,-318.109894,4.386262,1,1313.432983,61.054302
0.100098,-318.110016,4.382648,1,1244.867676,42.120186
0.101074,-318.110321,4.376974,1,1250.080688,19.174566
0.102539,-318.110748,4.369119,1,1243.657349,7.938015
0.101074,-318.111176,4.359369,1,1238.534424,24.456543
0.101562,-318.111786,4.347598,1,1292.906616,-19.862938
0.101562,-318.112457,4.333863,1,1168.820679,63.368942
0.103516,-318.11322,4.317979,1,851.206909,339.570465
