time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,0,0,0
0.109375,-420.936249,-476.272583,0,0,0
0.105469,-420.935089,-476.273376,0,0,0
0.105469,-420.934967,-476.273407,0,0,0
0.101562,-420.935669,-476.272888,0,0,0
0.101562,-420.936493,-476.272369,0,0,0
0.103516,-420.936584,-476.272247,0,0,0
0.107422,-420.935883,-476.272766,1,735.818115,425.354553
0.105469,-420.934967,-476.273438,1,838.508301,465.294159
0.105469,-420.934692,-476.27359,1,815.415466,347.494904
0.105469,-420.935242,-476.273285,1,939.336609,334.305756
0.107422,-420.936005,-476.272705,1,1175.172607,282.588989
0.103516,-420.936279,-476.272552,1,1175.502563,302.329254
0.103516,-420.935944,-476.272766,1,1149.556519,404.76825
0.105469,-420.935333,-476.273163,1,1162.637329,409.047302
0.107422,-420.935089,-476.273346,1,1212.394775,303.229553
0.107422,-420.935181,-476.273254,1,1218.987671,303.2099
0.109375,-420.935516,-476.273071,1,863.66571,640.506042
0.105469,-420.935638,-476.27298,1,873.879333,630.182922
0.109375,-420.935516,-476.273071,1,869.258301,628.914062
0.107422,-420.935333,-476.273224,1,1245.696045,465.530975
0.107422,-420.935242,-476.273285,1,1224.130493,465.966309
0.111328,-420.935211,-476.273315,1,1274.038574,446.223724
0.101562,-420.935242,-476.273285,1,1274.900757,445.749451
0.105469,-420.935242,-476.273285,1,1272.204712,423.271088
0.111328,-420.935272,-476.273285,1,1268.518311,423.300262
0.105469,-420.935272,-476.273285,1,1268.761353,418.633545
0.105469,-420.935242,-476.273285,1,1179.844727,323.180298
0.111328,-420.935242,-476.273285,1,1188.248413,321.250549
0.111328,-420.935211,-476.273285,1,1177.023071,306.568207
0.101562,-420.935028,-476.273438,1,1173.866943,322.648315
0.107422,-420.93454,-476.273743,1,1196.452881,350.994446
0.107422,-420.933258,-476.274597,1,1214.187622,388.275085
0.101562,-420.930939,-476.276154,1,1155.928833,315.496429
0.109375,-420.926575,-476.279144,1,1157.332642,311.11438
0.111328,-420.920044,-476.283661,1,1257.09668,440.086792
0.105469,-420.911835,-476.289337,1,1256.357666,430.978485
0.105469,-420.901703,-476.296356,1,1169.343872,330.748566
0.107422,-420.889587,-476.304749,1,1150.013672,291.848541
0.105469,-420.875671,-476.314362,1,1142.121094,327.917664
0.101562,-420.86087,-476.324585,1,716.653259,393.711517
0.111328,-420.842621,-476.337219,1,792.612976,515.909119
0.109375,-420.822632,-476.351044,1,792.354187,517.668457
0.109375,-420.800842,-476.366119,1,745.188293,447.901306
0.109375,-420.776886,-476.382629,1,725.769226,435.238953
0.101562,-420.753265,-476.398926,1,901.684082,565.269897
0.101562,-420.728058,-476.416351,1,917.459167,571.505188
0.101562,-420.70108,-476.434998,1,916.071655,563.745422
0.101562,-420.672363,-476.454773,1,1189.475708,345.932709
