time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-420.940002,-476.269989,1,1937.259521,944.755005
0.107422,-420.936401,-476.272491,1,1390.662354,59.184765
0.111328,-420.935089,-476.273376,1,1584.902344,205.522293
0.105469,-420.934967,-476.273438,1,1021.882263,366.422882
0.109375,-420.935669,-476.272858,1,1045.721802,301.40625
0.107422,-420.936523,-476.272308,1,1332.140869,175.418091
0.105469,-420.936584,-476.272339,1,1379.742676,111.952263
0.105469,-420.935791,-476.272858,1,1384.163696,116.48391
0.103516,-420.934937,-476.273499,1,1378.325562,94.536087
0.109375,-420.934753,-476.27356,1,1368.842041,95.342552
0.105469,-420.935303,-476.273193,1,1471.357788,34.621452
0.107422,-420.936066,-476.272705,1,1601.684937,2.51998
0.107422,-420.936249,-476.272583,1,1781.752441,174.333054
0.105469,-420.935822,-476.272827,1,1567.249878,276.919312
0.109375,-420.935272,-476.273224,1,1736.073975,361.24292
0.107422,-420.935059,-476.273376,1,1693.925049,347.606781
0.101562,-420.935242,-476.273224,1,1604.346069,378.221436
0.101562,-420.935516,-476.273071,1,1060.462036,589.721252
0.111328,-420.935638,-476.272949,1,1057.755981,554.542175
0.107422,-420.935516,-476.273071,1,1052.30957,530.880615
0.107422,-420.935333,-476.273254,1,1467.846313,357.867645
0.109375,-420.935242,-476.273285,1,1466.048828,351.017792
0.107422,-420.935211,-476.273315,1,1525.540527,305.137512
0.109375,-420.935242,-476.273285,1,1528.783081,302.06366
0.103516,-420.935242,-476.273285,1,1535.24585,311.014496
0.107422,-420.935181,-476.273346,1,1534.481445,306.171051
0.109375,-420.934845,-476.27356,1,1530.696777,298.128448
0.107422,-420.933899,-476.2742,1,1552.719971,199.007584
0.105469,-420.932037,-476.275452,1,1440.542969,73.384895
0.109375,-420.928436,-476.277924,1,1417.170776,146.189255
0.107422,-420.922852,-476.28183,1,1406.450684,184.831787
0.107422,-420.915161,-476.287079,1,1407.985352,187.165024
0.107422,-420.905701,-476.29364,1,1408.974609,71.55423
0.107422,-420.894135,-476.301666,1,1411.466309,91.09066
0.107422,-420.880768,-476.310852,1,1409.152832,165.206299
0.107422,-420.865417,-476.321442,1,1403.66748,200.160141
0.107422,-420.848236,-476.333313,1,969.140503,298.851746
0.103516,-420.830139,-476.345825,1,977.970459,291.549194
0.109375,-420.808716,-476.360626,1,904.3479,283.067566
0.101562,-420.787354,-476.375366,1,876.982239,278.953766
0.109375,-420.762756,-476.392395,1,878.971985,278.297607
0.105469,-420.736908,-476.410309,1,873.044067,280.197266
0.105469,-420.709442,-476.42926,1,875.026428,285.083618
0.109375,-420.67923,-476.450195,1,959.722839,266.603363
0.105469,-420.648804,-476.471283,1,1002.724915,255.781631
0.105469,-420.616119,-476.493958,1,1005.289307,258.244965
0.101562,-420.583466,-476.516541,1,1005.141541,261.382721
0.107422,-420.54715,-476.541748,1,1023.790283,294.207825
0.109375,-420.508606,-476.56842,1,1048.965576,372.865051
0.101562,-420.471344,-476.594147,1,1049.221802,376.265961
0.107422,-420.429779,-476.622986,1,1048.657837,373.017578
0.111328,-420.385071,-476.653961,1,1053.653564,372.339844
0.101562,-420.341034,-476.684509,1,1053.552734,374.605713
0.103516,-420.293762,-476.717285,1,1054.566162,380.363281
0.109375,-420.234863,-476.758148,1,1056.278687,381.20874
0.107422,-420.163422,-476.807678,1,1054.07959,376.646606
0.111328,-420.068542,-476.873627,1,1053.891479,373.41098
0.101562,-419.960297,-476.948853,1,1022.406677,309.727539
0.101562,-419.829529,-477.039673,1,1023.95105,310.907837
0.109375,-419.664032,-477.154694,1,1009.35022,302.917755
0.107422,-419.471222,-477.289032,1,897.36792,301.051727
0.107422,-419.256561,-477.438782,1,897.714905,302.430145
0.111328,-419.008667,-477.61203,1,1039.378418,410.5914
0.107422,-418.741241,-477.799316,1,1034.545532,405.575165
0.105469,-418.45285,-478.001404,1,1037.545654,400.19043
0.109375,-418.136475,-478.223389,1,1039.267578,403.922729
0.105469,-417.802155,-478.458099,1,1038.927856,401.180084
0.107422,-417.43811,-478.713959,1,922.507324,412.029541
0.109375,-417.051636,-478.986542,1,923.727112,413.421539
0.101562,-416.683746,-479.247467,1,925.229797,406.888062
0.107422,-416.279785,-479.536011,1,912.596313,332.096375
0.107422,-415.869324,-479.831787,1,911.204102,327.552277
0.105469,-415.458771,-480.129944,1,1128.614136,400.240875
0.107422,-415.047974,-480.430481,1,1160.264404,423.064331
0.109375,-414.627502,-480.740143,1,1161.472412,428.755676
0.107422,-414.209412,-481.049866,1,1158.853027,415.517639
0.113281,-413.772614,-481.375458,1,1051.811646,380.904144
0.111328,-413.341766,-481.69873,1,1049.336548,375.658783
0.107422,-412.922089,-482.016144,1,1158.897827,476.946655
0.109375,-412.498474,-482.339966,1,1154.144897,464.273956
0.107422,-412.083344,-482.661743,1,1072.935913,454.149231
0.105469,-411.674225,-482.983582,1,1050.428101,453.829529
0.105469,-411.267548,-483.308167,1,1041.82019,435.776123
0.109375,-410.845459,-483.649902,1,864.896667,277.147919
0.111328,-410.415833,-484.002411,1,864.771545,276.349854
0.109375,-409.999786,-484.347778,1,1049.417969,420.646484
0.107422,-409.577759,-484.701965,1,1049.085815,419.449677
0.109375,-409.151886,-485.063171,1,1045.087769,416.665588
0.107422,-408.726532,-485.426819,1,1042.598511,417.346863
0.107422,-408.296326,-485.7966,1,1042.489624,414.83786
0.105469,-407.868225,-486.166534,1,638.332642,432.28714
0.105469,-407.434906,-486.543182,1,439.66983,468.972961
0.109375,-406.982391,-486.939911,1,326.266052,484.530914
0.105469,-406.536407,-487.334686,1,335.495789,491.118622
0.107422,-406.085938,-487.73764,1,721.902771,473.946838
0.105469,-405.632294,-488.147949,1,1008.100098,435.013153
0.111328,-405.160309,-488.579224,1,1007.423218,439.692566
0.107422,-404.694153,-489.008514,1,1008.061279,436.806274
0.111328,-404.20282,-489.463409,1,1011.778137,435.334259
0.111328,-403.712189,-489.919556,1,1013.823303,427.443146
0.111328,-403.215393,-490.384094,1,1015.621948,428.463593
0.113281,-402.706085,-490.863647,1,1013.365112,422.509308
0.111328,-402.198578,-491.345612,1,1009.728943,421.107422
0.107422,-401.705841,-491.818359,1,1139.172241,459.273438
0.109375,-401.202942,-492.30603,1,1182.863037,480.658539
0.105469,-400.716583,-492.78302,1,1182.111328,476.234375
0.103516,-400.226135,-493.269104,1,1115.679688,465.812927
0.109375,-399.716705,-493.779572,1,1114.971558,463.117767
0.105469,-399.216949,-494.285614,1,1114.413208,475.66095
0.111328,-398.698364,-494.816254,1,1113.130981,475.192963
0.105469,-398.192078,-495.339813,1,755.076294,455.610138
0.107422,-397.682465,-495.872467,1,758.055542,455.129791
0.105469,-397.17392,-496.409637,1,760.379639,455.247406
0.113281,-396.629944,-496.990662,1,1057.714355,318.478119
0.107422,-396.112,-497.550262,1,1061.336304,439.455109
0.111328,-395.578461,-498.133057,1,1060.518677,426.095551
0.105469,-395.05954,-498.705536,1,882.346741,301.167389
0.109375,-394.527924,-499.297516,1,886.36908,306.064758
0.105469,-394.012482,-499.876678,1,908.126709,259.859283
0.105469,-393.48822,-500.470917,1,1052.17627,346.951721
