time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,0,0,0
0.105438,-315.392609,1173.16394,0,0,0
0.103027,-315.397675,1173.171387,0,0,0
0.108612,-315.402283,1173.178223,0,0,0
0.102478,-315.404144,1173.180542,1,848.765625,332.795898
0.103485,-315.403107,1173.178467,1,850.976746,329.553101
0.101624,-315.400513,1173.17395,1,1219.519165,181.912262
0.101227,-315.398468,1173.170776,1,1267.181641,121.578659
0.101685,-315.398102,1173.170898,1,1329.106689,74.437241
0.101532,-315.399261,1173.173462,1,1307.529907,73.644272
0.101715,-315.400726,1173.176514,1,1299.138062,76.95697
0.100464,-315.401428,1173.177612,1,1302.234131,74.315315
0.101624,-315.401306,1173.176758,1,1350.43042,205.083618
0.101227,-315.400787,1173.175415,1,1351.129883,201.721619
0.10495,-315.400452,1173.174683,1,1345.601929,196.854385
0.101166,-315.400543,1173.174927,1,1093.793213,402.08783
0.102325,-315.400848,1173.175537,1,990.968262,469.457886
0.10376,-315.401154,1173.176514,1,989.947632,470.289764
0.103485,-315.401306,1173.17688,1,995.433472,469.40921
0.103455,-315.401306,1173.17688,1,1008.597473,399.683685
0.106934,-315.401276,1173.176636,1,1011.897888,402.388031
0.105347,-315.401276,1173.176636,1,1013.702087,393.789612
0.104248,-315.401428,1173.176636,1,1016.968933,385.965942
0.103638,-315.401611,1173.176636,1,1016.121948,391.980408
0.103943,-315.401794,1173.176636,1,1014.794495,386.018799
0.105835,-315.401947,1173.176636,1,1365.067993,232.19751
0.103333,-315.402039,1173.176636,1,1364.540894,238.041519
0.103821,-315.402039,1173.176636,1,992.820251,224.029236
0.104919,-315.402039,1173.176636,1,974.602905,213.531509
0.103943,-315.402191,1173.176636,1,1401.241943,203.8573
0.10144,-315.402344,1173.176636,1,1397.913208,211.159714
0.102844,-315.402496,1173.176636,1,1395.247437,205.133057
0.102356,-315.402649,1173.176514,1,1398.799683,207.800369
0.102417,-315.402832,1173.176636,1,1402.442139,197.062042
0.100159,-315.403046,1173.177246,1,1396.196777,208.205627
0.110291,-315.403809,1173.178833,1,1396.047729,212.157135
0.102539,-315.405029,1173.181519,1,1165.242065,206.364975
0.103027,-315.407043,1173.185547,1,875.565552,246.116486
0.100342,-315.410004,1173.191772,1,871.251404,-5.845375
0.10199,-315.414246,1173.200195,1,871.251404,-5.845375
0.100708,-315.419617,1173.211182,1,871.251404,-5.845375
0.102539,-315.426422,1173.224976,1,871.251404,-5.845375
0.109375,-315.434967,1173.242432,1,871.251404,-5.845375
0.100769,-315.444061,1173.260986,0,0,0
