time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.550323,-1216.649658,1,1101.42334,523.282898
0.120605,-464.553253,-1216.647583,1,1855.629272,601.922729
0.109863,-464.554169,-1216.646729,1,1855.629272,601.922729
0.106445,-464.553802,-1216.646851,1,1855.629272,601.922729
0.104736,-464.552948,-1216.647583,1,1855.629272,601.922729
0.104248,-464.552277,-1216.648071,0,0,0
0.109131,-464.552429,-1216.647949,0,0,0
0.104736,-464.553284,-1216.647217,0,0,0
0.104492,-464.553986,-1216.646729,0,0,0
0.107178,-464.553955,-1216.646606,0,0,0
0.105713,-464.553284,-1216.647339,1,1088.91626,434.175262
0.104736,-464.552612,-1216.647827,1,993.943176,462.079926
0.107666,-464.552551,-1216.647949,1,1010.442383,462.87674
0.107178,-464.552948,-1216.647583,1,1081.935425,397.538391
0.108154,-464.553406,-1216.646851,1,1407.884644,246.99501
0.104004,-464.553528,-1216.646973,1,1415.494873,287.697998
0.106445,-464.553253,-1216.646973,1,1418.216919,305.352509
0.105225,-464.552948,-1216.646973,1,1441.819824,298.346802
0.106689,-464.552826,-1216.646973,1,1472.496582,295.142822
0.105957,-464.552979,-1216.647095,1,1456.0448,313.994965
0.105469,-464.553162,-1216.646973,1,1455.008423,308.658752
0.104736,-464.553223,-1216.646973,1,1448.321289,342.961792
0.106934,-464.553223,-1216.646973,1,1417.118408,201.985397
0.106934,-464.553223,-1216.646973,1,1541.074585,169.492996
0.106201,-464.553162,-1216.646973,1,1437.420044,225.172943
0.104248,-464.553162,-1216.646973,1,1486.312134,276.175812
0.107178,-464.553162,-1216.646973,1,1581.545166,387.160889
0.105957,-464.553162,-1216.646973,1,1504.006104,352.157867
0.105225,-464.553192,-1216.646851,1,1547.32666,316.008301
0.104248,-464.553192,-1216.646973,1,1517.436035,298.692474
0.106689,-464.553162,-1216.646973,1,1504.17749,291.439758
0.105957,-464.553192,-1216.647095,1,1485.442017,284.434875
0.105469,-464.553162,-1216.646973,1,1478.338867,283.77298
0.105225,-464.553162,-1216.646973,1,1469.650879,285.057312
0.10791,-464.553223,-1216.646973,1,1473.61377,283.157654
0.105957,-464.553192,-1216.646973,1,1469.130005,284.421539
0.104492,-464.553192,-1216.646973,1,1467.508789,286.255859
0.105957,-464.553192,-1216.646973,1,1470.137329,290.926239
0.106201,-464.553192,-1216.646973,1,1464.047241,292.848572
0.104736,-464.553162,-1216.646973,1,1458.849121,295.901123
0.107178,-464.553253,-1216.646973,1,1454.872803,291.315399
0.10498,-464.553619,-1216.646606,1,1448.764648,292.849457
0.106934,-464.554657,-1216.645874,1,1245.160278,333.731598
0.104248,-464.556885,-1216.644043,1,951.143677,350.29361
0.10498,-464.560822,-1216.640869,1,989.680725,244.978271
0.106445,-464.566528,-1216.63623,1,977.262024,165.053436
0.106445,-464.574066,-1216.630127,1,977.262024,165.053436
0.105957,-464.583252,-1216.622681,1,977.262024,165.053436
0.10498,-464.593994,-1216.613892,1,977.262024,165.053436
0.10376,-464.60614,-1216.604126,0,0,0
0.106934,-464.620331,-1216.592529,1,1015.251404,102.075714
0.112305,-464.636993,-1216.578979,1,1196.151123,215.876846
0.115967,-464.656158,-1216.563354,1,1366.101318,170.207016
0.104004,-464.674988,-1216.548218,1,1390.724243,163.098373
0.108398,-464.696167,-1216.530884,1,1408.713501,161.524841
0.104492,-464.718109,-1216.513184,1,1392.592041,176.051056
0.10498,-464.74176,-1216.493774,1,1452.833008,174.812393
0.105225,-464.766907,-1216.473389,1,1461.92041,180.882248
0.105957,-464.793732,-1216.451538,1,1276.801025,506.56601
0.106445,-464.822205,-1216.428467,1,1257.922363,515.405762
0.105957,-464.85199,-1216.404297,1,1216.991699,525.243286
0.104492,-464.882965,-1216.37915,1,1047.09668,494.538605
0.106201,-464.91571,-1216.352539,1,1060.522339,455.601624
0.105957,-464.949921,-1216.324707,1,1046.806763,472.119415
0.104736,-464.985077,-1216.296143,1,1057.142456,488.466492
0.104492,-465.02179,-1216.266235,1,990.452515,416.092102
0.10791,-465.061768,-1216.233398,1,989.059387,411.313324
0.105957,-465.103516,-1216.199463,1,990.805176,408.47467
0.106201,-465.148102,-1216.16272,1,977.164062,396.949524
0.10498,-465.195404,-1216.123901,1,977.106201,393.130829
0.105713,-465.246765,-1216.081055,1,976.984497,381.308167
0.106934,-465.302979,-1216.034424,1,973.305115,381.130157
0.107178,-465.364319,-1215.983521,1,978.354736,370.303986
0.105957,-465.432129,-1215.927002,1,977.953491,366.582184
0.108398,-465.513123,-1215.859619,1,1138.351074,468.895172
0.106445,-465.610596,-1215.778076,1,1142.374878,470.299805
0.109131,-465.736176,-1215.673096,1,1141.953979,467.774261
0.105957,-465.888397,-1215.545532,1,1244.77417,462.206635
