time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.55014,-1216.649902,1,591.330872,-3.544239
0.100098,-464.552979,-1216.647827,1,853.480835,246.096802
0.105164,-464.554016,-1216.646851,1,857.092651,203.133286
0.106262,-464.554016,-1216.646729,1,876.665283,226.290924
0.104126,-464.553223,-1216.647461,1,879.653992,244.874557
0.106873,-464.552399,-1216.647949,1,1010.046631,249.752197
0.100159,-464.552307,-1216.648071,1,1166.94519,265.945343
0.10553,-464.553009,-1216.647339,1,1142.897949,247.755157
0.10675,-464.553833,-1216.646851,1,947.638733,78.604568
0.10376,-464.554108,-1216.646606,1,951.299561,63.297974
0.102234,-464.553619,-1216.647217,1,1267.088379,34.600349
0.104675,-464.552856,-1216.647583,1,1267.010864,38.172501
0.106873,-464.552612,-1216.647949,1,1262.46582,38.765907
0.100464,-464.552856,-1216.647827,1,1232.194092,2.608955
0.10614,-464.553345,-1216.647095,1,1298.981567,-6.660156
0.105774,-464.553619,-1216.646973,1,874.810242,95.758606
0.103516,-464.553467,-1216.646973,1,944.948608,91.812065
0.107483,-464.553131,-1216.646851,1,1360.261108,26.362074
0.101257,-464.552948,-1216.646973,1,1373.991943,34.858147
0.101501,-464.552979,-1216.647095,1,1398.637207,130.889801
0.100708,-464.553162,-1216.646973,1,1387.955444,115.863068
0.104431,-464.553253,-1216.646973,1,1400.307007,125.911896
0.102539,-464.553284,-1216.646973,1,1415.109619,120.409584
0.101624,-464.553284,-1216.646973,1,1431.752319,119.180138
0.101868,-464.553253,-1216.646973,1,1435.324219,114.214882
0.107483,-464.553253,-1216.646973,1,1431.85498,106.715286
0.10498,-464.553223,-1216.646973,1,1425.635376,108.063522
0.100342,-464.553223,-1216.646973,1,1363.934814,94.809013
0.107605,-464.553253,-1216.646973,1,1356.260498,96.425568
0.105225,-464.553528,-1216.646851,1,1347.869263,96.629974
0.10553,-464.554169,-1216.64624,1,835.007751,86.232407
0.101624,-464.555664,-1216.644897,1,862.227478,62.076454
0.102722,-464.558716,-1216.6427,1,1041.010376,5.206617
0.107971,-464.563599,-1216.63855,1,1183.348511,-49.163589
0.102783,-464.569977,-1216.633179,1,1230.21167,-33.582348
0.100403,-464.577698,-1216.626831,1,1194.531128,41.803833
0.10022,-464.586853,-1216.619141,1,1194.531128,41.803833
0.106934,-464.598297,-1216.609619,1,1194.531128,41.803833
0.106812,-464.611328,-1216.598633,1,1194.531128,41.803833
0.100708,-464.625183,-1216.587036,1,1194.531128,41.803833
0.101318,-464.640503,-1216.574341,0,0,0
0.101135,-464.657288,-1216.560303,0,0,0
0.108032,-464.676758,-1216.543945,0,0,0
0.105896,-464.697479,-1216.526611,0,0,0
0.107239,-464.71991,-1216.507812,0,0,0
0.100403,-464.74231,-1216.48877,1,982.221313,147.634155
