time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.550964,-1216.64917,1,585.64801,569.078125
0.102295,-464.553131,-1216.647705,0,0,0
0.100769,-464.554077,-1216.646729,0,0,0
0.100281,-464.554016,-1216.646729,0,0,0
0.109558,-464.553192,-1216.647461,0,0,0
0.103577,-464.552368,-1216.647949,0,0,0
0.1026,-464.552277,-1216.648071,0,0,0
0.108398,-464.55307,-1216.647339,1,1494.715088,-41.14843
0.111511,-464.553925,-1216.646851,1,1477.924805,-8.574003
0.112,-464.554077,-1216.646606,1,1473.05835,-5.171889
0.100403,-464.553467,-1216.647217,1,1485.218262,68.581757
0.100525,-464.552795,-1216.647705,1,1311.695801,116.342468
0.10968,-464.552551,-1216.647949,1,1450.548218,-121.477493
0.111328,-464.552917,-1216.647705,1,1450.548218,-121.477493
0.100769,-464.553406,-1216.646973,1,1450.548218,-121.477493
0.100891,-464.553558,-1216.646851,1,1450.548218,-121.477493
0.101318,-464.553375,-1216.646973,0,0,0
0.108215,-464.55304,-1216.646973,1,1333.234375,219.690125
0.101257,-464.552887,-1216.646973,1,1320.307495,217.60318
0.101624,-464.552948,-1216.647095,1,1010.574951,419.981018
0.103516,-464.553101,-1216.646973,1,1004.512695,414.775513
0.10376,-464.553192,-1216.646973,1,1004.001404,420.013
0.102417,-464.553192,-1216.646973,1,1006.327759,418.352051
0.104797,-464.553192,-1216.646973,1,941.160278,378.157928
0.1026,-464.553192,-1216.646973,1,816.624939,300.719391
0.108643,-464.553192,-1216.646973,1,814.416016,294.333557
0.105408,-464.553162,-1216.646851,1,815.62616,296.00708
0.100159,-464.553192,-1216.646973,1,819.343201,289.210175
0.100769,-464.553223,-1216.646973,1,821.819519,285.162537
0.109985,-464.553223,-1216.646973,1,814.985291,287.82785
0.100159,-464.553223,-1216.646973,1,985.304565,423.427826
0.100647,-464.553192,-1216.646973,1,992.49231,432.353607
0.109802,-464.553192,-1216.646973,1,987.52124,394.012909
0.100708,-464.553192,-1216.646973,1,988.388672,50.832253
0.110107,-464.553162,-1216.646973,1,988.388672,50.832253
0.108826,-464.553192,-1216.646851,1,988.388672,50.832253
0.103394,-464.553223,-1216.646973,1,988.388672,50.832253
0.102417,-464.553223,-1216.646973,0,0,0
0.103088,-464.553223,-1216.646973,1,891.138977,236.744507
0.100586,-464.553192,-1216.646973,1,921.305176,396.888062
0.10968,-464.553192,-1216.646973,1,926.854065,404.775574
0.100403,-464.553192,-1216.646973,1,926.222839,404.103088
0.100342,-464.553223,-1216.646973,1,936.820312,397.871582
0.110474,-464.553223,-1216.646973,1,935.218506,398.027252
0.101929,-464.553223,-1216.646973,1,1360.574219,101.740608
0.104614,-464.553192,-1216.646851,1,1348.76062,94.208824
0.107239,-464.553223,-1216.646973,1,1353.58252,106.875259
0.102905,-464.553223,-1216.646973,1,1355.282959,113.858978
0.10022,-464.553223,-1216.646973,1,1163.483765,231.616425
0.107666,-464.553223,-1216.646973,1,938.395569,379.405914
0.10791,-464.553192,-1216.646973,1,937.272644,379.883179
0.100281,-464.553223,-1216.646973,1,935.653442,372.915802
0.108887,-464.553253,-1216.646973,1,927.452515,380.633514
0.100403,-464.553223,-1216.646973,1,921.96106,385.388214
0.112061,-464.553192,-1216.646973,1,877.699524,-217.069641
0.110718,-464.553253,-1216.647095,1,877.699524,-217.069641
0.108582,-464.553223,-1216.646973,1,877.699524,-217.069641
0.100647,-464.553223,-1216.646973,1,877.699524,-217.069641
0.111206,-464.553223,-1216.646973,1,877.699524,-217.069641
0.110901,-464.553223,-1216.646973,0,0,0
0.103333,-464.553223,-1216.646973,0,0,0
0.102661,-464.553223,-1216.646973,0,0,0
0.101135,-464.553223,-1216.646973,1,849.354492,276.175537
0.103699,-464.553253,-1216.646973,1,828.60022,350.93042
0.105591,-464.553223,-1216.646973,1,842.255066,338.258667
0.101868,-464.553223,-1216.646973,1,844.185669,332.126312
0.109985,-464.553192,-1216.646973,1,848.988586,338.613342
0.101562,-464.553223,-1216.646973,1,846.74707,322.842072
0.108459,-464.553253,-1216.646973,1,893.188721,111.286736
0.102783,-464.553223,-1216.646973,1,893.188721,111.286736
0.102966,-464.553223,-1216.646973,1,893.188721,111.286736
0.101929,-464.553223,-1216.646973,1,893.188721,111.286736
0.100769,-464.553223,-1216.646973,1,893.188721,111.286736
0.100464,-464.553223,-1216.647095,1,1172.515869,208.530365
0.106262,-464.553192,-1216.646851,1,1143.277344,220.575012
0.104309,-464.553223,-1216.646973,1,1141.478394,212.981537
0.103455,-464.553223,-1216.646973,1,1139.440674,216.629105
0.100586,-464.553223,-1216.646973,1,1130.217041,214.341125
0.104431,-464.553223,-1216.646973,1,1125.82019,209.705582
0.104065,-464.553223,-1216.646973,1,1127.327026,214.231979
0.100342,-464.553253,-1216.646973,1,993.515198,255.730499
0.110046,-464.553223,-1216.646973,1,993.427063,252.020477
0.110168,-464.553192,-1216.646973,1,996.590271,257.027008
0.101501,-464.553192,-1216.646973,1,983.653198,246.676666
0.101746,-464.553192,-1216.646973,1,988.971252,244.470795
0.101807,-464.553192,-1216.646973,1,1487.38562,117.348206
0.100769,-464.553223,-1216.646973,1,1483.938965,106.090691
0.103638,-464.553253,-1216.646973,1,1495.917969,106.028107
0.106995,-464.553223,-1216.646851,1,1481.642334,114.787552
0.105164,-464.553253,-1216.646973,1,1490.605347,41.869221
0.108337,-464.553223,-1216.646973,1,1496.519531,42.061104
