time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-315.390015,1173.160034,1,823.949768,-246.781815
0.101562,-315.392365,1173.163574,0,0,0
0.101562,-315.397217,1173.170898,0,0,0
0.105469,-315.401947,1173.177612,1,918.949219,217.997147
0.105469,-315.404144,1173.180542,1,925.953186,211.932175
0.105469,-315.403259,1173.178711,1,950.962158,400.479553
0.113281,-315.40036,1173.173706,1,952.923645,386.919556
0.101562,-315.398315,1173.170776,1,948.973816,375.676117
0.105469,-315.398132,1173.171143,1,953.8396,370.476501
0.107422,-315.399475,1173.17395,1,959.594849,374.91983
0.103516,-315.40094,1173.17688,1,994.910034,361.113251
0.105469,-315.40152,1173.17749,1,1451.62085,219.774185
0.103516,-315.401245,1173.176514,1,1440.827271,219.276062
0.103516,-315.400726,1173.175049,1,1524.294678,184.698105
0.107422,-315.400482,1173.174561,1,1520.142944,180.950653
0.103516,-315.400635,1173.175049,1,1543.41687,278.174316
0.105469,-315.401001,1173.175903,1,1559.94165,337.836243
0.101562,-315.401276,1173.176758,1,1603.653564,342.67041
0.103516,-315.401337,1173.17688,1,1635.276489,343.443146
0.103516,-315.401337,1173.176758,1,1625.717163,341.879272
0.105469,-315.401306,1173.176636,1,1618.861816,341.309753
0.103516,-315.401367,1173.176636,1,1615.148315,339.93985
0.101562,-315.40155,1173.176514,1,1616.903931,344.816193
0.101562,-315.401672,1173.176636,1,1615.529297,346.800446
0.101562,-315.401947,1173.177002,1,1484.52063,232.197281
0.103516,-315.402557,1173.178345,1,1480.569458,237.692291
0.103516,-315.403625,1173.180542,1,1499.614868,230.691742
0.103516,-315.405334,1173.184082,1,1506.613525,231.951752
0.103516,-315.40799,1173.189453,1,1506.149048,235.928085
0.113281,-315.412354,1173.198608,1,1069.245728,387.464722
0.101562,-315.417603,1173.209351,1,971.651062,422.801392
0.103516,-315.424072,1173.222778,1,961.144348,422.517639
0.101562,-315.431824,1173.238892,1,1586.818237,354.130829
0.103516,-315.440704,1173.257324,1,1592.828491,346.77887
0.105469,-315.451019,1173.278564,1,1592.773438,333.922119
0.111328,-315.463348,1173.303955,1,1479.712524,189.06723
0.105469,-315.476288,1173.330933,1,1412.961548,215.86882
0.103516,-315.490204,1173.359619,1,1041.240234,455.642181
0.103516,-315.50531,1173.390869,1,1036.789062,474.697968
0.105469,-315.521729,1173.425049,1,1035.957764,477.340302
0.103516,-315.539185,1173.461182,1,982.448486,399.143951
0.105469,-315.557831,1173.500244,1,933.199829,380.300079
0.103516,-315.577789,1173.541992,1,916.516113,382.561951
0.105469,-315.598663,1173.585815,1,928.659424,379.683746
0.109375,-315.621887,1173.634521,1,915.630554,387.723938
0.109375,-315.646484,1173.686035,1,921.790466,375.622803
0.105469,-315.671387,1173.738159,1,1101.123291,554.690613
0.105469,-315.697479,1173.792603,1,1104.818481,545.06958
0.107422,-315.72525,1173.850708,1,1111.753784,552.908325
0.107422,-315.755096,1173.913452,1,1104.19165,543.228699
0.103516,-315.786438,1173.979248,1,1108.090698,544.004883
0.105469,-315.82193,1174.054077,1,1110.640869,544.540894
0.105469,-315.862793,1174.140259,1,1113.335693,533.015991
0.101562,-315.909515,1174.239014,1,1113.200562,531.111938
0.103516,-315.968475,1174.363403,1,1099.202881,521.80072
0.101562,-316.039948,1174.514771,1,935.620483,379.116577
0.111328,-316.138367,1174.724121,1,930.688599,380.538452
0.101562,-316.244019,1174.949585,1,940.244019,381.565613
0.105469,-316.370544,1175.221191,1,936.434692,385.579926
0.105469,-316.514374,1175.531372,1,1133.033569,525.234863
0.103516,-316.673462,1175.876465,1,1140.533813,525.015015
0.105469,-316.849304,1176.259888,1,1138.888672,530.565186
0.115234,-317.061462,1176.724365,1,1135.02002,521.655701
0.105469,-317.27182,1177.187256,1,1137.209961,519.503357
0.101562,-317.487457,1177.664429,1,1130.988281,495.691559
0.103516,-317.716949,1178.175781,1,1130.421387,514.182983
0.113281,-317.988251,1178.783936,1,1139.926514,520.404724
0.113281,-318.26123,1179.401733,1,953.211182,505.872009
0.113281,-318.550598,1180.063843,1,950.613281,499.474182
0.113281,-318.845093,1180.745605,1,947.561646,496.081329
0.115234,-319.155121,1181.473999,1,946.33252,487.084076
0.111328,-319.465546,1182.215576,1,1040.224365,507.363281
0.113281,-319.782379,1182.986206,1,1155.020508,518.511292
0.115234,-320.117615,1183.817627,1,1160.184692,522.050842
0.111328,-320.451477,1184.661865,1,1155.793701,511.06897
0.113281,-320.791901,1185.542358,1,1225.686035,516.629089
0.113281,-321.136688,1186.458008,1,1224.234741,511.402802
0.109375,-321.469055,1187.365967,1,1233.620728,511.31781
0.111328,-321.80426,1188.311157,1,1245.808228,512.005859
0.113281,-322.149139,1189.321655,1,1251.718384,513.996399
0.115234,-322.488312,1190.363892,1,1254.511841,502.286774
0.113281,-322.820099,1191.443604,1,1266.085327,495.673737
0.111328,-323.142975,1192.563721,1,1270.279663,485.481293
0.111328,-323.457092,1193.7323,1,1269.200562,475.156219
0.111328,-323.76181,1194.956909,1,1273.125977,473.524811
0.109375,-324.053345,1196.233032,1,1266.468384,485.889954
0.111328,-324.3284,1197.56311,1,1270.420776,475.778809
0.109375,-324.578949,1198.91626,1,1280.111084,480.564117
0.115234,-324.807739,1200.347534,1,1311.818359,479.2146
0.113281,-324.99826,1201.807495,1,1315.672363,477.846161
0.115234,-325.144958,1203.312866,1,1330.770264,471.639435
0.115234,-325.23996,1204.836792,1,1334.015503,472.353546
0.107422,-325.28009,1206.298584,1,1185.664917,488.432922
0.109375,-325.269104,1207.825806,1,1080.600464,485.459442
0.109375,-325.205505,1209.335083,1,1075.719238,478.813934
0.111328,-325.084106,1210.910645,1,1080.98938,476.648163
0.111328,-324.90451,1212.528198,1,1072.26062,477.004272
0.109375,-324.680115,1214.112183,1,1281.398315,486.311218
0.101562,-324.433624,1215.582031,1,1279.994995,498.243408
0.109375,-324.123688,1217.195801,1,1284.835693,487.024445
0.107422,-323.770386,1218.825684,1,1285.825073,489.941711
0.109375,-323.368011,1220.480713,1,1294.77771,487.297424
0.111328,-322.894531,1222.200562,1,1292.984009,497.456268
0.109375,-322.358124,1223.9104,1,1268.3573,567.981018
0.113281,-321.722107,1225.687256,1,1284.602661,607.525513
0.109375,-321.021606,1227.4104,1,1418.437988,722.456787
0.109375,-320.228271,1229.151489,1,1421.106445,718.885376
0.117188,-319.304626,1230.971924,1,1379.956665,697.115173
0.109375,-318.342865,1232.704468,1,1151.580811,536.262756
0.107422,-317.346558,1234.373901,1,1137.517822,526.61145
0.113281,-316.240417,1236.113525,1,1124.868042,526.027039
0.111328,-315.067169,1237.848755,1,1121.72876,521.761353
0.109375,-313.873413,1239.515259,1,1113.841553,523.883789
0.109375,-312.618835,1241.174316,1,1108.45105,513.866333
0.109375,-311.333069,1242.799683,1,1086.695557,512.490417
0.109375,-309.99292,1244.450317,1,1077.432617,504.986298
0.105469,-308.674988,1246.063599,1,1084.448486,505.31604
0.107422,-307.336365,1247.719238,1,1090.973511,512.230774
0.105469,-306.014954,1249.385132,1,1095.432861,502.23175
0.113281,-304.621948,1251.165771,1,1125.335205,473.727661
0.107422,-303.26535,1252.884766,1,1144.731079,481.527863
0.107422,-301.855469,1254.598877,1,1299.758301,513.901489
0.105469,-300.394226,1256.253662,1,1289.710083,495.643005
0.105469,-298.87085,1257.831421,1,1176.659546,512.467651
0.107422,-297.223145,1259.377075,1,1182.639404,523.215637
0.103516,-295.531189,1260.812378,1,1157.150024,529.514893
0.105469,-293.76532,1262.174561,1,1127.678589,480.436951
0.107422,-291.853119,1263.523193,1,1096.602539,429.111755
0.105469,-289.930878,1264.767212,1,1087.943481,424.761322
0.103516,-287.990326,1265.925903,1,933.409058,392.631226
0.103516,-285.981781,1267.043457,1,934.318054,393.909851
0.105469,-283.928711,1268.124512,1,1030.707764,568.031555
0.101562,-281.910706,1269.1521,1,1022.372681,552.861816
0.101562,-279.899963,1270.161133,1,1005.476379,556.163269
0.101562,-277.922607,1271.155151,1,1002.235168,561.399841
0.103516,-275.912994,1272.180054,1,1009.500183,559.817383
0.109375,-273.822876,1273.26709,1,977.90033,550.941162
0.105469,-271.834625,1274.314941,1,968.991516,557.528748
0.103516,-269.89859,1275.338013,1,965.983093,546.173584
0.101562,-267.977905,1276.342529,1,960.880066,550.542236
0.103516,-266.061615,1277.317017,1,958.560059,544.106689
0.103516,-264.094574,1278.269165,1,955.426453,535.561218
0.103516,-262.148529,1279.151855,1,950.092285,533.027039
0.105469,-260.206024,1279.971436,1,1112.011719,592.256226
0.105469,-258.280792,1280.729492,1,1126.052856,607.010071
0.105469,-256.444946,1281.413574,1,1118.070557,610.58197
0.107422,-254.662537,1282.062256,1,1005.540039,569.165771
0.107422,-252.952911,1282.696777,1,1011.793884,560.203369
0.103516,-251.434631,1283.292847,1,1009.996216,552.606567
0.103516,-250.025436,1283.890137,1,1044.730469,538.648865
0.103516,-248.704025,1284.501709,1,1051.152344,549.533752
0.107422,-247.443588,1285.135986,1,936.815674,530.020935
0.107422,-246.290436,1285.755859,1,964.609192,552.155701
0.109375,-245.226242,1286.354248,1,973.702026,544.180542
0.103516,-244.287979,1286.888062,1,985.553894,545.407104
0.105469,-243.415482,1287.375122,1,999.302124,541.400818
0.103516,-242.629883,1287.802734,1,994.587036,534.350281
0.105469,-241.920578,1288.180054,1,901.082031,513.38324
0.103516,-241.303116,1288.503052,1,549.633545,496.140167
0.105469,-240.766708,1288.781494,1,374.388702,473.969666
0.107422,-240.331055,1289.009766,1,375.271973,448.411316
0.103516,-240.000336,1289.186768,1,395.715759,450.863647
0.103516,-239.76326,1289.315674,1,400.993805,448.305664
0.101562,-239.619598,1289.394897,1,232.335068,395.860107
0.105469,-239.565933,1289.425293,1,946.51709,446.212219
0.103516,-239.568466,1289.424438,1,986.002014,448.873505
0.103516,-239.580582,1289.417114,1,1036.391113,454.486298
0.105469,-239.588699,1289.411499,1,1078.361816,475.654968
0.105469,-239.588974,1289.4104,1,1140.414429,476.765137
0.103516,-239.584869,1289.412109,1,1156.4375,480.857391
0.101562,-239.5811,1289.414429,1,1170.059082,501.653473
0.113281,-239.580017,1289.415405,1,919.126709,356.574829
0.101562,-239.581284,1289.415283,1,920.522156,379.307922
0.105469,-239.581802,1289.415283,1,929.927979,395.656891
0.103516,-239.579788,1289.41626,1,1545.339722,391.98587
0.103516,-239.575165,1289.418579,1,1541.339722,367.80188
0.105469,-239.568176,1289.422119,1,1526.317383,384.667877
0.105469,-239.55928,1289.426514,1,1386.976562,525.324829
0.107422,-239.545609,1289.433472,1,1380.522461,510.480194
0.103516,-239.513168,1289.450439,1,1378.745728,504.378662
0.105469,-239.441818,1289.487427,1,1375.583618,502.492737
0.105469,-239.327866,1289.546387,1,1314.316772,516.489624
