time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549988,-1216.650024,0,0,0
0.105469,-464.552795,-1216.647705,0,0,0
0.103027,-464.553711,-1216.646973,0,0,0
0.103516,-464.553802,-1216.646851,1,965.017578,374.168427
0.103516,-464.553192,-1216.647339,1,964.742676,376.289154
0.106445,-464.55246,-1216.647949,1,962.872131,373.305908
0.101074,-464.552277,-1216.648071,1,974.783936,204.329132
0.103516,-464.552826,-1216.647583,1,963.890991,200.227005
0.105957,-464.55365,-1216.646973,1,921.059204,179.304962
0.106934,-464.553955,-1216.646729,1,1153.737915,145.325104
0.104492,-464.553436,-1216.647217,1,1335.699707,110.868004
0.105957,-464.552734,-1216.647827,1,1342.663818,103.613792
0.104004,-464.552368,-1216.648071,1,1325.763428,36.547939
0.103516,-464.552704,-1216.647827,1,1369.539917,33.183525
0.101562,-464.553131,-1216.647217,1,1407.515747,25.132555
0.103027,-464.553406,-1216.647217,1,1430.873901,24.732962
0.101562,-464.553253,-1216.647217,1,1468.332886,30.058731
0.104492,-464.552979,-1216.647339,1,759.694092,356.753204
0.104004,-464.552734,-1216.647217,1,331.3685,328.837677
0.104492,-464.552765,-1216.647339,1,268.051147,338.574371
0.105469,-464.552917,-1216.647217,1,286.417358,330.863281
0.10791,-464.55304,-1216.647095,1,1349.422729,322.830566
0.10498,-464.55307,-1216.647217,1,1343.991455,315.649902
0.108887,-464.55307,-1216.647217,1,1446.412842,199.42067
0.108398,-464.55307,-1216.647217,1,1439.540527,196.777542
0.108887,-464.55304,-1216.647217,1,1488.020264,190.278748
0.104004,-464.55304,-1216.647217,1,1479.914307,185.334869
0.10791,-464.55304,-1216.647217,1,1400.076172,221.670471
0.105957,-464.55307,-1216.647217,1,1205.792969,342.058624
0.10498,-464.55307,-1216.647217,1,1202.438354,340.076569
0.106445,-464.55307,-1216.647217,1,1422.43457,385.961304
0.108398,-464.55304,-1216.647217,1,1418.411133,383.407227
0.10498,-464.55304,-1216.647217,1,1414.857056,381.257568
0.105469,-464.55304,-1216.647339,1,1470.006836,405.476379
0.101074,-464.55304,-1216.647095,1,1470.358521,413.060425
0.104492,-464.553162,-1216.647217,1,1466.833862,404.518494
0.104004,-464.553589,-1216.646973,1,1461.166748,405.645752
0.103516,-464.554657,-1216.645996,1,1445.440063,201.332001
0.104492,-464.557068,-1216.644043,1,1448.81604,163.251831
0.104492,-464.561096,-1216.640869,1,1456.59375,56.282955
0.105957,-464.566986,-1216.636108,1,1456.59375,56.282955
0.106934,-464.574615,-1216.629761,1,1287.726685,932.046204
0.102539,-464.583679,-1216.622437,1,1198.970581,956.946899
0.103027,-464.594238,-1216.613892,1,1198.970581,956.946899
0.104004,-464.606476,-1216.60376,1,1198.970581,956.946899
0.105469,-464.620544,-1216.592285,1,1018.85144,197.017654
0.102051,-464.63562,-1216.580078,1,1025.543945,218.417648
0.10791,-464.653259,-1216.565796,1,1026.182373,217.655502
0.112305,-464.673309,-1216.549316,1,935.937256,178.274399
0.105469,-464.693787,-1216.532715,1,964.979919,197.805801
0.109375,-464.716797,-1216.514038,1,1144.916748,294.502045
0.100586,-464.739777,-1216.495361,1,1145.90686,309.933624
0.104492,-464.766479,-1216.473755,1,1149.926392,305.107574
0.10498,-464.797852,-1216.448608,1,1148.269287,305.137848
0.107422,-464.835876,-1216.417969,1,1151.233887,319.836426
0.102539,-464.878296,-1216.383789,1,1184.026245,335.434265
0.100098,-464.92511,-1216.346069,1,1203.556763,346.79071
0.11084,-464.983398,-1216.298828,1,1201.467529,347.649658
0.10498,-465.044312,-1216.249146,1,1207.976196,337.165497
