,0,1,2,3,4,5
0,0.0,-420.940002,-476.269989,1.0,1488.1992863687046,299.94897337968035
1,0.106445,-420.93634,-476.272461,1.0,1033.0882023687047,525.4045093796803
2,0.100586,-420.935181,-476.273315,1.0,1041.2341373687048,495.4624923796804
3,0.101562,-420.934937,-476.273468,1.0,1086.0152043687049,456.63064437968035
4,0.103516,-420.935577,-476.27298,1.0,1382.6283633687049,257.63891437968033
5,0.111328,-420.936462,-476.272369,1.0,1401.6341003687048,215.81994537968035
6,0.103516,-420.936615,-476.272247,1.0,1435.1815863687048,191.26263337968032
7,0.105469,-420.935913,-476.272766,1.0,1211.7327333687049,269.3260793796803
8,0.106445,-420.934998,-476.273407,1.0,948.1181703687048,387.7071823796804
9,0.105469,-420.934692,-476.273621,1.0,952.6544253687048,378.30819537968034
10,0.101562,-420.935211,-476.273285,1.0,1430.452093368705,204.6357713796803
11,0.103516,-420.935913,-476.272766,1.0,1454.5065373687048,193.13311637968036
12,0.101562,-420.936279,-476.272552,1.0,1419.603827368705,188.7731313796803
13,0.107422,-420.936005,-476.272766,1.0,1384.3418643687046,169.36865137968033
14,0.104492,-420.935425,-476.273132,1.0,1372.7382263687045,173.90042037968033
15,0.106445,-420.935089,-476.273346,1.0,1405.2968203687046,246.66677737968035
16,0.105469,-420.93515,-476.273254,1.0,1384.3537053687046,276.45217737968034
17,0.106445,-420.935486,-476.273102,1.0,1395.321478368705,270.5102523796803
18,0.102539,-420.935608,-476.27298,1.0,928.6804263687047,371.4700003796803
19,0.105469,-420.935608,-476.273041,1.0,919.7154603687047,368.2328783796803
20,0.101562,-420.935425,-476.273163,1.0,1429.1746283687048,271.9211413796803
21,0.107422,-420.935242,-476.273285,1.0,1432.6542423687047,289.14901637968035
22,0.101562,-420.935211,-476.273315,1.0,1432.251410368705,287.02014037968036
23,0.100586,-420.935211,-476.273315,1.0,1510.3447943687047,300.5441573796803
24,0.108398,-420.935242,-476.273285,1.0,1490.5180113687047,289.3880903796803
25,0.103516,-420.935272,-476.273315,1.0,1486.0469423687045,273.88882337968033
26,0.105469,-420.935272,-476.273285,1.0,1501.4561223687047,267.32742237968034
27,0.104492,-420.935242,-476.273285,1.0,1504.2066103687048,267.2097763796803
28,0.102539,-420.935242,-476.273285,1.0,1509.2361513687047,252.66033837968035
29,0.106445,-420.935242,-476.273285,1.0,1498.1212833687046,264.25427137968035
30,0.105469,-420.935242,-476.273285,1.0,1497.6799993687046,273.21667337968034
31,0.102539,-420.935242,-476.273285,1.0,1488.108343368705,264.2672713796803
32,0.103516,-420.935242,-476.273285,1.0,1493.2073423687048,265.2124313796803
33,0.107422,-420.935242,-476.273285,1.0,1508.0606143687046,267.59966937968034
34,0.100586,-420.935242,-476.273285,1.0,1368.2062443687046,173.31478737968035
35,0.105469,-420.935242,-476.273285,1.0,1364.582098368705,164.5887133796803
36,0.100586,-420.935181,-476.273285,1.0,1363.0454773687047,166.1747423796803
37,0.108398,-420.934937,-476.273468,1.0,1220.8102483687048,247.48025437968033
38,0.108398,-420.934204,-476.273987,1.0,1008.5610413687048,387.20565637968036
39,0.103516,-420.932739,-476.274963,1.0,978.7536073687047,376.5809013796803
40,0.105469,-420.92984,-476.276886,1.0,930.8571233687047,301.65322737968035
41,0.105469,-420.92511,-476.280151,1.0,1235.0281433687046,234.3921193796803
42,0.102539,-420.91861,-476.284637,1.0,1408.566962368705,188.2720933796803
43,0.102539,-420.910278,-476.290344,1.0,1413.133978368705,182.10610837968034
44,0.108398,-420.899597,-476.297729,1.0,988.3786683687048,330.06136937968034
45,0.104492,-420.88739,-476.306152,1.0,989.6566223687047,326.1881393796803
46,0.108398,-420.872986,-476.316101,1.0,921.2510443687047,366.7120653796803
47,0.107422,-420.856689,-476.327423,1.0,923.2654483687047,366.1733083796803
48,0.101562,-420.839478,-476.339233,1.0,919.7706973687048,350.2281173796803
49,0.106445,-420.819244,-476.35318,1.0,924.0835023687048,360.1904283796803
50,0.107422,-420.79541,-476.36972,1.0,927.5320493687047,358.75598037968035
51,0.107422,-420.765656,-476.390228,1.0,921.3441833687048,351.4681693796803
52,0.102539,-420.726685,-476.417175,1.0,918.3995423687047,344.1589343796803
53,0.108398,-420.660614,-476.46283,1.0,930.0338203687047,341.59963837968036
54,0.100586,-420.56604,-476.528107,1.0,924.6549133687048,344.8071883796803
55,0.104492,-420.431152,-476.621277,1.0,970.8255683687047,355.11834637968036
56,0.102539,-420.26239,-476.737701,1.0,1116.3964903687047,422.8767993796803
57,0.108398,-420.047607,-476.885895,1.0,1114.600165368705,420.1026903796803
58,0.100586,-419.81134,-477.048889,1.0,1138.6729193687047,453.96560537968037
59,0.100586,-419.542206,-477.234741,1.0,1136.8687193687047,457.3958423796803
60,0.102539,-419.232208,-477.448944,1.0,1138.8491883687047,456.6938773796803
61,0.100586,-418.896179,-477.681366,1.0,940.0791693687047,345.95712137968036
62,0.103516,-418.512756,-477.946777,1.0,934.6419133687048,333.73467937968036
63,0.100586,-418.105652,-478.228668,1.0,919.4489203687048,302.17419337968033
64,0.110352,-417.618713,-478.56604,1.0,914.0253973687047,301.18209737968033
65,0.109375,-417.10025,-478.925995,1.0,917.4820623687048,291.06661837968034
66,0.108398,-416.557587,-479.304199,1.0,1137.9486753687047,428.2289723796804
67,0.101562,-416.038116,-479.667633,1.0,1141.6389833687049,433.8565353796803
68,0.105469,-415.486084,-480.055511,1.0,1149.7985293687047,445.6125783796804
69,0.105469,-414.916809,-480.45752,1.0,1145.1074893687046,451.79836937968037
70,0.101562,-414.35144,-480.858673,1.0,974.1345283687048,328.8027333796803
71,0.102539,-413.770538,-481.273224,1.0,930.6337343687047,302.87023837968036
72,0.101562,-413.185333,-481.693207,1.0,934.7929143687047,304.46865737968034
73,0.110352,-412.544037,-482.156403,1.0,1133.2323673687047,439.89303437968033
74,0.110352,-411.896301,-482.628143,1.0,1144.629462368705,429.0856003796804
75,0.111328,-411.239471,-483.111694,1.0,1143.5431583687046,428.07742237968034
76,0.101562,-410.643433,-483.555908,1.0,966.1459413687047,324.9522083796803
77,0.105469,-410.019104,-484.027222,1.0,965.8871523687047,334.7198173796803
78,0.100586,-409.421021,-484.484894,1.0,1155.8767763687047,447.57498037968037
79,0.101562,-408.827332,-484.945282,1.0,1165.9143743687046,456.1681203796803
80,0.101562,-408.232147,-485.41333,1.0,1157.9851743687045,458.17611537968037
81,0.100586,-407.642426,-485.883698,1.0,1148.9948183687047,457.34438937968036
82,0.101562,-407.053925,-486.360016,1.0,1142.8781193687046,464.0376883796803
83,0.103516,-406.454224,-486.852875,1.0,1146.825262368705,463.66445837968035
84,0.113281,-405.798492,-487.40094,1.0,1068.8068303687046,394.58840837968035
85,0.112305,-405.15271,-487.95105,1.0,1064.0465763687048,392.99343737968036
86,0.100586,-404.579071,-488.450195,1.0,1125.4790103687046,351.64541537968034
87,0.110352,-403.948364,-489.011475,1.0,1411.7188173687045,149.98678437968033
88,0.101562,-403.37561,-489.533386,1.0,1413.7886413687047,164.76000837968036
89,0.112305,-402.750793,-490.116241,1.0,1151.057074368705,432.4009693796803
90,0.112305,-402.129669,-490.710205,1.0,1138.4116883687047,423.6246633796803
